key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by
104	"(S) Sonte (Sf,A,sA) Sante (B) SonT (F) SanT"	4	"thorn tree /*acacia nilotica*/ /$gk: [[akanqa]]$/"	"thorn tree /*acacia nilotica*/ /$gk: [[akanqa]]$/"	"akanqa"	"573a"	6	0	"2009-09-14"	"2010-03-13"	"vagrant"	"vagrant"
105	"(S,F) Jo (S) Jw (B) Go (F) Ja (S,A,F) Je- (S) Ji- (B,F) Ge- (S) Jo= (A,sA,F) Ja= (B) Go= (F) Ga="	2	"{tr:} put, send forth, spend"	"{tr:} put, send forth, spend"	""	"752b"	8	0	"2009-09-14"	"2010-08-14"	"vagrant"	"vagrant"
106	"(S,sA,F) wGt (S) wtG,wJt (B) wJH (S) eGt-,oGt=,oJt=,otG= (A,sA,F) aGt= (sA) eGt= (B) oJH=,oHJ="	2	"{tr:} choke, throttle /$gk: [[pnigein]]$/"	"{tr:} choke, throttle /$gk: [[pnigein]]$/"	"pnigein"	"540b"	8	0	"2009-09-14"	"2010-08-09"	"vagrant"	"vagrant"
107	"(S,A) Fnt (S) bnt (S,B) Fent (S) ouent (Sf,F) bent (F) bnt"	22	"worm /$gk: [[skwlhj]]$/"	"worm /$gk: [[skwlhj]]$/"	"skwlhj"	"623b"	6	0	"2009-09-14"	"2010-03-18"	"vagrant"	"vagrant"
108	"(S,A,sA) kaH (B) kaHi (F) keHi"	1	"earth, soil /$gk: [[gh, edafos, xous, xwma, phlos]]$/ | earth, land, country /$gk: [[gh, gaia]]$/"	"earth, soil /$gk: [[gh, edafos, xous, xwma, phlos]]$/ | earth, land, country /$gk: [[gh, gaia]]$/"	"gh, edafos, xous, xwma, phlos, gaia"	"131a"	6	0	"2009-09-14"	"2010-02-01"	"vagrant"	"vagrant"
109	"(S,A,sA,F) nanou- (S,A,B) nane- (S,A,sA,F) nanou= (B) nane="	2	"{intr:} |$ (nominal vb), be good, fair /$gk: [[kalos, agaqos]]$/ |$ (impersonal + [-s]), it is good, right |$ better than (c [e-]) |$ (c [eHouo, nHouo, eHote]) | (rel [en., etn.] as adj), good fair"	"{intr:} |$ (nominal vb), be good, fair /$gk: [[kalos, agaqos]]$/ |$ (impersonal + [-s]), it is good, right |$ better than (c [e-]) |$ (c [eHouo, nHouo, eHote]) | (rel [en., etn.] as adj), good fair"	"kalos, agaqos"	"227a"	8	0	"2009-09-14"	"2010-06-21"	"vagrant"	"vagrant"
110	"(S,A) noune (B,F) nouni"	4	"root /$gk: [[riza]]$/"	"root /$gk: [[riza]]$/"	"riza"	"227b"	6	0	"2009-09-14"	"2010-02-05"	"vagrant"	"vagrant"
111	"(S,A,sA,B,F) esht"	1	"ground, (so) bottom, lowest part /$gk: [[gh]]$/ | (as adv with preceding prep + art, mostly = verbal [[kata- /*-agein, -airein, -bainein, -ballein]] &c*/)"	"ground, (so) bottom, lowest part /$gk: [[gh]]$/ | (as adv with preceding prep + art, mostly = verbal [[kata- /*-agein, -airein, -bainein, -ballein]] &c*/)"	"gh"	"60a"	6	0	"2009-09-14"	"2010-01-26"	"vagrant"	"vagrant"
112	"(S) Gro$^o^$G,GloG (sA,F) GraG (B) JroJ (S) *Grw$^w^$G,krwwG (S,F) *GrooG (B) *JrwJ (F) *GrwwJ"	1	"seed /$gk: [[sperma, sporos]]$/"	"seed /$gk: [[sperma, sporos]]$/"	"sperma, sporos"	"831b"	6	0	"2009-09-14"	"2010-04-01"	"vagrant"	"vagrant"
113	"(S) ta$^o^$uo,tauw,taououo,tabo (Sa,A,sA) te$^o^$uo (F) taouo (F) taoua (S) ta$^o^$ue-,tauo- (A) teuo- (B) taoue- (F) taoua- (NH) teue- *^<a href="ext codex II - The Gospel of Philip;108;52;32;eFnateue karpos naF an;codex II - The Gospel of Thomas;107;34;8;mpouteue Hms eHrai etpe;codex I - The Gospel of Truth;103;38;25;nim Ge petaS teue ren">Ext</a>^* (S) ta$^o^$uo=,tauouo=,tauoo= *^<a href="ext Life of Bishop Pisentius;1053;22;15;pSwJp et SSe etauooF;Life of Bishop Pisentius;1053;31;28;tai etnnatauoos tenou;Life of Bishop Pisentius;1053;44;11;pSaJe ntauooF e tbhhts">Ext</a>^* (A,sA) te$^o^$ua= (B) taouo= (F) ta$^o^$ua= (O) tauwouo= (B) taouhout+"	2	"{tr:} |$ send  /$gk: [[pemptein, apostellein, ekballein]]$/ |$ put forth, produce  /$gk: [[poiein, ejagoreuein, ejagein]]$/ |$ utter, proclaim, recount  /$gk: [[dihgeisqai, eipein]]$/ |$ recite, repeat |$ give, say name  /$gk: [[kalein, onomazein]]$/ |$ overthrow | {intr /*rare*/:} recite"	"{tr:} |$ send  /$gk: [[pemptein, apostellein, ekballein]]$/ |$ put forth, produce  /$gk: [[poiein, ejagoreuein, ejagein]]$/ |$ utter, proclaim, recount  /$gk: [[dihgeisqai, eipein]]$/ |$ recite, repeat |$ give, say name  /$gk: [[kalein, onomazein]]$/ |$ overthrow | {intr /*rare*/:} recite"	"pemptein, apostellein, ekballein, poiein, ejagoreuein, ejagein, dihgeisqai, eipein, kalein, onomazein"	"441b"	7	0	"2009-09-14"	"2012-10-19"	"vagrant"	"vagrant"
114	"(S,F) H$^e^$ms (S) Hmc (S,F) Hhms (B) Kems"	1	"ear of corn /$gk: [[staxus]]$/"	"ear of corn /$gk: [[staxus]]$/"	"staxus"	"679a"	6	0	"2009-09-14"	"2010-03-23"	"vagrant"	"vagrant"
115	"(S,A,sA,F) kwHt"	1	"fire /$gk: [[pur, lampas, spinqhr, floj]]$/ | (adj) /$gk: [[purinos]]$/"	"fire /$gk: [[pur, lampas, spinqhr, floj]]$/ | (adj) /$gk: [[purinos]]$/"	"pur, lampas, spinqhr, floj, purinos"	"133b"	6	0	"2009-09-14"	"2010-02-01"	"vagrant"	"vagrant"
116	"(S) HareH (S,B) areH (S,A) HarhHe,ereH,erhH (A,sA) arhH (A) erhHte,arhHte (F) aleH"	2	"{intr:} keep, guard /$gk: [[fulassein, threin]]$/"	"{intr:} keep, guard /$gk: [[fulassein, threin]]$/"	"fulassein, threin"	"707b"	7	0	"2009-09-14"	"2010-05-08"	"vagrant"	"vagrant"
117	"(S,A,sA) Jero (S) Jerw (Sf,F) Jela (B) Gero (S,sA) Jere- (S) Jeere- (sA) Jero- (B) Gere-,Gero- (F) Je$^e^$le-,Jela- (S,sA) Jero= (S,sA) Jerw= (B) Gero=,Gerw= (sA) Jerait+ (B) Gerhout+ (F) Gelhout+"	2	"{intr:} blaze, burn /$gk: [[kaiein, anaptein]]$/ | {tr:} kindle /$gk: [[kaiein, anakaiein]]$/"	"{intr:} blaze, burn /$gk: [[kaiein, anaptein]]$/ | {tr:} kindle /$gk: [[kaiein, anakaiein]]$/"	"kaiein, anaptein, anakaiein"	"781b"	8	0	"2009-09-14"	"2010-08-15"	"vagrant"	"vagrant"
118	"(S,A,sA,B,F,O) mou (S) moout+ (Sa,A) maut+ (Sa,F) maout+ (B) mwout+"	2	"{intr:} die (/*euphemisms [mton, nkotk] often in place of [mou]*/) /$gk: [[qnhskein]]$/ | {qual:} dead /$gk: [[nekros]]$/"	"{intr:} die (/*euphemisms [mton, nkotk] often in place of [mou]*/) /$gk: [[qnhskein]]$/ | {qual:} dead /$gk: [[nekros]]$/"	"qnhskein, nekros"	"159a"	7	0	"2009-09-14"	"2010-04-07"	"vagrant"	"vagrant"
119	"(S,A,B) snau (S) snaau (A,sA,B) sneu (A) sno (Sa) snw (Sa,F,O) sneou (Sa) snneou,snou (O) snaou (S,A) ****snte (Sf) ****snoute (B,F) ****snouT (F) ****shnT"	13	"two |$ (as noun) /$gk: [[duo]]$/ |$ (as adj) |$$ (before nn) |$$ (after nn)"	"two |$ (as noun) /$gk: [[duo]]$/ |$ (as adj) |$$ (before nn) |$$ (after nn)"	"duo"	"346b"	6	0	"2009-09-14"	"2010-02-14"	"vagrant"	"vagrant"
120	"(S,A,sA,B,F,O) Hwb (S,sA,F) HwF (S) wF (S,F) HoF (F) ob,Hwbi,obi,obbi (B) Heb- (S,sA) *Hbhue (A) *Hbhoue (B,F) *Hbhoui (B) *eHbhoui"	1	"thing, work, matter, event /$gk: [[ergon, pragma, poihma]]$/"	"thing, work, matter, event /$gk: [[ergon, pragma, poihma]]$/"	"ergon, pragma, poihma"	"653a"	6	0	"2009-09-14"	"2010-03-21"	"vagrant"	"vagrant"
122	"(S,sA,F) Swwt (S,sA,B) Swt (S) Sw$^w^$te (B) SwT (A) Souout,Sout (S,sA,B,F) S$^e^$t- (S,F) Seet- (B) Sat- (sA) Swt- (S,sA) Saat= (S,A,B) Sat= (F) Seet= (S,A) Saat+ (S,B) Sat+ (S) Sht+ (S,B,F) ^Sat- (B) ^Sot-"	2	"cut, slay |$ {intr:} /$gk: [[koptein, quein, sfazein, temnein]]$/ |$ {qual:} /$gk: [[egkopos]]$/ |$ {tr:} /$gk: [[koptein]]$/ |$ (p c S,B,F), he who, that which cuts, is cut | | {intr:} be cut short, want, lack /$gk: [[usterein, elattonein]]$/"	"cut, slay |$ {intr:} /$gk: [[koptein, quein, sfazein, temnein]]$/ |$ {qual:} /$gk: [[egkopos]]$/ |$ {tr:} /$gk: [[koptein]]$/ |$ (p c S,B,F), he who, that which cuts, is cut | | {intr:} be cut short, want, lack /$gk: [[usterein, elattonein]]$/"	"koptein, quein, sfazein, temnein, egkopos, usterein, elattonein"	"590b"	8	0	"2009-09-14"	"2010-08-11"	"vagrant"	"vagrant"
123	"(S,A,sA,B,F) bwk,bak=,bhk+ (S,A,sA,B,F) ^bak-"	2	"{intr:} (literally), go, depart /$gk: [[poreuesqai, erxesqai, upagein, badizein]]$/ | (metaphorically for) die | be about to | {tr:} (rare, but in Theban docments), put into, add to, send"	"{intr:} (literally), go, depart /$gk: [[poreuesqai, erxesqai, upagein, badizein]]$/ | (metaphorically for) die | be about to | {tr:} (rare, but in Theban docments), put into, add to, send"	"poreuesqai, erxesqai, upagein, badizein"	"29a"	7	0	"2009-09-14"	"2010-01-29"	"vagrant"	"vagrant"
124	"(S,A) eine (A,sA) ine (B,F) ini (F) ni (S,A,sA) n-,m- (S,B,F) en- (S,A,sA) nt= (B) en= (F) ent=,int=,nit= (S) **aneine,anine (B) **anioui (S) **ani- (O) **eni- (S) **ani= (B,F) **anit= (A) **ani= (sA) **eni= (F) **anent="	2	"{tr:} bring, bear /$gk: [[agein, ferein]]$/"	"{tr:} bring, bear /$gk: [[agein, ferein]]$/"	"agein, ferein"	"78b"	7	0	"2009-09-14"	"2010-04-05"	"vagrant"	"vagrant"
125	"(S,A) eine (B,F) ini (F) eini (NH) ine *^<a href="ext codex II - The Apocryphon of John;106;12;33;nka de nim aFtsenoF kata pine nnSorp naiwn entaHSwpe;codex I - The Tripartite Tractate;105;106;1;Je ouSwpe abal Hn pine mpeiwt;codex II - The Hypostasis of the Archons;109;87;30;aurplasse mpourwme kata pouswma auw kata pine mpnoute">Ext</a>^* (B) oni+"	2	"{tr:} resemble, be like, (c [n-, mmo-]) /$gk: [[omoioun]]$/"	"{tr:} resemble, be like, (c [n-, mmo-]) /$gk: [[omoioun]]$/"	"omoioun"	"80b"	6	0	"2009-09-14"	"2011-01-14"	"vagrant"	"vagrant"
126	"(S,A,sA,B) tapro (F) tapra,tapla"	4	"mouth /$gk: [[stoma]]$/"	"mouth /$gk: [[stoma]]$/"	"stoma"	"423b"	6	0	"2009-09-14"	"2010-02-23"	"vagrant"	"vagrant"
127	"(S,sA,B,F) sw (S,A,sA) sou (S,A,B,F) se- (S,F) sa- (S) seu-,sou- (S,A,sA) soo= (B) so= (F) saa= (S,A,B) ^sau-"	2	"drink |$ {intr:} /$gk: [[pinein, potizesqai]]$/ |$ {tr:} /$gk: [[pinein, ekpinein, udropotein]]$/ | (p c), drinker"	"drink |$ {intr:} /$gk: [[pinein, potizesqai]]$/ |$ {tr:} /$gk: [[pinein, ekpinein, udropotein]]$/ | (p c), drinker"	"pinein, potizesqai, ekpinein, udropotein"	"318a"	6	0	"2009-09-14"	"2012-10-19"	"vagrant"	"vagrant"
128	"(S) THe (A) TQe (B) qiKi (F) THi (S) taHe+ (A) taQe+ (B) qaKi+ (NH) toHe+ *^<a href="ext codex II - The Gospel of Thomas;107;38;29;tenou setoHe">Ext</a>^*"	2	"{intr:} become, be drunken  /$gk: [[mequein, mequskein]]$/"	"{intr:} become, be drunken  /$gk: [[mequein, mequskein]]$/"	"mequein, mequskein"	"456b"	8	0	"2009-09-14"	"2010-12-26"	"vagrant"	"vagrant"
129	"(S) brbr (Sf,B) berber (NH) brbre *^<a href="ext codex II - The Gospel of Thomas;107;35;5;akTHe ebol Hn tphgh etbrbre">Ext</a>^*"	2	"{intr:} boil /$gk: [[zein]]$/"	"{intr:} boil /$gk: [[zein]]$/"	"zein"	"42b"	7	0	"2009-09-14"	"2010-12-09"	"vagrant"	"vagrant"
130	"(S,sA,B,F) Si (S) Sei (A) Q$^e^$i (S,B,F) Si- (A) Qi- (S,B) Sit= (Sa) Hit= (A) Qit= (S) Shu+ (B) Shou+"	2	"{intr:} (/*rare*/), measure, weigh /$gk: [[diametrein]]$/ | {qual:} /$gk: [[emmetros]]$/ | {tr:} /$gk: [[metrein, diametrein]]$/"	"{intr:} (/*rare*/), measure, weigh /$gk: [[diametrein]]$/ | {qual:} /$gk: [[emmetros]]$/ | {tr:} /$gk: [[metrein, diametrein]]$/"	"diametrein, emmetros, metrein"	"547b"	8	0	"2009-09-14"	"2010-08-09"	"vagrant"	"vagrant"
131	"(S,A,sA,F) Ji (Sf) Jei,Jiei,Je (B) Gi (S,A,sA,F,O) Ji- (S,F) Je- (S) Jei- (B,F) Gi- (S,A,sA,F) Jit= (B) Git= (S,A,sA) Jhu+ (A) Jhou+ (B) Ghou+ (S,A,sA,F) ^Jai- (sA,O) ^Jaei- (B) ^Gai- (S,sA) ^Jau- (B) ^Gau-"	2	"{intr:} |$ receive, take /$gk: [[lambanein, dexesqai, komizesqai]]$/ |$ take wife, marry /$gk: [[gamein]]$/ |$ touch, reach, hit | {tr:} |$ take, get, bring, accept /$gk: [[lambanein]]$/ |$ have, be provided with |$ touch, reach, hit |$ learn /*by heart*/ |$ buy (S)"	"{intr:} |$ receive, take /$gk: [[lambanein, dexesqai, komizesqai]]$/ |$ take wife, marry /$gk: [[gamein]]$/ |$ touch, reach, hit | {tr:} |$ take, get, bring, accept /$gk: [[lambanein]]$/ |$ have, be provided with |$ touch, reach, hit |$ learn /*by heart*/ |$ buy (S)"	"lambanein, dexesqai, komizesqai, gamein"	"747b"	7	0	"2009-09-14"	"2010-05-28"	"vagrant"	"vagrant"
132	"(S) Somnt,S$^e^$mnt (S,B) Somt (Sf) Sament (Sa,sA) Samnt (A) Qamt (sA,F) Samt (S,sA) Smt- (S) S$^e^$mnt- (A) Qnt-,Qnte- (S,O) ****Somte (S) ****Somnte (A) ****Qamte (sA) ****Samte,Homte (B) ****SomT"	13	"three /$gk: [[treis]]$/ | thirteen"	"three /$gk: [[treis]]$/ | thirteen"	"treis"	"566b"	6	0	"2009-09-14"	"2010-05-11"	"vagrant"	"vagrant"
133	"(S,sA) Sbhr (S) Sbr (A) Qbhr (B) Sfhr (F) Sbhl (S,sA) Sbr- (S) ****Sbeere (B) ****Sferi (F) ****Sbhhli (S,sA) *Sbeer (S) *Sbeere (sA) *Sbere (A) *Qbeere"	3	"friend, comrade /$gk: [[filos, plhsion]]$/"	"friend, comrade /$gk: [[filos, plhsion]]$/"	"filos, plhsion"	"553a"	8	0	"2009-09-14"	"2010-08-10"	"vagrant"	"vagrant"
134	"(S,A,sA,B,F) Fi (S) Fei (sA,F,O) bi (B) Fai (S,A,sA,B,F) Fi- (S) Fei- (S,A,sA,B,F) Fit= (sA) bit= (S) Fhu+ (S,A,B) ^Fai- (S,sA,F,O) ^bai- (A,F) ^Faei- (F) ^baei-"	2	"{intr:} bear, carry, take /$gk: [[ferein, bastazein]]$/ | {tr:}  /$gk: [[airein, ejairein]]$/ | (p c S,A,sA,B,F,O), carrier"	"{intr:} bear, carry, take /$gk: [[ferein, bastazein]]$/ | {tr:}  /$gk: [[airein, ejairein]]$/ | (p c S,A,sA,B,F,O), carrier"	"ferein, bastazein, airein, ejairein"	"620a"	7	0	"2009-09-14"	"2010-05-05"	"vagrant"	"vagrant"
135	"(S,A,sA,F) wne (B,F) wni (S) ene- (B,F) ana-"	22	"stone /$gk: [[liqos, petra]]$/ | (as measure) | (as adj) /$gk: [[liqinos, liqourgikos]]$/"	"stone /$gk: [[liqos, petra]]$/ | (as measure) | (as adj) /$gk: [[liqinos, liqourgikos]]$/"	"liqos, petra, liqinos, liqourgikos"	"524a"	6	0	"2009-09-14"	"2010-03-05"	"vagrant"	"vagrant"
136	"(S,A,sA,B) rwkH (F) lwkH (NH) rwHk *^<a href="ext codex II - The Gospel of Thomas;107;35;13;nte oukwHt ei ebol Hn nwne nsrwHk mmwtn">Ext</a>^* (S,B) rekH- (S,B) rokH= (S) rakH=,rokx=,rox= (A) raxH= (S,A,sA) rax= (F) lakH= (S,B) rokH+ (S) rox+,rwx+,roHx+ (A,F) rapH+ (S,F) roxH+"	2	"{intr:} burn /$gk: [[kaiein, purousqai]]$/ | {tr:}  /$gk: [[kaiein, flegein]]$/"	"{intr:} burn /$gk: [[kaiein, purousqai]]$/ | {tr:}  /$gk: [[kaiein, flegein]]$/"	"kaiein, purousqai, flegein"	"293a"	8	0	"2009-09-14"	"2011-01-14"	"vagrant"	"vagrant"
137	"(S) nobe (Sf,A,sA) nabe (B) nobi (F) nabi,naFi"	1	"sin /$gk: [[amartia, amarthma, paraptwma]]$/"	"sin /$gk: [[amartia, amarthma, paraptwma]]$/"	"amartia, amarthma, paraptwma"	"222a"	8	0	"2009-09-14"	"2010-06-21"	"vagrant"	"vagrant"
138	"(S) mooSe,moSe (A,sA) maaHe (Sa,A) maHe (Sa) moHe (B) moSi (F) maaSi,maSi (F) **maaS,maS"	2	"{intr:} |$ walk, go (on land or water) /$gk: [[poreuesqai, peripatein, badizein, diodeuein, pezeuein]]$/ |$ be about to, proceed to"	"{intr:} |$ walk, go (on land or water) /$gk: [[poreuesqai, peripatein, badizein, diodeuein, pezeuein]]$/ |$ be about to, proceed to"	"poreuesqai, peripatein, badizein, diodeuein, pezeuein"	"203b"	7	0	"2009-09-14"	"2010-04-07"	"vagrant"	"vagrant"
139	"(S,sA,F) kw (A,sA,F) kou (sA) kwe (B) xw (S,A,sA,F) ka- (B) xa- (F) ke- (S,A,sA) kaa= (B) xa= (NH) ko= *^<a href="ext codex II - The Gospel of Thomas;107;43;2;mpe prwme koou eHwle mpzizanion">Ext</a>^* (S,F) kee=,ke=,kh+ (A) kei+ (sA) kaat+ (B) xh+"	2	"place, appoint, set down, make /$gk: [[tiqenai, tassein, istanai]]$/ | (with dative), have, get, keep | preserve | permit, set free /$gk: [[anienai, afienai]]$/ | {qual:} be loose, limp, unrestrained, permitted | (as imperative), admit, concede, suppose | bequeath | quit, abandon, fail /$gk: [[afienai, apwqein]]$/ | leave, omit | (qual + prep or advb), be, exist, lie) /$gk: [[keisqai]]$/ | (in later SF letters) go to, reach, (lit) enter, (qual) be in | (auxil /*causative*/ use)"	"place, appoint, set down, make /$gk: [[tiqenai, tassein, istanai]]$/ | (with dative), have, get, keep | preserve | permit, set free /$gk: [[anienai, afienai]]$/ | {qual:} be loose, limp, unrestrained, permitted | (as imperative), admit, concede, suppose | bequeath | quit, abandon, fail /$gk: [[afienai, apwqein]]$/ | leave, omit | (qual + prep or advb), be, exist, lie) /$gk: [[keisqai]]$/ | (in later SF letters) go to, reach, (lit) enter, (qual) be in | (auxil /*causative*/ use)"	"tiqenai, tassein, istanai, anienai, afienai, apwqein, keisqai"	"94b"	7	0	"2009-09-14"	"2013-02-08"	"vagrant"	"vagrant"
140	"(S,A,sA) Swne (B,F) Swni (S) Soone+ (NH) Sone=,Sone+ *^<a href="ext codex II - The Apocryphon of John;106;11;14;alla aFSwpe eFSone piarxwn Ge etSone ountaF mmau nSomt nran;codex IV - The Apocryphon of John;118;17;24;alla aFSwpe eFSone piarxwn Ge etSone ountaF mmau nSomt nran;codex VI - Authoritative Teaching;127;24;6;SaFSones nFnoJs eppornion">Ext</a> or ? [Swwne], exclude^*"	2	"{intr:} be sick, weak /$gk: [[asqenein, nosein]]$/"	"{intr:} be sick, weak /$gk: [[asqenein, nosein]]$/"	"asqenein, nosein"	"570b"	8	0	"2009-09-14"	"2010-10-14"	"vagrant"	"vagrant"
141	"(S,sA) JwHm (A) JwQme (Sa) JwHme (B) GwKem (S) JeHm- (B) GaKem- (S,sA) JaHm= (A) JaQm= (B) GaKm= (NH) JoHm= *^<a href="ext codex II - The Gospel of Philip;108;55;31;teeiparqenos ete mpe dunamis JoHmes ou --- andunamis JoHmou;codex II - The Gospel of Philip;108;65;14;SauFwGe eHrai eJwF nseswbe nmmaF nseJoHmeF;codex II - The Hypostasis of the Archons;109;89;27;auJoHmes HnouswF">Ext</a>^*,JwHm= *^<a href="ext codex II - The Gospel of Thomas;107;35;24;petnabwk gar eHoun Hn tetntapro FnaJwHm thutn an">Ext</a>^* (S,sA) JaHm+ (A) JaQme+ (S,sA) JaHme+ (B) GaKem+ (F) JeH$^e^$m+ (S,NH) JoHm+ *^<a href="ext Gospel of Judas;824;12;3;--- mpgenos etJoHm mn tsofia nfqarth;Gospel of Judas;824;19;11;peFeine de eFJoHm nsnoF;codex II - The Gospel of Philip;108;69;2;maFSwpe nnHmHal oute nsHime eFJoHm">Ext</a>^*"	2	"{intr:} be defiled /$gk: [[miainesqai, loimeuesqai, molunesqai]]$/ | {tr:}  defile, pollute /$gk: [[miainesqai, koinoun]]$/"	"{intr:} be defiled /$gk: [[miainesqai, loimeuesqai, molunesqai]]$/ | {tr:}  defile, pollute /$gk: [[miainesqai, koinoun]]$/"	"miainesqai, loimeuesqai, molunesqai, koinoun"	"797b"	8	0	"2009-09-14"	"2011-02-22"	"vagrant"	"vagrant"
142	"(S,sA) pwHt (A) pwQt (B) fwKt (S,F) peHt- (S) paHt- (B) faKt- (S,sA) paHt= (A) paQt= (B) faKt= (F) peHt= (S) paHt+ (A) paQt+ (B) faKt+ (F) peHt+"	2	"bend |$ {tr /*refl*/:} bend self, fall /$gk: [[piptein, kuptein]]$/ | pour, flow |$ {intr:} (S,A,sA, with preposition) /$gk: [[ekxeein epi]]$/ |$ {tr:} (S,B) /$gk: [[apokenoun]]$/"	"bend |$ {tr /*refl*/:} bend self, fall /$gk: [[piptein, kuptein]]$/ | pour, flow |$ {intr:} (S,A,sA, with preposition) /$gk: [[ekxeein epi]]$/ |$ {tr:} (S,B) /$gk: [[apokenoun]]$/"	"piptein, kuptein, ekxeein epi, apokenoun"	"283a"	8	0	"2009-09-14"	"2010-07-06"	"vagrant"	"vagrant"
143	"(S,A,sA) sHime (B,F) sHimi (F) simi,simei (O) sime (S) seime,sHe (S,A,sA,O) Hime (S) Him (F) Hhm (S) *Hiome (A,sA) *Hiame (A) *Hiaame,sHiame (B) *Hiomi (F) *Hiami (NH) *sHiome *^<a href="ext codex II - The Gospel of Thomas;107;51;20;nsHiome mpSa an mpwnH;codex II - The Book of Thomas the Contender;112;139;37;neucuxh estroupwSs eroou Hrai Hn nHout mn nsHiome;codex II - On the Origin of the World;110;106;32;naei de ne nran nnsHiome">Ext</a>^*"	4	"woman (/*[sa] + [Hime]*/) /$gk: [[gunh, qhlus]]$/ | wife | female (of animals) | ([Hime] &c), wife"	"woman (/*[sa] + [Hime]*/) /$gk: [[gunh, qhlus]]$/ | wife | female (of animals) | ([Hime] &c), wife"	"gunh, qhlus"	"385a"	6	0	"2009-09-14"	"2011-01-11"	"vagrant"	"vagrant"
144	"(S,A,sA,B,F) ouwSt (sA) ouaSt="	2	"{intr:} worship, greet, kiss /$gk: [[proskunein]]$/ | {tr:} (/*but nom obj often indistinguishable from [n-] dat*/) /$gk: [[sebesqai, ejilaskein]]$/"	"{intr:} worship, greet, kiss /$gk: [[proskunein]]$/ | {tr:} (/*but nom obj often indistinguishable from [n-] dat*/) /$gk: [[sebesqai, ejilaskein]]$/"	"proskunein, sebesqai, ejilaskein"	"504a"	8	0	"2009-09-14"	"2010-08-07"	"vagrant"	"vagrant"
145	"(S,A,sA) meeue (S,A,sA) meue (S) meeu (A) meoue (B,O) meui (F) mhoui,mhhoui,meeuei"	2	"{intr:} think |$ (no obj) /$gk: [[logizesqai, dianoein, nomizein]]$/ |$ [+ Je], think that |$ (+ ethic dative) |$ (sim c [e-]) /*refl dat*/ |$ [+ n-], meditate (doing), be about to (do)"	"{intr:} think |$ (no obj) /$gk: [[logizesqai, dianoein, nomizein]]$/ |$ [+ Je], think that |$ (+ ethic dative) |$ (sim c [e-]) /*refl dat*/ |$ [+ n-], meditate (doing), be about to (do)"	"logizesqai, dianoein, nomizein"	"199a"	7	0	"2009-09-14"	"2010-04-07"	"vagrant"	"vagrant"
146	"(S,A,sA,F,O) pwrJ (B) fwrJ (F) pwlJ,pwleJ (S) prJ-,perJ- (B) ferJ- (S) porJ= (A,F) parJ= (B) forJ= (F) palJ= (S) porJ+ (A) parJ+ (B) forJ+"	2	"{intr:} divide, be divided /$gk: [[diaireisqai, diastellein]]$/ | {tr:} (S,A,B,F), divide, separate /$gk: [[diastellein, aforizein]]$/"	"{intr:} divide, be divided /$gk: [[diaireisqai, diastellein]]$/ | {tr:} (S,A,B,F), divide, separate /$gk: [[diastellein, aforizein]]$/"	"diaireisqai, diastellein, aforizein"	"271b"	8	0	"2009-09-14"	"2010-06-25"	"vagrant"	"vagrant"
147	"(S,A,sA) shFe (S) shbe (B,F) shFi (F) shbi"	22	"(/*m once*/), sword, knife /$gk: [[romfaia, jifos, maxaira]]$/"	"(/*m once*/), sword, knife /$gk: [[romfaia, jifos, maxaira]]$/"	"romfaia, jifos, maxaira"	"379a"	6	0	"2009-09-14"	"2010-02-19"	"vagrant"	"vagrant"
148	"(S,A,sA) wHe (S) oHe (B) oHi (Sf,F) wHi (F) aHi (S,A,sA) aHe+ (B,F) oHi+"	2	"{intr:} stand, stay, wait /$gk: [[menein, istanai]]$/ | (with [rat=])"	"{intr:} stand, stay, wait /$gk: [[menein, istanai]]$/ | (with [rat=])"	"menein, istanai"	"536b"	8	0	"2009-09-14"	"2010-08-09"	"vagrant"	"vagrant"
149	"(S,sA,F) swtm (A,sA) swtme (B,F) swtem (S) setm-,sotm= (Sa,A,sA) satm= (B) soqm= (F) swtm="	2	"{intr:} hear /$gk: [[akouein]]$/ | {tr:}  /$gk: [[akouein]]$/"	"{intr:} hear /$gk: [[akouein]]$/ | {tr:}  /$gk: [[akouein]]$/"	"akouein"	"363b"	7	0	"2009-09-14"	"2010-04-10"	"vagrant"	"vagrant"
150	"(S,A,sA,F) GiJ (B) JiJ (F) JiJH (F) *JeuJ,JeouJ,JeouJH,JeouHJ"	4	"hand /$gk: [[xeir, draj]]$/"	"hand /$gk: [[xeir, draj]]$/"	"xeir, draj"	"839b"	6	0	"2009-09-14"	"2010-04-01"	"vagrant"	"vagrant"
151	"(S) Gom (A,sA,F) Gam (B) Jom (F) Jam"	4	"power, strength /$gk: [[dunamis, isxus, andreia]]$/ | (as adj)"	"power, strength /$gk: [[dunamis, isxus, andreia]]$/ | (as adj)"	"dunamis, isxus, andreia"	"815b"	8	0	"2009-09-14"	"2010-10-03"	"vagrant"	"vagrant"
152	"(S) swSe (Sa) swxe,swHe (F) SwSi (S) * $$ sooSSe"	4	"field, meadow, country (opp town) /$gk: [[agros, pedion]]$/"	"field, meadow, country (opp town) /$gk: [[agros, pedion]]$/"	"agros, pedion"	"377a"	6	0	"2009-09-14"	"2010-02-18"	"vagrant"	"vagrant"
