key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by
11	"(S,A) amaHte,amaHe (A,B) amaHi (sA) emaHte (F) ameHi,emeHi,meHi"	2	"{intr:} převládnout, vládnout, být mocný, potlačit /$gk: [[kratein, katexein]]$/ | {tr:} zmocnit se, uchvátit, držet, omezit, zadržet /$gk: [[lambanein]]$/"	"{intr:} prevail, rule, be in possession, valid, (also) lay hold on, (so) restrain /$gk: [[kratein, katexein]]$/ | {tr:} grasp, embrace, possess, restrict, detain /$gk: [[lambanein]]$/"	"kratein, katexein, lambanein"	"9a"	9	0	"2009-09-14"	"2010-10-27"	"vagrant"	"vagrant"
12	"(S,A,sA,B,F) twbH (S,F) twbaH (S,A,sA) tbH- (S) tebH- (Sa,A) twbH- (S,B) tobH= (Sf) taHb= (F) tabaH="	2	"{intr:} pray, entreat /$gk: [[euxesqai, deisqai]]$/ | {tr:} entreat, console"	"{intr:} pray, entreat /$gk: [[euxesqai, deisqai]]$/ | {tr:} entreat, console"	"euxesqai, deisqai"	"402a"	8	0	"2009-09-14"	"2010-07-23"	"vagrant"	"vagrant"
13	"(S,sA,O) Swpe (A) Qwpe (B,F) Swpi (O) Kwpe,swbi (S,sA) Soop+ (A) Qoop+ (B,F) Sop+ (F) Saap+"	2	"{intr:} become, befall /$gk: [[einai, ginesqai]]$/ | (impersonal), befall /$gk: [[ginesqai, sumbainein]]$/ |$ (3d sg f) |$ (3d sg m) | {qual:} be, exist"	"{intr:} become, befall /$gk: [[einai, ginesqai]]$/ | (impersonal), befall /$gk: [[ginesqai, sumbainein]]$/ |$ (3d sg f) |$ (3d sg m) | {qual:} be, exist"	"einai, ginesqai, sumbainein"	"577b"	7	0	"2009-09-14"	"2012-09-24"	"vagrant"	"vagrant"
14	"(S,sA,B,F) Swrp (A) Qwrp (F) Swl$^e^$p (S) S$^e^$r$^e^$p- (B) Serp- (S,B) Sorp= (A) Qarp= (S) Sorp+ (NH) Sarp+ *^<a href="ext codex I - The Apocryphon of James;102;7;14;Spe oun Gam ari Sarp araei Hwwt">Ext</a>^*"	2	"{intr:} be early | {qual:} /$gk: [[orqrios]]$/ | {tr /*refl*/:} /$gk: [[orqrizein]]$/"	"{intr:} be early | {qual:} /$gk: [[orqrios]]$/ | {tr /*refl*/:} /$gk: [[orqrizein]]$/"	"orqrios, orqrizein"	"586b"	8	0	"2009-09-14"	"2011-01-15"	"vagrant"	"vagrant"
15	"(S,B,O) ran (S) rin (A,sA,F,O) ren (F) len (S,B) ren- (S,A) rnt= (S) rent=,rint=,rant= (S,O) rin= (B,O) ren="	1	"name /$gk: [[onoma]]$/"	"name /$gk: [[onoma]]$/"	"onoma"	"297b"	8	0	"2009-09-14"	"2010-07-07"	"vagrant"	"vagrant"
16	"(S,A,sA) Jise (B) Gisi (F) Jisi (S,sA) Jest- (S) Jast- (B) Ges-,Gas- (S) Jast=,Jist= (A,sA,F) Jest= (B) Gas= (S) Jose+ (A,sA) Jase+ (sA,F) Jasi+ (B) Gosi+ (S,A,sA,F) ^Jasi- (B) ^Gasi-"	2	"{intr:} become, be high /$gk: [[ucousqai, megalunesqai]]$/ | {qual:} /$gk: [[ucistos, uchlos, metewros]]$/ | {tr:} exalt /$gk: [[ucoun]]$/ | (p c), who raises, mounts"	"{intr:} become, be high /$gk: [[ucousqai, megalunesqai]]$/ | {qual:} /$gk: [[ucistos, uchlos, metewros]]$/ | {tr:} exalt /$gk: [[ucoun]]$/ | (p c), who raises, mounts"	"ucousqai, megalunesqai, ucoun, ucistos, uchlos, metewros"	"788b"	7	0	"2009-09-14"	"2010-08-15"	"vagrant"	"vagrant"
17	"(S,Sf) Jo$^e^$is (S,A,F) Js (A,sA,F) Jaeis (sA,F) Jais (Sf) Gos (NH) Jes *^<a href="ext codex II - The Gospel of Thomas;107;37;6;eFSaeime nGi pJesHnhei">Ext</a>^* (S) *Jisoou$^e^$ (A,sA) *Jiseue (B) *Giseu (F) *Jishoui (Sf) *Jishhue"	22	"lord |$ (title of God) /$gk: [[kurios]]$/ |$ (of man), master, owner /$gk: [[oikodespoths]]$/ |$ (of saint)"	"lord |$ (title of God) /$gk: [[kurios]]$/ |$ (of man), master, owner /$gk: [[oikodespoths]]$/ |$ (of saint)"	"kurios, oikodespoths"	"787b"	8	0	"2009-09-14"	"2011-01-14"	"vagrant"	"vagrant"
18	"(S,A,sA) rro (Sf) erro (S,O) ero (S,B) ouro (F) rra,erra,irra,era (S,sA) ****rrw (S,Sf) ****erw (B) ****ourw (S,A) *rrwou (S,F) *errwou (S,O) *erwou (S) *rroou (Sa,A) *rra$^e^$i (B) *ourwou"	22	"king, queen /$gk: [[basileus, arxwn, turannis, kaisar, hgoumenos]]$/ | (as adj) royal"	"king, queen /$gk: [[basileus, arxwn, turannis, kaisar, hgoumenos]]$/ | (as adj) royal"	"basileus, arxwn, turannis, kaisar, hgoumenos"	"299a"	8	0	"2009-09-14"	"2010-07-07"	"vagrant"	"vagrant"
19	"(S,A,sA,B,F,O) Hht (S,A,sA,F,O) Hth= (O) Hte= (B) Hqh= (A) ht= (B) eHth= (A,sA) *Hete (F) *HeT"	1	"heart, mind /$gk: [[kardia, nous, dianoia, cuxh]]$/"	"heart, mind /$gk: [[kardia, nous, dianoia, cuxh]]$/"	"kardia, nous, dianoia, cuxh"	"714a"	8	0	"2009-09-14"	"2010-08-12"	"vagrant"	"vagrant"
20	"(S,A,sA) Shre (B,F,O) Shri (F) Shli (S,A,sA) Sr- (A) Shr- (F) Sel- (S) Se- (S,F) Si- (S,B) Sou- (S,B,F,O) S$^e^$n- *^for [Se n-]^* (S,F) Shn- (S,A,sA) ****Seere (S,Sf) ****Shhre (sA,O) ****Sere (B) ****Seri (F) ****Shhli (S) *Srhu,Sreu"	3	"son, child /$gk: [[uios, teknon]]$/ | daughter /$gk: [[qugathr]]$/"	"son, child /$gk: [[uios, teknon]]$/ | daughter /$gk: [[qugathr]]$/"	"uios, teknon, qugathr"	"584a"	6	0	"2009-09-14"	"2010-03-14"	"vagrant"	"vagrant"
21	"(S,A,sA,O) rwme (B,F) rwmi (F) lwmi,lomi (S) rwm- (O) rom- (S,A,sA) rm- (S,B,F) rem- (F) lem-,le$^m^$-"	22	"man, human being /$gk: [[anqrwpos, anhr]]$/ | (adj), human | any one, no one | kinsman, friend, serving-man"	"man, human being /$gk: [[anqrwpos, anhr]]$/ | (adj), human | any one, no one | kinsman, friend, serving-man"	"anqrwpos, anhr"	"294b"	6	0	"2009-09-14"	"2010-02-10"	"vagrant"	"vagrant"
22	"(S,O) me (S) mee (S,A) mhe (A) mie (B) mhi,mei (F) mei,meei,mhi"	4	"truth, justice, (also) true person /$gk: [[alhqeia]]$/"	"truth, justice, (also) true person /$gk: [[alhqeia]]$/"	"alhqeia"	"156b"	6	0	"2009-09-14"	"2010-02-02"	"vagrant"	"vagrant"
23	"(S,A,sA,O) eire (sA) ire (B) iri (F) ili (B,F) ra,la (S,A,sA,O) r- (S,B,O) er- (F) el- (S) aa=,eiat= (A,sA) eet= (sA) eeit= (sA) ee=,ae= (B) ai= (F) ei=,eit= (O) ait= (NH) a= *^<a href="ext codex II - The Gospel of Thomas;107;43;19;nkesmot FnaSas an;codex II - The Gospel of Philip;108;77;4;FnaaF eFouaab">Ext</a>^* (S,sA,F) o+ (A) e+,eie+ (sA) oei+ (B,F) oi+ (F) ai+,ei+,e+ (S) **arire (B) **arioui (S,A,B) **ari- (A,sA) **eri- (F) **ali-,ale- (S,sA) **ari= (B) **arit= (F) **alit="	2	"{intr:} (S,A,B,F) |$ act /$gk: [[poiein, prassein]]$/ |$ become, befall /$gk: [[einai, ginesqai]]$/ |$ (c dat) | {tr:} |$ make, do |$ make, bear fruit |$ pass (time) |$ make (total), amount to |$ make (price), value (at) |$ (as vb of direction)"	"{intr:} (S,A,B,F) |$ act /$gk: [[poiein, prassein]]$/ |$ become, befall /$gk: [[einai, ginesqai]]$/ |$ (c dat) | {tr:} |$ make, do |$ make, bear fruit |$ pass (time) |$ make (total), amount to |$ make (price), value (at) |$ (as vb of direction)"	"poiein, prassein, einai, ginesqai"	"83a"	8	0	"2009-09-14"	"2011-01-14"	"vagrant"	"vagrant"
24	"(S,sA,B) talGo (A,sA) tlGo (F) telGa,TilJa (S,A,B) talGe- (S,B) talGo= (Sa) t$^e^$lko= (A,sA) tlGa= (sA) talGa= (S) talGhu+"	2	"{intr:} make to cease, heal (/*causative of [laGe]*/) /$gk: [[iasqai, qerapeuein]]$/"	"{intr:} make to cease, heal (/*causative of [laGe]*/) /$gk: [[iasqai, qerapeuein]]$/"	"iasqai, qerapeuein"	"411b"	8	0	"2009-09-14"	"2010-07-23"	"vagrant"	"vagrant"
25	"(S,B,F) eneH (S) eneHe,enhHe (A,sA) anhHe"	1	"(nn m) |$ věčnost /$gk: [[aiwn]]$/ |$ věk, (časový úsek) /$gk: [[aiwn]]$/ | (with [Sa-]) /$gk: [[aiwnios]]$/ | (adj), věčný /$gk: [[aiwnios]]$/ |$ (with [nSa-]) /$gk: [[aiwnios]]$/ |$ (with [Sa-]) /$gk: [[aiwnios]]$/ | (adv), navždy, věčně, vždy |$ (in interrog clause) /$gk: [[pote]]$/ |$ (with neg vb) /$gk: [[pote, oudepote]]$/ |$ (with [Sa-, nSa-]) |$ (with [Jin-, isJen-]) |$ (as nn)"	"(nn m) |$ eternity /$gk: [[aiwn]]$/ |$ age, (period of time) /$gk: [[aiwn]]$/ | (with [Sa-]) /$gk: [[aiwnios]]$/ | (adj), eternal /$gk: [[aiwnios]]$/ |$ (with [nSa-]) /$gk: [[aiwnios]]$/ |$ (with [Sa-]) /$gk: [[aiwnios]]$/ | (adv), for ever, eternally, ever |$ (in interrog clause) /$gk: [[pote]]$/ |$ (with neg vb) /$gk: [[pote, oudepote]]$/ |$ (with [Sa-, nSa-]) |$ (with [Jin-, isJen-]) |$ (as nn)"	"aiwn, aiwnios"	"57a"	9	0	"2009-09-14"	"2010-09-26"	"vagrant"	"vagrant"
26	"(S,A,sA) mise (B,F) misi (O) mesie (S,B) mas- (S,A,B,F) mes- (S) mest- (S,A) mast=,mest= (S,B) mas= (O) mist= (S) mose+ (B) mosi+ (S,A,B,F) ^mas- (S,A,F) ^mes-"	2	"{intr:} bear, bring forth /$gk: [[tiktein, gennan]]$/ | {tr:} bear young | {qual:} be newly delivered, give suck"	"{intr:} bear, bring forth /$gk: [[tiktein, gennan]]$/ | {tr:} bear young | {qual:} be newly delivered, give suck"	"tiktein, gennan"	"184b"	6	0	"2009-09-14"	"2010-02-04"	"vagrant"	"vagrant"
27	"(S,A,sA,F) Gwlp (S,F) kwlp (B) Gwrp (S) G$^e^$lp-,Golp=,kolp= (sA) Galp= (B) Gorp= (S,F) Golp+,kolp+ (Sa,A,sA,F) Galp+ (B) Gorp+ (S) ^Galp-"	2	"{tr:} uncover, open, reveal /$gk: [[apkaluptein]]$/ | (p c), who (or) which is uncovers, is bare"	"{tr:} uncover, open, reveal /$gk: [[apkaluptein]]$/ | (p c), who (or) which is uncovers, is bare"	"apkaluptein"	"812a"	7	0	"2009-09-14"	"2010-06-01"	"vagrant"	"vagrant"
28	"(S,B) bal (A,sA,F) bel"	1	"eye /$gk: [[ofqalmos, omma]]$/"	"eye /$gk: [[ofqalmos, omma]]$/"	"ofqalmos, omma"	"31b"	6	0	"2009-09-14"	"2010-01-24"	"vagrant"	"vagrant"
29	"(S) maaJe (A,F) meeJe (F) meJe,mhJi (sA) meSte (Sa) meSt (B) maSJ (NH) meSJe *^<a href="extcodex I - The Prayer of the Apostle Paul;101;1;27;petempemeSJe narxwn satmeF;codex I - The Apocryphon of James;102;15;10;answtm Hrhei Hn nenmeSJe;codex I - The Apocryphon of James;102;15;18;answtm Hrhi Hn nenmeSJe aHnHumnos">Ext</a>^*,maJe *^<a href="ext codex II - The Gospel of Thomas;107;44;9;peteum maJe mmoF mareFswtm;codex III - The Gospel of the Egyptians;114;68;9;mpepeumaJe swtm eroF">Ext</a>^*"	1	"ear /$gk: [[ous, wtion]]$/ | (as) handle (of basket)"	"ear /$gk: [[ous, wtion]]$/ | (as) handle (of basket)"	"ous, wtion"	"212b"	6	0	"2009-09-14"	"2011-01-05"	"vagrant"	"vagrant"
30	"(S,B) nau (sA,F) neu (A,sA) no (Sa) nw (O) naou (S,B) **anau (sA,F) **aneu (A) **eno"	2	"{intr:} look, behold |$ (no obj) /$gk: [[oran, idein, blepein]]$/ |$$ (with [Je-]), see that, how |$ (c [e-], sometimes + ethic dat) |$ (with [e-]) dat commodi |$$ provide, seek out"	"{intr:} look, behold |$ (no obj) /$gk: [[oran, idein, blepein]]$/ |$$ (with [Je-]), see that, how |$ (c [e-], sometimes + ethic dat) |$ (with [e-]) dat commodi |$$ provide, seek out"	"oran, idein, qeasqai"	"233b"	7	0	"2009-09-14"	"2010-04-07"	"vagrant"	"vagrant"
31	"(S,A,sA,O) noute (B,F) nouT (A) nounte (B,F) fT *^i e [fnouT]^* (S,NH) nT,*^in^* pnT *^<a href="ext Gospel of Judas;824;7;21;petmmau pe pnT etetnSmSe naF;Apocryphon of John;821;32;3;auJwk ebol HitotF mpepna mpnT nautogenhs nSa eneH pShre ntbarbhlw">Ext</a>^*"	22	"god /$gk: [[qeos]]$/ | (as adj), godly, divine /$gk: [[qeios]]$/"	"god /$gk: [[qeos]]$/ | (as adj), godly, divine /$gk: [[qeios]]$/"	"qeos, qeios"	"230b"	6	0	"2009-09-14"	"2011-02-15"	"vagrant"	"vagrant"
32	"(S,A,B,F,O) hi (S,A,sA) hei (A,B,F) *hou"	1	"house /$gk: [[oikos, oikia]]$/ | household, family /$gk: [[oikos, oikia]]$/"	"house /$gk: [[oikos, oikia]]$/ | household, family /$gk: [[oikos, oikia]]$/"	"oikos, oikia"	"66a"	6	0	"2009-09-14"	"2010-01-26"	"vagrant"	"vagrant"
