Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ϣⲉⲡ`ⲥⲃⲱ	ϣεπ`ςβω	shepesvoː	shep`sbw	shepesvō	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتأدب
يقبل تأديبا"		ϣⲉⲡ`ⲥⲃⲱ	
ϣⲉⲡⲧ	ϣεπτ	shept	shept	shept	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحول
يتحول"		ϣⲉⲡⲧ	
ϣⲉⲡⲧⲟⲧ	ϣεπτοτ	sheptοt	sheptot	sheptot	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يسلم باليد على
يلثم يد
يقبل يد"		ϣⲉⲡⲧⲟⲧ	
ϣⲉⲡⲧⲱⲣⲓ	ϣεπτωρι	sheptoːri	sheptwri	sheptōri	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يضمن
يتعهد
يتكفل
يأخذ على نفسه تعهد"		ϣⲉⲡⲧⲱⲣⲓ	
ϣⲉⲡⲧⲱⲣⲓ	ϣεπτωρι	sheptoːri	sheptwri	sheptōri	اسم	مذكر	"ضامن
ضمان"		ϣⲉⲡⲧⲱⲣⲓ (ⲡ)	(ⲡ)
ϣⲉⲡὼⲟⲩ	ϣεπὼου	shepoː	shep`wou	shepōü	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	يقبل مجدا		ϣⲉⲡὼⲟⲩ	
ϣⲉⲡϣⲉⲡ	ϣεπϣεπ	shepshep	shepshep	shepshep	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يسن
يصقل
يصنع حد"		ϣⲉⲡϣⲉⲡ	
ϣⲉⲡϣⲱⲡ	ϣεπϣωπ	shepshoːp	shepshwp	shepshōp	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يسن
يصقل
يصنع حد"		ϣⲉⲡϣⲱⲡ	
ϣⲉⲃϣⲱⲡ	ϣεβϣωπ	shebshoːp	shebshwp	shebshōp	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"حاد
مرهف
مسنون
ماهر
حاذق
ذو همة"		ϣⲉⲃϣⲱⲡ	
ϣⲉⲡϣⲱⲡ	ϣεπϣωπ	shepshoːp	shepshwp	shepshōp	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"حاد
مرهف
مسنون
ماهر
حاذق
ذو همة"		ϣⲉⲡϣⲱⲡ	
ϣⲉⲡϧⲓⲥⲓ	ϣεπϧιςι	shepkʰisi	shepkhisi	shepkhisi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتعب
يتحمل التعب
يكد
يتكبد
يقاسي
يكابد
يعاني مشقة
يتألم
يكل
يصبر
يتأنى"		ϣⲉⲡϧⲓⲥⲓ	
ϣⲉⲡϧⲓⲥⲓ	ϣεπϧιςι	shepkʰisi	shepkhisi	shepkhisi	اسم	مذكر	"تعب
معاناة
تحمل التعب
مثابرة"		ϣⲉⲡϧⲓⲥⲓ (ⲡ)	(ⲡ)
ϣⲉⲡ`ϩⲙⲟⲧ	ϣεπ`ϩμοτ	shepehmοt	shep`hmot	shepehmot	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يشكر
يحمد
يقبل نعمة
يقدر معروفا"		ϣⲉⲡ`ϩⲙⲟⲧ	
ϣⲉⲡ`ϩⲙⲟⲧ	ϣεπ`ϩμοτ	shepehmοt	shep`hmot	shepehmot	اسم	مذكر	"شكر
حمد"		ϣⲉⲡ`ϩⲙⲟⲧ (ⲡ)	(ⲡ)
ϣⲉⲡϩⲟ	ϣεπϩο	shephο	shepho	shepho	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يقبل
يعتبر"		ϣⲉⲡϩⲟ	
ϣⲉⲡ`ϩⲣⲁ	ϣεπ`ϩρα	shepehrɑ	shep`hra	shepehra	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يقبل
يعتبر"		ϣⲉⲡ`ϩⲣⲁ	
ϣⲉⲡϫⲱ	ϣεπϫω	shepgoː	shepgw	shepgō	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يحلق رأسه
يجز"		ϣⲉⲡϫⲱ	
ϣⲉⲡϫⲱⲣⲓ	ϣεπϫωρι	shepgoːri	shepgwri	shepgōri	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يقوى على
يكره
يجبر
يتسلط
يتزود بالقوة
يشتد عوده
يستبسل"		ϣⲉⲡϫⲱⲣⲓ	
ϣⲉⲣ	ϣερ	sher	sher	sher	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يكوم
يكدس
يكثف
يردم
يسد"		ϣⲉⲣ	
ϣⲉⲣⲏ	ϣερη	sheriː	shery	sherï	اسم	مذكر ، مؤنث	"ابن الشمس
ابنة الشمس"		ϣⲉⲣⲏ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ϣⲉⲣⲓ	ϣερι	sheri	sheri	sheri	اسم	مؤنث	"ابنة
بنت"		ϣⲉⲣⲓ (ⲧ)	(ⲧ)
ϣⲉⲣⲡ	ϣερπ	sherp	sherp	sherp	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يبكر
يسبق
يتقدم"		ϣⲉⲣⲡ	
ϣⲉⲣ`ⲥϩⲓⲙⲓ	ϣερ`ςϩιμι	shereshimi	sher`shimi	shereshimi	اسم	مؤنث	شابة		ϣⲉⲣ`ⲥϩⲓⲙⲓ (ⲧ)	(ⲧ)
ϣⲉⲣⲧ	ϣερτ	shert	shert	shert	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يشوش الفكر
يجنن"		ϣⲉⲣⲧ	
ϣⲉⲣϣⲉⲣ	ϣερϣερ	shersher	shersher	shersher	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يهدم
يدك
يخرب
يدمر"		ϣⲉⲣϣⲉⲣ	
ϣⲉⲣϣⲓ	ϣερϣι	shershi	shershi	shershi	اسم	مذكر	"مزاح
هزار
لهو
هزء
استهزاء
سخرية
تحزب
نزاع
مصارعة بمزاح
ساخر
هازيء
مستهزيء"		ϣⲉⲣϣⲓ (ⲡ)	(ⲡ)
ϣⲉⲣϣⲱⲣ	ϣερϣωρ	shershoːr	shershwr	shershōr	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يهدم
يدك
يخرب
يدمر"		ϣⲉⲣϣⲱⲣ	
ϣⲉⲣϣⲱⲣ	ϣερϣωρ	shershoːr	shershwr	shershōr	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مهدوم
مدكوك
مخرب
مدمر
مقلوب
مقوض"		ϣⲉⲣϣⲱⲣ	
ϣⲉⲧ	ϣετ	shet	shet	shet	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يقطع
يبتر
يذبح"		ϣⲉⲧ	
ϣⲉⲧ ὲⲃⲟⲗ	ϣετ ὲβολ	shet èbοl	shet `ebol	shet èvol	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يقطع
يفصل
يوجز
يشرح
يفسر
يحسم"		ϣⲉⲧ ὲⲃⲟⲗ	
ϣⲉⲧϣⲉⲧ	ϣετϣετ	shetshet	shetshet	shetshet	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"ينقش
ينحت
يقطع"		ϣⲉⲧϣⲉⲧ	
ϣⲉⲧϣⲱⲧ	ϣετϣωτ	shetshoːt	shetshwt	shetshōt	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"ينقش
ينحت
يقطع"		ϣⲉⲧϣⲱⲧ	
ϣⲉⲧϣⲱⲧ	ϣετϣωτ	shetshoːt	shetshwt	shetshōt	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"منقوش
منحوت"		ϣⲉⲧϣⲱⲧ	
ϣⲉⲩⲛⲓ	ϣευνι	shevni	sheuni	shevni	اسم	مؤنث	"شونة
مخزن الغلال
مخزن التبن"		ϣⲉⲩⲛⲓ (ⲧ)	(ⲧ)
ϣⲉϣ	ϣεϣ	shesh	shesh	shesh	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يهين
يرذل
يحتقر
يشتم
يذري
ينثر
يبعثر
يهيل
ينشر
يعبق
يفيح
يفتل
يبرم
يجدل
يضفر"		ϣⲉϣ	
ϣⲉϣⲧ	ϣεϣτ	shesht	shesht	shesht	اسم	مذكر	"ملامة
عتاب
توبيخ"		ϣⲉϣⲧ (ⲡ)	(ⲡ)
ϣⲉϣⲧ	ϣεϣτ	shesht	shesht	shesht	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يعيق
يعطل
يمنع"		ϣⲉϣⲧ	
ϣⲉϣϥ	ϣεϣϥ	sheshf	sheshf	sheshf	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يزدري
يحتقر
يذم"		ϣⲉϣϥ	
ϣⲉϥ	ϣεϥ	shef	shef	shef	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يهدم
يخرب"		ϣⲉϥ	
ϣⲉⲃϫⲱ	ϣεβϫω	shebgoː	shebgw	shebgō	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	يحلق رأسه		ϣⲉⲃϫⲱ	
ϣⲉϥϫⲱ	ϣεϥϫω	shefgoː	shefgw	shefgō	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	يحلق رأسه		ϣⲉϥϫⲱ	
ϣⲉϩⲃ	ϣεϩβ	shehb	shehb	shehb	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحرق
يلفح
شعوط"		ϣⲉϩⲃ	
ϣⲉϫⲡ	ϣεϫπ	shegp	shegp	shegp	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يبقي
يعلق
يعوق
يأخر"		ϣⲉϫⲡ	
ϣⲏⲃ	ϣηβ	shiːb	shyb	shïb	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"محلوق
مجزوز
مقصوص الشعر"		ϣⲏⲃ	
ϣⲏⲃⲓ	ϣηβι	shiːvi	shyvi	shïvi	اسم	مؤنث	"تمثال
صنم
وثن
نصب"		ϣⲏⲃⲓ (ⲧ)	(ⲧ)
ϣⲏⲟⲩὶ	ϣηουὶ	shjoːwiː	shyoui	shïüi	اسم	مؤنث	"تمثال
صنم
وثن
نصب"		ϣⲏⲟⲩὶ (ⲧ)	(ⲧ)
ϣⲏⲓ	ϣηι	shiːi	shyi	shïi	اسم	مؤنث	"جب
حفرة
منجم
بئر
خزان
صهريج
ساقية
ترعة
بركة
قناية
فحل
حوض ، للمياة"		ϣⲏⲓ (ⲧ)	(ⲧ)
ϣⲏⲓ	ϣηι	shiːi	shyi	shïi	اسم	جمع	"هياكل الأوثان
مئات"		ϣⲏⲓ (ⲛ)	(ⲛ)
ϣⲏⲓⲃⲓ	ϣηιβι	shiːivi	shyivi	shïivi	اسم	مؤنث	"صدأ
قشف
جنزر"		ϣⲏⲓⲃⲓ (ⲧ)	(ⲧ)
ϣⲉⲛϥⲓ	ϣενϥι	shenfi	shenfi	shenfi	اسم	مؤنث	حرشفة السمك		ϣⲉⲛϥⲓ (ⲧ)	(ⲧ)
ϣⲏⲓϥⲓ	ϣηιϥι	shiːifi	shyifi	shïifi	اسم	مؤنث	حرشفة السمك		ϣⲏⲓϥⲓ (ⲧ)	(ⲧ)
ϣⲏⲕ	ϣηκ	shiːk	shyk	shïk	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"عميق
محفور
مجوف
غريق
دفين
عويص
عسر الفهم
غائر
كامن"		ϣⲏⲕ	
ϣⲏⲗ	ϣηλ	shiːl	shyl	shïl	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مشلول
مفلوج
مخلع
مفكك
سائب
مرخي
مسترخي
مهمل
متألم
مبتئس
حزين
مسلول ، السيف"		ϣⲏⲗ	
ϣⲏⲗ ὲⲃⲟⲗ	ϣηλ ὲβολ	shiːl èbοl	shyl `ebol	shïl èvol	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مشلول
مفلوج
مخلع
مفكك
سائب
مرخي
مسترخي
مهمل
متألم
مبتئس
حزين
مسلول ، السيف"		ϣⲏⲗ ὲⲃⲟⲗ	
ϣⲏⲙ	ϣημ	shiːm	shym	shïm	اسم	مذكر	"فأل
علامة
قليل
رفيع
نحيف
جزء يسير
كمية قليلة"		ϣⲏⲙ (ⲡ)	(ⲡ)
ϣⲏⲙⲗⲟⲩⲗ	ϣημλουλ	shiːmloːl	shymloul	shïmlül	اسم	مذكر	"ظريف
لطيف
غندور
شملول"		ϣⲏⲙⲗⲟⲩⲗ (ⲡ)	(ⲡ)
ϣⲏⲙⲗⲟⲩⲗⲉ	ϣημλουλε	shiːmloːle	shymloule	shïmlüle	اسم	مؤنث	"ظريفة
لطيفة
غندورة
شملولة"		ϣⲏⲙⲗⲟⲩⲗⲉ (ⲧ)	(ⲧ)
ϣⲏⲙⲛⲱⲓⲧ	ϣημνωιτ	shiːmnoːit	shymnwit	shïmnōit	اسم	مذكر	"سميذ
دقيق ناعم جدا"		ϣⲏⲙⲛⲱⲓⲧ (ⲡ)	(ⲡ)
ϣⲏⲟⲩ	ϣηου	shjoː	shyou	shïü	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"موزون
متوازن
مقدر
مقاس"		ϣⲏⲟⲩ	
ϣⲏⲟⲩ	ϣηου	shjoː	shyou	shïü	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"طويل
مرتفع
عال"		ϣⲏⲟⲩ	
