Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
`ϣⲧⲱⲣⲓ	`ϣτωρι	eshtoːri	`shtwri	eshtōri	اسم	مذكر	"ضامن
كفيل
ملتزم
ضمان
كفالة"		`ϣⲧⲱⲣⲓ (ⲡ)	(ⲡ)
`ϣⲫⲉⲣ	`ϣφερ	eshpʰer	`shpher	eshpher	اسم	مذكر	"صاحب
صديق"		`ϣⲫⲉⲣ (ⲡ)	(ⲡ)
`ϣⲫⲉⲣⲓ	`ϣφερι	eshpʰeri	`shpheri	eshpheri	اسم	جمع	"أصدقاء
شركاء
رفقاء"		`ϣⲫⲉⲣⲓ (ⲛ)	(ⲛ)
`ϣⲫⲏⲣ	`ϣφηρ	eshpʰiːr	`shphyr	eshphïr	اسم	مذكر	"صاحب
زميل
حبيب
صديق
رفيق
شريك
خليل
قرين
معايش
إشبين"		`ϣⲫⲏⲣ (ⲡ)	(ⲡ)
`ϣⲫⲏⲣⲓ	`ϣφηρι	eshpʰiːri	`shphyri	eshphïri	اسم	مؤنث	"صاحبة
زميلة
حبيبة
صديقة"		`ϣⲫⲏⲣⲓ (ⲧ)	(ⲧ)
`ϣⲫⲏⲣⲓ	`ϣφηρι	eshpʰiːri	`shphyri	eshphïri	صفة		"عجيب
غريب
مدهش
محير"		`ϣⲫⲏⲣⲓ (adj.)	(adj.)
`ϣⲫⲏⲣⲓ	`ϣφηρι	eshpʰiːri	`shphyri	eshphïri	اسم	مؤنث	"أعجوبة
معجزة
أية
عجب
عجيبة"		`ϣⲫⲏⲣⲓ (ⲧ)	(ⲧ)
`ϣⲫⲏⲣ`ⲛϩⲉⲙⲥⲓ	`ϣφηρ`νϩεμςι	eshpʰiːrenhemsi	`shphyr`nhemsi	eshphïrenhemsi	اسم	مذكر	جليس		`ϣⲫⲏⲣ`ⲛϩⲉⲙⲥⲓ (ⲡ)	(ⲡ)
`ϣⲫⲓⲏⲧ	`ϣφιητ	eshpʰiiːt	`shphiyt	eshphiït	اسم	مذكر	"محتشم
حيي
مستحي
خجلان
خجول"		`ϣⲫⲓⲏⲧ (ⲡ)	(ⲡ)
`ϣⲫⲓⲏϯ	`ϣφιηϯ	eshpʰiiːti	`shphiyti	eshphiïti	اسم	مؤنث	"محتشمة
خجلانة
مستحية"		`ϣⲫⲓⲏϯ (ⲧ)	(ⲧ)
`ϣⲫⲓⲧ	`ϣφιτ	eshpʰit	`shphit	eshphit	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يستحي
يخجل
يخزي
ينكسف"		`ϣⲫⲓⲧ	
`ϣⲫⲓⲧ	`ϣφιτ	eshpʰit	`shphit	eshphit	اسم	مذكر	"خجل
حياء
استحياء
خزي
عار"		`ϣⲫⲓⲧ (ⲡ)	(ⲡ)
`ϣⲫⲱⲧ	`ϣφωτ	eshpʰoːt	`shphwt	eshphōt	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يفلت
يتمكن من الهرب
يستطيع أن يهرب"		`ϣⲫⲱⲧ	
ϣⲱ	ϣω	shoː	shw	shō	اسم	مذكر	رمل		ϣⲱ (ⲡ)	(ⲡ)
ϣⲟⲃ	ϣοβ	shοb	shob	shob	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يحلق
يجز
يقص الشعر
يخيط"		ϣⲟⲃ	
ϣⲉⲃ	ϣεβ	sheb	sheb	sheb	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحلق
يجز
يقص الشعر
يخيط"		ϣⲉⲃ	
ϣⲱⲃ	ϣωβ	shoːb	shwb	shōb	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحلق
يجز
يقص الشعر
يخيط"		ϣⲱⲃ	
ϣⲱⲃ	ϣωβ	shoːb	shwb	shōb	اسم	مذكر	حلاقة		ϣⲱⲃ (ⲡ)	(ⲡ)
ϣⲱⲃⲓ	ϣωβι	shoːvi	shwvi	shōvi	اسم	مذكر	"خيار
عجور
قثة
من الخضروات"		ϣⲱⲃⲓ (ⲡ)	(ⲡ)
ϣⲟⲃⲧ	ϣοβτ	shοbt	shobt	shobt	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"(لازم)
يتغير
يتبدل
(متعد)
يغير
يبدل
يحول
(منعكس)
يتجلى"		ϣⲟⲃⲧ	
ϣⲉⲃⲧ	ϣεβτ	shebt	shebt	shebt	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"(لازم)
يتغير
يتبدل
(متعد)
يغير
يبدل
يحول
(منعكس)
يتجلى"		ϣⲉⲃⲧ	
ϣⲱⲃⲧ	ϣωβτ	shoːbt	shwbt	shōbt	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"(لازم)
يتغير
يتبدل
(متعد)
يغير
يبدل
يحول
(منعكس)
يتجلى"		ϣⲱⲃⲧ	
ϣⲱⲃϣ	ϣωβϣ	shoːbsh	shwbsh	shōbsh	اسم	مذكر	"ذراع
ساعد
ساق الحيوان الأمامية
منكب
عضد
كتف"		ϣⲱⲃϣ (ⲡ)	(ⲡ)
ϣⲱⲃϣ	ϣωβϣ	shoːbsh	shwbsh	shōbsh	اسم	مذكر	"نجم الجبار
الشعري
sirius
orion"		ϣⲱⲃϣ (ⲡ)	(ⲡ)
ϣⲱⲃϩ	ϣωβϩ	shoːbh	shwbh	shōbh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"ييبس
يجف
ينشف
يتصلب
يحترق
يشيط"		ϣⲱⲃϩ	
ϣⲱⲃϩ	ϣωβϩ	shoːbh	shwbh	shōbh	اسم	مذكر	شياط		ϣⲱⲃϩ (ⲡ)	(ⲡ)
ϣⲱⲓ	ϣωι	shoːi	shwi	shōi	اسم	مذكر	"علو
أرتفاع
قمة
ذروة
رأس
مرفق"		ϣⲱⲓ (ⲡ)	(ⲡ)
