Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲥⲉⲓⲣⲏⲛⲟⲥ	ςειρηνος	seiriːnos	seirynos	seirïnos	اسم	مؤنث	"جنية
عروس البحر
بنت البحر
كائن خرافي"	يوناني	ⲥⲉⲓⲣⲏⲛⲟⲥ (ⲧ)	(ⲧ)
ⲥⲉⲓⲥⲙⲟⲥ	ςειςμος	seismos	seismos	seismos	اسم	مذكر	"زلزلة
زلزال
هزة أرضية
عاصفة بحرية"	يوناني	ⲥⲉⲓⲥⲙⲟⲥ (ⲡ)	(ⲡ)
ⲥⲉⲕ	ςεκ	sek	sek	sek	اسم	مذكر	صوم		ⲥⲉⲕ (ⲡ)	(ⲡ)
ⲥⲉⲕ	ςεκ	sek	sek	sek	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يصوم
يستمر في الصوم"		ⲥⲉⲕ	
ⲥⲉⲕ	ςεκ	sek	sek	sek	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يجذب
يشد
يجر
يجتذب
يسحب"		ⲥⲉⲕ	
ⲥⲉⲕ	ςεκ	sek	sek	sek	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يجمع
يجني
يلتقط
يقطف
ينخل"		ⲥⲉⲕ	
ⲥⲉⲕⲑⲏⲟⲩ	ςεκθηου	sektʰiːoː	sekthyou	sekthïü	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتنفس
يستنشق
يأخذ نفسا"		ⲥⲉⲕⲑⲏⲟⲩ	
ⲥⲉⲕⲉϩ	ςεκεϩ	sekeh	sekeh	sekeh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يخلي
يفرغ
يعزل
يفض"		ⲥⲉⲕⲉϩ	
ⲥⲉⲕⲛⲓϥⲓ	ςεκνιϥι	seknifi	seknifi	seknifi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتنفس
يستنشق
يأخذ نفسا"		ⲥⲉⲕⲛⲓϥⲓ	
ⲥⲉⲕⲛⲓϥⲓ	ςεκνιϥι	seknifi	seknifi	seknifi	اسم	مذكر	"شهيق
استنشاق"		ⲥⲉⲕⲛⲓϥⲓ (ⲡ)	(ⲡ)
ⲥⲉⲕⲟⲩⲟⲥⲉⲣ	ςεκουοςερ	sekoː-oser	sekouoser	seküoser	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يجدف
يقذف
يحرك المجداف"		ⲥⲉⲕⲟⲩⲟⲥⲉⲣ	
ⲥⲉⲕⲣⲟⲕϩ	ςεκροκϩ	sekrok-h	sekrokh	sekrok-h	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحتطب
يجمع حطبا"		ⲥⲉⲕⲣⲟⲕϩ	
ⲥⲉⲕⲥⲁⲭⲟⲗ	ςεκςαχολ	seksɑkol	seksaqol	seksakol	اسم	مذكر	"ألة لفتح الزجاجات
فتاحة
بريمة"		ⲥⲉⲕⲥⲁⲭⲟⲗ (ⲡ)	(ⲡ)
ⲥⲉⲕⲥⲟⲕ	ςεκςοκ	seksok	seksok	seksok	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يجبي
يحصل
يجمع
يجني
يقرص
يضغط
يمط"		ⲥⲉⲕⲥⲟⲕ	
ⲥⲉⲕⲥⲉⲕ	ςεκςεκ	seksek	seksek	seksek	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يجبي
يحصل
يجمع
يجني
يقرص
يضغط
يمط"		ⲥⲉⲕⲥⲉⲕ	
