Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲙⲁⲅⲅⲁⲛⲟⲛ	μαγγανον	mɑngɑnon	majjanon	manganon	اسم	مذكر	"منجنيق
ألة حربية
ماكينة حربية من القرون الوسطى"	يوناني	ⲙⲁⲅⲅⲁⲛⲟⲛ (ⲡ)	(ⲡ)
ⲙⲁⲛⲅⲁⲛⲟⲛ	μανγανον	mɑngɑnon	manjanon	manganon	اسم	مذكر	"منجنيق
ألة حربية
ماكينة حربية من القرون الوسطى"	يوناني	ⲙⲁⲛⲅⲁⲛⲟⲛ (ⲡ)	(ⲡ)
ⲙⲁⲛⲇⲣⲓⲟⲛ	μανδριον	mɑndrion	mandrion	mandrion	اسم	مذكر	"دير
مجمع رهبان"	يوناني	ⲙⲁⲛⲇⲣⲓⲟⲛ (ⲡ)	(ⲡ)
ⲙⲁⲛ`ⲇⲣⲓⲧⲏⲥ	μαν`δριτης	mɑnedritiːs	man`dritys	manedritïs	اسم	مذكر	"راهب في شركة
راهب في مجمع
راهب في شركة"	يوناني	ⲙⲁⲛ`ⲇⲣⲓⲧⲏⲥ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲙⲧⲟⲛ	μα`νεμτον	mɑenemton	ma`nemton	maenemton	اسم	مذكر	"مكان راحة
مقر
مستقر
ضريح"		ⲙⲁ`ⲛⲉⲙⲧⲟⲛ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲛⲕⲟⲧ	μα`νενκοτ	mɑenenkot	ma`nenkot	maenenkot	اسم	مذكر	"مرقد
فراش
مضجع
منامة"		ⲙⲁ`ⲛⲉⲛⲕⲟⲧ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣⲓⲣ	μα`νεριρ	mɑenerir	ma`nerir	maenerir	اسم	مذكر	"راعي خنازير
حارس خنازير"		ⲙⲁ`ⲛⲉⲣⲓⲣ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣⲙⲏ	μα`νερμη	mɑenermiː	ma`nermy	maenermï	اسم	مذكر	"مبولة
مرحاض
موضع تبول
إست
شرج
مجرى البول"		ⲙⲁ`ⲛⲉⲣⲙⲏ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣⲱⲓⲕ	μα`νερωικ	mɑeneroːik	ma`nerwik	maenerōik	اسم	مذكر	"فرن
مخبز
طابونة"		ⲙⲁ`ⲛⲉⲣⲱⲓⲕ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϣⲁⲓ	μα`νερϣαι	mɑenershɑi	ma`nershai	maenershai	اسم	مذكر	"مكان الإحتفال
محفل
بيعة
كنيسة"		ⲙⲁ`ⲛⲉⲣϣⲁⲓ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϣⲱⲟⲩϣⲓ	μα`νερϣωουϣι	mɑenershoːshi	ma`nershwoushi	maenershōüshi	اسم	مذكر	"مذبح
موضع ذبيحة"		ⲙⲁ`ⲛⲉⲣϣⲱⲟⲩϣⲓ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϩⲉⲙⲓ	μα`νερϩεμι	mɑenerhemi	ma`nerhemi	maenerhemi	اسم	مذكر	"إدارة
وزارة
مصلحة
ديوان"		ⲙⲁ`ⲛⲉⲣϩⲉⲙⲓ (ⲡ)	(ⲡ)
ⲙⲁⲛⲉⲣϩⲉⲙⲓ	μανερϩεμι	mɑnerhemi	manerhemi	manerhemi	اسم	مذكر	"مدبر
مرشد"		ⲙⲁⲛⲉⲣϩⲉⲙⲓ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϩⲱⲃ	μα`νερϩωβ	mɑenerhoːb	ma`nerhwb	maenerhōb	اسم	مذكر	"مصنع
مشغل
ورشة"		ⲙⲁ`ⲛⲉⲣϩⲱⲃ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϩⲱⲧ	μα`νερϩωτ	mɑenerhoːt	ma`nerhwt	maenerhōt	اسم	مذكر	"بوغاز
ميناء
موضع إقلاع
خط ملاحي
سفر بالسفن"		ⲙⲁ`ⲛⲉⲣϩⲱⲧ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϫⲱϥ	μα`νερϫωϥ	mɑenergoːf	ma`nergwf	maenergōf	اسم	مذكر	مكوى		ⲙⲁ`ⲛⲉⲣϫⲱϥ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛⲉⲣϯ`ⲫⲣⲱ	μα`νερϯ`φρω	mɑenertiepʰroː	ma`nerti`phrw	maenertiephrō	اسم	مذكر	"مشتى
موضع قضاء الشتاء"		ⲙⲁ`ⲛⲉⲣϯ`ⲫⲣⲱ (ⲡ)	(ⲡ)
ⲙⲁⲛⲉⲥⲱⲟⲩ	μανεςωου	mɑnesoː	maneswou	manesōü	اسم	مذكر	"راعي الغنم
راعي الخراف
غنام"		ⲙⲁⲛⲉⲥⲱⲟⲩ (ⲡ)	(ⲡ)
ⲙⲁⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	μανευαγγελιον	mɑnevɑngelion	maneuajjelion	manevangelion	اسم	مذكر	"منجلية
موضع الأنجيل"		ⲙⲁⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ (ⲡ)	(ⲡ)
ⲙⲁ`ⲛὲϣⲱⲧ	μα`νὲϣωτ	mɑeneshoːt	ma`n`eshwt	maenèshōt	اسم	مذكر	"متجر
محل تجاري"		ⲙⲁ`ⲛὲϣⲱⲧ (ⲡ)	(ⲡ)
ⲙⲁⲛὲϩⲏⲟⲩ	μανὲϩηου	mɑnehiːoː	man`ehyou	manèhïü	اسم	مذكر	"راعي بقر
راعي جاموس"		ⲙⲁⲛὲϩⲏⲟⲩ (ⲡ)	(ⲡ)
