Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲗⲓⲗⲟⲩ	λιλου	liloː	lilou	lilü	اسم	مذكر	"ولد
صبي
فتى
ولد صغير
ابن"		ⲗⲓⲗⲟⲩ (ⲡ)	(ⲡ)
ⲗⲓⲗⲟⲩ	λιλου	liloː	lilou	lilü	اسم	مؤنث	"بنت
صبية
فتاة صغيرة"		ⲗⲓⲗⲟⲩ (ⲧ)	(ⲧ)
ⲗⲓⲗⲟⲩϣⲏⲙ	λιλουϣημ	liloːshiːm	liloushym	lilüshïm	اسم	مذكر	"ولد
صبي
ابن
ولد صغير
فتى"		ⲗⲓⲗⲟⲩϣⲏⲙ (ⲡ)	(ⲡ)
ⲗⲓⲗⲟⲩϣⲏⲙ	λιλουϣημ	liloːshiːm	liloushym	lilüshïm	اسم	مؤنث	"بنت
صبية
فتاة صغيرة
فتاه"		ⲗⲓⲗⲟⲩϣⲏⲙ (ⲧ)	(ⲧ)
ⲗⲓⲙⲏⲛ	λιμην	limiːn	limyn	limïn	اسم	مذكر	"صورة
أيقونة
شكل
فورمة
قالب"	يوناني	ⲗⲓⲙⲏⲛ (ⲡ)	(ⲡ)
ⲗⲓⲙⲏⲛ	λιμην	limiːn	limyn	limïn	اسم	مذكر	"ميناء
بوغاز
مرفأ
ملجأ
ملاذ"	يوناني	ⲗⲓⲙⲏⲛ (ⲡ)	(ⲡ)
ⲗⲓⲙⲛⲏ	λιμνη	limniː	limny	limnï	اسم	مؤنث	"بحيرة
بركة
حوض كبير
مستنقع
مياه راكدة"	يوناني	ⲗⲓⲙⲛⲏ (ⲧ)	(ⲧ)
ⲗⲓⲙⲟⲥ	λιμος	limos	limos	limos	اسم	مؤنث	"جوع
مجاعة
ندرة"	يوناني	ⲗⲓⲙⲟⲥ (ⲧ)	(ⲧ)
ⲗⲟⲓⲙⲟⲥ	λοιμος	loimos	loimos	loimos	اسم	مذكر	"مهلك
وبائي
مزعج
ضار
مؤذ
خبيث
مستهزيء"	يوناني	ⲗⲟⲓⲙⲟⲥ (ⲡ)	(ⲡ)
ⲗⲓⲙⲟⲥ	λιμος	limos	limos	limos	اسم	مذكر	"مهلك
وبائي
مزعج
ضار
مؤذ
خبيث
مستهزيء"	يوناني	ⲗⲓⲙⲟⲥ (ⲡ)	(ⲡ)
ⲗⲓⲝ	λιξ	lix	lix	lix	اسم	مذكر	"ستارة
حجاب
حاجز
ستر
برقع
حائل"		ⲗⲓⲝ (ⲡ)	(ⲡ)
ⲗⲓⲟⲩὶ	λιουὶ	lioːwiː	lioui	liüì	اسم	مؤنث	مصر القديمة		ⲗⲓⲟⲩὶ (ⲧ)	(ⲧ)
ⲗⲓⲥⲧⲏⲥ	λιςτης	listiːs	listys	listïs	اسم	مذكر	"سارق
لص
سالب
ناهب
قاطع طريق
ثوري
ثائر
متطرف
متمرد
عاص"	يوناني	ⲗⲓⲥⲧⲏⲥ (ⲡ)	(ⲡ)
ⲗⲓⲧⲁⲛⲓⲁ	λιτανια	litɑniɑ	litania	litania	اسم	مؤنث	"طلبة
توسل
رجاء"	يوناني	ⲗⲓⲧⲁⲛⲓⲁ (ⲧ)	(ⲧ)
ⲗⲓⲧⲟⲩⲣⲅⲓⲁ	λιτουργια	litoːrgiɑ	litourjia	litürgia	اسم	مؤنث	"عبادة
تقدمة
ذبيحة
خدمة التسبيح
خدمة القداس الإلهي"	يوناني	ⲗⲓⲧⲟⲩⲣⲅⲓⲁ (ⲧ)	(ⲧ)
ⲗⲓⲧⲟⲩⲣⲅⲟⲥ	λιτουργος	litoːrgos	litourjos	litürgos	اسم	مذكر	"عابد
خادم
خادم خدمة إلهية
معين الكاهن"	يوناني	ⲗⲓⲧⲟⲩⲣⲅⲟⲥ (ⲡ)	(ⲡ)
ⲗⲩⲧⲣⲁ	λυτρα	litrɑ	lutra	litra	اسم	مؤنث	"لتر
رطل روماني
منا 327 جرام"	يوناني	ⲗⲩⲧⲣⲁ (ⲧ)	(ⲧ)
