Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲥⲁϥϫⲓϫ	ςαϥϫιϫ	sɑfgig	safgig	safgig	صفة		قذر اليدين		ⲥⲁϥϫⲓϫ (adj.)	(adj.)
ⲥⲁϧ	ςαϧ	sɑkʰ	sakh	sakh	اسم	مذكر	"كاتب
معلم
أستاذ
لقب للاحترام
لقب كنائسي
ماهر
حاذق في صنعة ما
خبير
أخصائي
حاذق
ماهر"		ⲥⲁϧ (ⲡ)	(ⲡ)
ⲥⲁϧ	ςαϧ	sɑkʰ	sakh	sakh	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"ينسج
يحيك
يطرز"		ⲥⲁϧ	
ⲥⲁϧⲉⲙ	ςαϧεμ	sɑkʰem	sakhem	sakhem	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"متعب
تعبان
معيي
كليل
خائر القوى
منهار
معصور
مستخلص"		ⲥⲁϧⲉⲙ	
ⲥⲁϧⲉⲙ	ςαϧεμ	sɑkʰem	sakhem	sakhem	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يرضض
يعصر
يسحق
يصحن
يكسر
يحتت
يفتت"		ⲥⲁϧⲉⲙ	
ⲥⲁϧⲉⲙ ὲⲃⲟⲗ	ςαϧεμ ὲβολ	sɑkʰem evol	sakhem `ebol	sakhem èvol	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يستخلص
يستأصل
ينزع من"		ⲥⲁϧⲉⲙ ὲⲃⲟⲗ	
ⲥⲁϧⲉⲩ	ςαϧευ	sɑkʰei /sɑkʰev	sakheu	sakhev	اسم	جمع	"كتبة
معلمون
خبراء"		ⲥⲁϧⲉⲩ (ⲛ)	(ⲛ)
ⲥⲁϧⲏⲧ	ςαϧητ	sɑkʰiːt	sakhyt	sakhït	ظرف		"ناحية الشمال الجغرافي
جهة بحري
شمالا"		ⲥⲁϧⲏⲧ (adv.)	(adv.)
ⲥⲁϧⲙ ⲉϧⲟⲩⲛ	ςαϧμ εϧουν	sɑkʰm ekʰoːn	sakhm ekhoun	sakhm ekhün	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يندس
يتسلل
يدخل خلسة
يختلس"		ⲥⲁϧⲙ ⲉϧⲟⲩⲛ	
ⲥⲁϧⲱ	ςαϧω	sɑkʰoː	sakhw	sakhō	اسم	مذكر ، مؤنث	"أستاذ كبير
معلم كبير"		ⲥⲁϧⲱ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲥⲁϧⲟ	ςαϧο	sɑkʰo	sakho	sakho	اسم	مذكر ، مؤنث	"أستاذ كبير
معلم كبير"		ⲥⲁϧⲟ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲥⲁϧⲟⲩⲛ	ςαϧουν	sɑkʰoːn	sakhoun	sakhün	ظرف		"داخل
باطن
جواني
في الداخل"		ⲥⲁϧⲟⲩⲛ (adv.)	(adv.)
ⲥⲁϧⲟⲩⲛ	ςαϧουν	sɑkʰoːn	sakhoun	sakhün	اسم	مذكر	"داخل
عمق"		ⲥⲁϧⲟⲩⲛ (ⲡ)	(ⲡ)
ⲥⲁ`ϧⲣⲏⲓ	ςα`ϧρηι	sɑekʰriːi	sa`khryi	saekhrïi	حرف جر		"أسفل
سفلي
تحت"		ⲥⲁ`ϧⲣⲏⲓ	
ⲥⲁϧⲟⲧ	ςαϧοτ	sɑkʰot	sakhot	sakhot	اسم	مذكر	"الخزانة
بيت المال
المالية"		ⲥⲁϧⲟⲧ (ⲡ)	(ⲡ)
ⲥⲁϧⲱⲧ	ςαϧωτ	sɑkʰoːt	sakhwt	sakhōt	اسم	مذكر	"الخزانة
بيت المال
المالية"		ⲥⲁϧⲱⲧ (ⲡ)	(ⲡ)
ⲥⲁϩ	ςαϩ	sɑh	sah	sah	اسم	مذكر	"مثقاب
مخراز
سيخ
منقاب ، ألة للنجارة"		ⲥⲁϩ (ⲡ)	(ⲡ)
