Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ϣⲉⲗϣⲉⲗ	ϣελϣελ	shelshel	shelshel	shelshel	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يغربل
ينخل"		ϣⲉⲗϣⲉⲗ	
ϣⲉⲗϣⲉⲗ	ϣελϣελ	shelshel	shelshel	shelshel	اسم	مذكر	"غربلة
غربال
منخل"		ϣⲉⲗϣⲉⲗ (ⲡ)	(ⲡ)
ϣⲉⲗϣⲏⲓⲗⲓ	ϣελϣηιλι	shelshiːili	shelshyili	shelshïili	اسم	مذكر	"حصرم
عنب غير ناضج
كل ما يتبقى من الحبوب ولا ينضج"		ϣⲉⲗϣⲏⲓⲗⲓ (ⲡ)	(ⲡ)
ϣⲉⲗϣⲏⲗⲓ	ϣελϣηλι	shelshiːli	shelshyli	shelshïli	اسم	مذكر	"حصرم
عنب غير ناضج
كل ما يتبقى من الحبوب ولا ينضج"		ϣⲉⲗϣⲏⲗⲓ (ⲡ)	(ⲡ)
ϣⲉⲗϣⲱⲗ	ϣελϣωλ	shelshoːl	shelshwl	shelshōl	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يغربل
ينخل"		ϣⲉⲗϣⲱⲗ	
ϣⲉⲗϣⲱⲗ	ϣελϣωλ	shelshoːl	shelshwl	shelshōl	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مغربل
منخول"		ϣⲉⲗϣⲱⲗ	
ϣⲉⲗϥ	ϣελϥ	shelf	shelf	shelf	اسم	مؤنث	خوف		ϣⲉⲗϥ (ⲧ)	(ⲧ)
ϣⲉⲗϥⲁⲩ	ϣελϥαυ	shelfɔː / shelfɑv / shelfav	shelfau	shelfav	اسم	مذكر	شلبة		ϣⲉⲗϥⲁⲩ (ⲡ)	(ⲡ)
ϣⲉⲗϩ	ϣελϩ	shelh	shelh	shelh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يوسم
يعلم
يضع علامة
يبصم"		ϣⲉⲗϩ	
`ϣⲙⲁ	`ϣμα	eshmɑ	`shma	eshma	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"ينسحق
ينهرس"		`ϣⲙⲁ	
ϣⲉⲙ	ϣεμ	shem	shem	shem	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"ينسحق
ينهرس"		ϣⲉⲙ	
ϣⲉⲙⲏⲣ	ϣεμηρ	shemiːr	shemyr	shemïr	اسم	مذكر	"خميرة
خميرة"		ϣⲉⲙⲏⲣ (ⲡ)	(ⲡ)
ϣⲉⲙⲙⲟ	ϣεμμο	shemmο	shemmo	shemmo	اسم	مذكر	"غريب
نزيل
ضيف
سائح
أجنبي"		ϣⲉⲙⲙⲟ (ⲡ)	(ⲡ)
ϣⲉⲙⲙⲱ	ϣεμμω	shemmoː	shemmw	shemmō	اسم	مؤنث	"غريبة
نزيلة
ضيفة
سائحة
أجنبية"		ϣⲉⲙⲙⲱ (ⲧ)	(ⲧ)
ϣⲉⲙⲙⲱⲟⲩ	ϣεμμωου	shemmoː	shemmwou	shemmōü	اسم	جمع	"غرباء
نزلاء"		ϣⲉⲙⲙⲱⲟⲩ (ⲛ)	(ⲛ)
ϣⲉⲙϣⲉ	ϣεμϣε	shemshe	shemshe	shemshe	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يعبد
يخدم"		ϣⲉⲙϣⲉ	
ϣⲉⲙϣⲉὶⲇⲱⲗⲟⲛ	ϣεμϣεὶδωλον	shemsheiːdoːlοn	shemsheidwlon	shemsheidōlon	اسم	مذكر	"عابد وثن
خادم صنم"		ϣⲉⲙϣⲉὶⲇⲱⲗⲟⲛ (ⲡ)	(ⲡ)
ϣⲉⲙϣⲏⲧ	ϣεμϣητ	shemshiːt	shemshyt	shemshït	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يعبد
يخدم"		ϣⲉⲙϣⲏⲧ	
ϣⲉⲙϣⲏϫⲓ	ϣεμϣηϫι	shemshiːgi	shemshygi	shemshïgi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يهمس في أذن
يوسوس
يوشوش
يصفر بدهشة
يتأسف
يتضايق"		ϣⲉⲙϣⲏϫⲓ	
ϣⲉⲙϣⲏϫⲓ	ϣεμϣηϫι	shemshiːgi	shemshygi	shemshïgi	اسم	مذكر	صفير الدهشة والتأسف		ϣⲉⲙϣⲏϫⲓ (ⲡ)	(ⲡ)
ϣⲉⲙϣⲏⲧ	ϣεμϣητ	shemshiːt	shemshyt	shemshït	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يخدم
يعبد"		ϣⲉⲙϣⲏⲧ	
ϣⲉⲙϣⲉ	ϣεμϣε	shemshe	shemshe	shemshe	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يخدم
يعبد"		ϣⲉⲙϣⲉ	
