Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲉⲣⲡⲁⲣⲁⲛⲟⲙⲟⲥ	ερπαρανομος	erpɑrɑnomos	erparanomos	erparanomos	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتعدي الشريعة
يخالف الناموس
ينتهك القانون"	يوناني	ⲉⲣⲡⲁⲣⲁⲛⲟⲙⲟⲥ	
ⲉⲣⲡⲁⲣⲣⲏⲥⲓⲁⲍⲉⲥⲑⲉ	ερπαρρηςιαζεςθε	erpɑrriːsiɑzeste	erparrysiazesthe	erparrïsiazesthe	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يجاهر
يتكلم بحرية
يعلن
يظهر
يكشف
يبين
يوجد دالة
يتحدث بجرأة"	يوناني	ⲉⲣⲡⲁⲣⲣⲏⲥⲓⲁⲍⲉⲥⲑⲉ	
ⲉⲣⲡⲉⲑⲛⲁⲛⲉϥ	ερπεθνανεϥ	erpetʰnɑnef	erpethnanef	erpethnanef	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يصنع الخير
يعمل الصلاح
يحسن"		ⲉⲣⲡⲉⲑⲛⲁⲛⲉϥ	
ⲉⲣ`ⲡⲉⲙ`ⲡϣⲁ	ερ`πεμ`πϣα	erepemepshɑ	er`pem`psha	erepemepsha	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يستحق
يصير جديرا ب
يصير أهلا ل"		ⲉⲣ`ⲡⲉⲙ`ⲡϣⲁ	
ⲉⲣⲡⲉⲣⲡⲉⲣⲟⲥ	ερπερπερος	er-perperos	erperperos	erperperos	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتفاخر
يتعظم
يتباهى
يتبجح
يصير مغرورا"	يوناني	ⲉⲣⲡⲉⲣⲡⲉⲣⲟⲥ	
ⲉⲣⲡⲉⲧϩⲱⲟⲩ	ερπετϩωου	erpet-hoː	erpethwou	erpethōü	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعمل شرا
يسيء
يعمل شيئا رديئا
يؤذي
يضر
يعمل الفحشاء"		ⲉⲣⲡⲉⲧϩⲱⲟⲩ	
ⲉⲣⲡⲓⲛⲁⲓ	ερπιναι	erpinɑi	erpinai	erpinai	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يصنع رحمة
يحسن
يرحم"		ⲉⲣⲡⲓⲛⲁⲓ	
ⲉⲣⲡⲓⲛⲟⲓⲛ	ερπινοιν	erpinoin	erpinoin	erpinoin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	يتأمل	يوناني	ⲉⲣⲡⲓⲛⲟⲓⲛ	
ⲉⲣⲡⲓⲣⲁⲍⲓⲛ	ερπιραζιν	erpirɑzin	erpirazin	erpirazin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يجرب
يمتحن
يختبر
يمحص
يغوي
يخدع"	يوناني	ⲉⲣⲡⲓⲣⲁⲍⲓⲛ	
ⲉⲣⲡⲓⲥⲧⲉⲩⲓⲛ	ερπιςτευιν	erpistevin	erpisteuin	erpistevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يؤمن
يصدق
يعتقد"	يوناني	ⲉⲣⲡⲓⲥⲧⲉⲩⲓⲛ	
ⲉⲣ`ⲡⲕⲉⲥⲁϫⲓ	ερ`πκεςαϫι	erepkesɑgi	er`pkesagi	erepkesagi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتكلم أيضا
يعود فيقول
يعود فيتكلم"		ⲉⲣ`ⲡⲕⲉⲥⲁϫⲓ	
ⲉⲣ`ⲡⲗⲁⲛⲓⲛ	ερ`πλανιν	ereplɑnin	er`planin	ereplanin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يضل
يتوه
يخدع"	يوناني	ⲉⲣ`ⲡⲗⲁⲛⲓⲛ	
ⲉⲣ`ⲡⲗⲁⲍⲓⲛ	ερ`πλαζιν	ereplɑzin	er`plazin	ereplazin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يخلق
يجبل
يبدع
يصنع
يوجد
ينشأ"	يوناني	ⲉⲣ`ⲡⲗⲁⲍⲓⲛ	
ⲉⲣ`ⲡⲗⲉⲓⲛ	ερ`πλειν	ereplein	er`plein	ereplein	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يبحر
يسافر بحرا"	يوناني	ⲉⲣ`ⲡⲗⲉⲓⲛ	
ⲉⲣ`ⲡ`ⲙ`ⲡϣⲁ	ερ`π`μ`πϣα	erepemepshɑ	er`p`m`psha	erepemepsha	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يستحق
يصيرجديرا ب
يصير أهلا ل"		ⲉⲣ`ⲡ`ⲙ`ⲡϣⲁ	
ⲉⲣ`ⲡ`ⲙ`ⲡϣⲓϣ	ερ`π`μ`πϣιϣ	erepemepshish	er`p`m`pshish	erepemepshish	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعاقب
ينتقم
يأخذ بثأر"		ⲉⲣ`ⲡ`ⲙ`ⲡϣⲓϣ	
ⲉⲣⲡⲟ	ερπο	erpo	erpo	erpo	اسم	جمع	"فروع الكرمة
فروع العنبة"		ⲉⲣⲡⲟ (ⲛ)	(ⲛ)
ⲉⲣⲡⲟⲗⲉⲩⲓⲛ	ερπολευιν	erpolevin	erpoleuin	erpolevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحارب
يقاتل
يتحارب
يتعارك
يتصارع
يتقاتل"	يوناني	ⲉⲣⲡⲟⲗⲉⲩⲓⲛ	
ⲉⲣⲡⲟⲗⲓⲧⲉⲩⲉⲥⲑⲉ	ερπολιτευεςθε	erpoliteveste	erpoliteuesthe	erpolitevesthe	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعيش
يسلك
يتصرف كمواطن
يحكم دولة أو ولاية"	يوناني	ⲉⲣⲡⲟⲗⲓⲧⲉⲩⲉⲥⲑⲉ	
ⲉⲣⲡⲟⲛⲧⲓⲍⲓⲛ	ερποντιζιν	erpontizin	erpontizin	erpontizin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يغرق
يغطس
يغمر"	يوناني	ⲉⲣⲡⲟⲛⲧⲓⲍⲓⲛ	
ⲉⲣⲡⲟⲣⲛⲉⲩⲓⲛ	ερπορνευιν	erpornevin	erporneuin	erpornevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يزني
يفسق
يفجر
يعهر"	يوناني	ⲉⲣⲡⲟⲣⲛⲉⲩⲓⲛ	
ⲉⲣⲡⲣⲁⲅⲙⲁⲧⲉⲩⲓⲛ	ερπραγματευιν	erprɑgmɑtevin	erprajmateuin	erpragmatevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتاجر
يمارس حرفة أو مهنة"	يوناني	ⲉⲣⲡⲣⲁⲅⲙⲁⲧⲉⲩⲓⲛ	
ⲉⲣ`ⲡⲣⲉⲡⲓ	ερ`πρεπι	ereprepi	er`prepi	ereprepi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يليق
يلائم
يناسب
يوافق"	يوناني	ⲉⲣ`ⲡⲣⲉⲡⲓ	
ⲉⲣ`ⲡⲣⲉⲥⲃⲉⲩⲓⲛ	ερ`πρεςβευιν	erepresvevin	er`presveuin	erepresvevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يشفع
يتشفع
يترجى
يتوسط
يعمل كسفير أو رسول"	يوناني	ⲉⲣ`ⲡⲣⲉⲥⲃⲉⲩⲓⲛ	
ⲉⲣⲡⲣⲟⲕⲟⲡⲧⲓⲛ	ερπροκοπτιν	erprokoptin	erprokoptin	erprokoptin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"ينمو
يزداد
ينجح
يفلح
يتقدم
يترقى
يزدهر
ينقضي الوقت"	يوناني	ⲉⲣⲡⲣⲟⲕⲟⲡⲧⲓⲛ	
ⲉⲣⲡⲣⲟⲛⲟⲓⲛ	ερπρονοιν	erpronoin	erpronoin	erpronoin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعتني
يهتم
يتدبر في"	يوناني	ⲉⲣⲡⲣⲟⲛⲟⲓⲛ	
ⲉⲣⲡⲣⲟⲥⲉⲩⲭⲉⲥⲑⲉ	ερπροςευχεςθε	erprosevsheste	erproseuqesthe	erprosevshesthe	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يصلي
يتضرع
يتوسل
يطلب"	يوناني	ⲉⲣⲡⲣⲟⲥⲉⲩⲭⲉⲥⲑⲉ	
ⲉⲣⲡⲣⲟⲥⲕⲩⲛⲓⲛ	ερπροςκυνιν	erproskinin	erproskunin	erproskinin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يسجد
يعبد
يتعبد ل
يوقر
يبجل"	يوناني	ⲉⲣⲡⲣⲟⲥⲕⲩⲛⲓⲛ	
ⲉⲣⲡⲣⲟⲥⲫⲉⲣⲓⲛ	ερπροςφεριν	erprospʰerin	erprospherin	erprospherin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتقدم
يقدم قربانا
يقرب قربانا"	يوناني	ⲉⲣⲡⲣⲟⲥⲫⲉⲣⲓⲛ	
ⲉⲣⲡⲣⲟⲧⲣⲉⲡⲉⲓⲛ	ερπροτρεπειν	erprotrepein	erprotrepein	erprotrepein	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحث
يحض
ينصح
يشجع
يقنع
يستحث"	يوناني	ⲉⲣⲡⲣⲟⲧⲣⲉⲡⲉⲓⲛ	
ⲉⲣⲡⲣⲟⲫⲏⲧⲉⲩⲓⲛ	ερπροφητευιν	erpropʰiːtevin	erprophyteuin	erprophïtevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يخبر مقدما
يتنبأ
يسبق فيعلن
يبشر بوحي إلهي
يحدث بأمور مستقبلية"	يوناني	ⲉⲣⲡⲣⲟⲫⲏⲧⲉⲩⲓⲛ	
ⲉⲣ`ⲡⲥⲱⲟⲩⲛ	ερ`πςωουν	erepsoːoin	er`pswoun	erepsōün	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يخبر
يدري
يعرف
يعلم"		ⲉⲣ`ⲡⲥⲱⲟⲩⲛ	
ⲉⲣ`ⲡⲧⲟⲩϫⲟ	ερ`πτουϫο	ereptoːgo	er`ptougo	ereptügo	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"ينجي
يخلص
ينقذ"		ⲉⲣ`ⲡⲧⲟⲩϫⲟ	
ⲉⲣⲡⲱ	ερπω	erpoː	erpw	erpō	اسم	جمع	"فروع الكرمة
فروع العنبة"		ⲉⲣⲡⲱ (ⲛ)	(ⲛ)
ⲉⲣ`ⲡⲱⲃϣ	ερ`πωβϣ	erepoːbsh	er`pwbsh	erepōbsh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"ينسى
يتناسى
يغفل
يسهى"		ⲉⲣ`ⲡⲱⲃϣ	
ⲉⲣ`ⲡ`ϣⲧⲱⲣⲓ	ερ`π`ϣτωρι	erepeshtoːri	er`p`shtwri	erepeshtōri	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يضمن
يتكفل
يتعهد"		ⲉⲣ`ⲡ`ϣⲧⲱⲣⲓ	
ⲉⲣⲣⲁⲙⲁὸ	ερραμαὸ	errɑmɑò	errama`o	erramaò	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يغتني
يثرى
يتسع
يصير غنيا
يستغنى"		ⲉⲣⲣⲁⲙⲁὸ	
ⲉⲣⲣⲁⲥⲟⲩὶ	ερραςουὶ	errɑsoːwì	errasoui	errasüì	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحلم
يرى حلما"		ⲉⲣⲣⲁⲥⲟⲩὶ	
