Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲑⲱ	θω	tʰoː	thw	thō	ضمير ملكية		"تخصك
لك
هي تكون لك|ي
ضمير ملكية المؤنث للمخاطبة"		ⲑⲱ	
ⲑⲟⲃϣ	θοβϣ	tʰobsh	thobsh	thobsh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يندهش
يذهل
ينذهل
يحملق بدهشة"		ⲑⲟⲃϣ	
ⲑⲱⲃϣ	θωβϣ	tʰoːbsh	thwbsh	thōbsh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يندهش
يذهل
ينذهل
يحملق بدهشة"		ⲑⲱⲃϣ	
ⲑⲱⲃϣ	θωβϣ	tʰoːbsh	thwbsh	thōbsh	اسم	مذكر	"رشم الصليب
رسم الصليب
علامة الصليب"		ⲑⲱⲃϣ (ⲡ)	(ⲡ)
ⲑⲱⲃϣ	θωβϣ	tʰoːbsh	thwbsh	thōbsh	اسم	مذكر	"تأثير
نفوذ
مفعول
اجتهاد
اهتمام"		ⲑⲱⲃϣ (ⲡ)	(ⲡ)
ⲑⲱⲓ	θωι	tʰoːi	thwi	thōi	ضمير ملكية		"تخصني
لي
هي تكون لي
ضمير الملكية المؤنث للمتكلم"		ⲑⲱⲓ	
ⲑⲱⲕ	θωκ	tʰoːk	thwk	thōk	ضمير ملكية		"تخصك
لك
هي تكون لك
ضمير الملكية المؤنث للمخاطب"		ⲑⲱⲕ	
ⲧⲱⲕ	τωκ	toːk	twk	tōk	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يشعل
يوقد
يلهب
يحمي
يسخن
يضرم
يخبز
يطبخ
يسوي على النار
يتأجج"		ⲧⲱⲕ	
ⲑⲱⲕ	θωκ	tʰoːk	thwk	thōk	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يشعل
يوقد
يلهب
يحمي
يسخن
يضرم
يخبز
يطبخ
يسوي على النار
يتأجج"		ⲑⲱⲕ	
ⲑⲱⲕ	θωκ	tʰoːk	thwk	thōk	اسم	مذكر	"حمو
التهاب
ايقاد
اضرام النار
خبيز
طبيخ"		ⲑⲱⲕ (ⲡ)	(ⲡ)
ⲑⲟⲕ	θοκ	tʰok	thok	thok	اسم	مذكر	"صاري المركب
صاري
موس
سكين
موسي"		ⲑⲟⲕ (ⲡ)	(ⲡ)
ⲑⲱⲕ	θωκ	tʰoːk	thwk	thōk	اسم	مذكر	"صاري المركب
صاري
موس
سكين
موسي"		ⲑⲱⲕ (ⲡ)	(ⲡ)
ⲑⲟⲕⲙ	θοκμ	tʰokm	thokm	thokm	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يقطع
يقلع
ينزع
يجر
يخترط
يستل
يخرج
يسحب
يجرد السيف
يخطف
يسلب"		ⲑⲟⲕⲙ	
ⲑⲉⲕⲉⲙ	θεκεμ	tʰekem	thekem	thekem	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يقطع
يقلع
ينزع
يجر
يخترط
يستل
يخرج
يسحب
يجرد السيف
يخطف
يسلب"		ⲑⲉⲕⲉⲙ	
