Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ϯⲕⲁⲥ	ϯκας	tikɑs	tikas	tikas	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يؤلم
يوجع
يتعب"		ϯⲕⲁⲥ	
ϯⲕⲁϩ	ϯκαϩ	tikɑh	tikah	tikah	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يلكم
يلطم
يضرب بالكف
يضرب بالبونية"		ϯⲕⲁϩ	
ϯⲕⲁϯ	ϯκαϯ	tikɑti	tikati	tikati	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يفهم
يعلم
يبصر
يعقل
يفطن
يعرف
يعلم
يلهم"		ϯⲕⲁϯ	
ϯⲕⲉⲛⲓ	ϯκενι	tikeni	tikeni	tikeni	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يسمن
يغلظ
يتخن
يدهن
يطيب
يمسح بالزيت"		ϯⲕⲉⲛⲓ	
ϯⲕⲉϣⲣⲱⲙⲓ	ϯκεϣρωμι	tikeshroːmi	tikeshrwmi	tikeshrōmi	اسم	مؤنث	"القاهرة
عاصمة مصر"		ϯⲕⲉϣⲣⲱⲙⲓ (ⲧ)	(ⲧ)
ⲕⲉϩ	κεϩ	keh	keh	keh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يلكم
يلطم
يضرب بالكف
يضرب بالبونية"		ⲕⲉϩ	
ϯⲕⲉϩ	ϯκεϩ	tikeh	tikeh	tikeh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يلكم
يلطم
يضرب بالكف
يضرب بالبونية"		ϯⲕⲉϩ	
ϯⲕⲓϥⲓ	ϯκιϥι	tikifi	tikifi	tikifi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يرضع
يعطي من الثدي"		ϯⲕⲓϥⲓ	
ϯⲕⲓϯ	ϯκιϯ	tikiti	tikiti	tikiti	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعطي جزية
يعطي إتاوة
يدفع ضريبة"		ϯⲕⲓϯ	
ϯⲕⲟⲧⲥ	ϯκοτς	tikοts	tikots	tikots	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يطوف
يتجول
يجول
يدور
يحول
يحيط
يحوط
يطوق
يحاصر
يزور
يعود
يفتقد
يتفقد"		ϯⲕⲟⲧⲥ	
ϯ`ⲛⲟⲩⲕⲟⲩⲣ	ϯ`νουκουρ	tienoːkoːr	ti`noukour	tienükür	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يلطم
يصفع
يضرب بالكف"		ϯ`ⲛⲟⲩⲕⲟⲩⲣ	
ϯⲕⲟⲩⲣ	ϯκουρ	tikoːr	tikour	tikür	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يلطم
يصفع
يضرب بالكف"		ϯⲕⲟⲩⲣ	
