Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ϧⲟⲣⲡⲥ	ϧορπς	kʰοrps	khorps	khorps	اسم	مؤنث	"قبضة اليد
ملء اليد
ملء الكف
كبشة
بنية
لكمية"		ϧⲟⲣⲡⲥ (ⲧ)	(ⲧ)
ϧⲟⲣⲧ	ϧορτ	kʰοrt	khort	khort	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	مجنون		ϧⲟⲣⲧ	
ϧⲟⲥⲓ	ϧοςι	kʰοsi	khosi	khosi	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"متعب
مكدود
مرهق
تعبان
شقيان
متألم
متعب
مرهق
مؤلم
صعب"		ϧⲟⲥⲓ	
ϧⲟⲧ	ϧοτ	kʰοt	khot	khot	اسم	مذكر	"قربة
زق
زقاق
جلد مدبوغ"		ϧⲟⲧ (ⲡ)	(ⲡ)
ϧⲟⲧ	ϧοτ	kʰοt	khot	khot	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"سمين
بدين
غليظ
تخين
سميك
ضخم
الخوط"		ϧⲟⲧ	
ϧⲉⲧϧⲱⲧ	ϧετϧωτ	kʰetkʰoːt	khetkhwt	khetkhōt	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يفحص
يفتش
يستقصي
يحقق
يمتحن
يختبر
يستقري
يبحث"		ϧⲉⲧϧⲱⲧ	
ϧⲉⲧϧⲉⲧ	ϧετϧετ	kʰetkʰet	khetkhet	khetkhet	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يفحص
يفتش
يستقصي
يحقق
يمتحن
يختبر
يستقري
يبحث"		ϧⲉⲧϧⲉⲧ	
ϧⲟⲧϧⲉⲧ	ϧοτϧετ	kʰοtkʰet	khotkhet	khotkhet	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يفحص
يفتش
يستقصي
يحقق
يمتحن
يختبر
يستقري
يبحث"		ϧⲟⲧϧⲉⲧ	
ϧⲟⲧϧⲉⲧ	ϧοτϧετ	kʰοtkʰet	khotkhet	khotkhet	اسم	مذكر	"فحص
تفتيش
استقصاء
تحقيق
امتحان
اختبار
بحث
كشف
مباحثة
مجادلة
منازعة
مخاصمة
مشاجرة
نزاع
خصام
جدال"		ϧⲟⲧϧⲉⲧ (ⲡ)	(ⲡ)
ϧⲟⲩⲛ	ϧουν	kʰoːn	khoun	khün	اسم	مذكر	"داخل
الجزء الباطني
الجزء الداخلي"		ϧⲟⲩⲛ (ⲡ)	(ⲡ)
`ϧⲣⲁϫⲣⲉϫ	`ϧραϫρεϫ	ekʰrɑgreg	`khragreg	ekhragreg	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يصر بأسنانه
يدعك
يصقل
يلمع
يدلك
ينظف
يحفحف"		`ϧⲣⲁϫⲣⲉϫ	
`ϧⲣⲁϫⲣⲉϫ	`ϧραϫρεϫ	ekʰrɑgreg	`khragreg	ekhragreg	اسم	مذكر	"صرير الاسنان
دعك
صقل
تلميع"		`ϧⲣⲁϫⲣⲉϫ (ⲡ)	(ⲡ)
`ϧⲣⲉ	`ϧρε	ekʰre	`khre	ekhre	اسم	مؤنث	"طعام
قوت
غذاء
علف"		`ϧⲣⲉ (ⲧ)	(ⲧ)
`ϧⲣⲉⲃ	`ϧρεβ	ekʰreb	`khreb	ekhreb	اسم	مذكر	"خرابة
برية
قحل
محل قفر
بادية
صحراء"		`ϧⲣⲉⲃ (ⲡ)	(ⲡ)
`ϧⲣⲉⲩ	`ϧρευ	ekʰrev	`khreu	ekhrev	اسم	جمع	"أطعمة
مأكولات
أغذية"		`ϧⲣⲉⲩ (ⲛ)	(ⲛ)
`ϧⲣⲉϣⲓ	`ϧρεϣι	ekʰreshi	`khreshi	ekhreshi	اسم	مؤنث	"شدة
قسوة
عنف
قهر
جور
قسر
اغتصاب
يا خراشي"		`ϧⲣⲉϣⲓ (ⲧ)	(ⲧ)
`ϧⲣⲏⲓ	`ϧρηι	ekʰriːi	`khryi	ekhrïi	حرف جر		"أسفل
تحت"		`ϧⲣⲏⲓ	
`ϧⲣⲏⲟⲩὶ	`ϧρηουὶ	ekʰrjoːwiː	`khryoui	ekhrïüì	اسم	جمع	"أطعمة
مأكولات
أغذية"		`ϧⲣⲏⲟⲩὶ (ⲛ)	(ⲛ)
`ϧⲣⲓⲙ	`ϧριμ	ekʰrim	`khrim	ekhrim	اسم	مذكر	"مخلب
مخلب الطائر"		`ϧⲣⲓⲙ (ⲡ)	(ⲡ)
`ϧⲣⲓϫ	`ϧριϫ	ekʰrig	`khrig	ekhrig	اسم	مذكر	"نقحان
وجع الأسنان
صرير الأسنان
خراج"		`ϧⲣⲓϫ (ⲡ)	(ⲡ)
`ϧⲣⲟϯ	`ϧροϯ	ekʰrοti	`khroti	ekhroti	اسم	مذكر	"طفل
ابن
ولد صغير
الصغير من الحيوان"		`ϧⲣⲟϯ (ⲡ)	(ⲡ)
`ϧⲣⲱⲟⲩ	`ϧρωου	ekʰroː	`khrwou	ekhrōü	اسم	مذكر	"صوت
صراخ
هتاف
صياح
عويل"		`ϧⲣⲱⲟⲩ (ⲡ)	(ⲡ)
`ϧⲣⲱϯ	`ϧρωϯ	ekʰroːti	`khrwti	ekhrōti	اسم	جمع	أوردة		`ϧⲣⲱϯ (ⲛ)	(ⲛ)
ϧⲱ	ϧω	kʰοː	khoː	khoː	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحكم
to govern"		ϧⲱ	
ϧⲟⲕ	ϧοκ	kʰοk	khok	khok	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يمنطق
يشد
يربط
يقلد
يحزم
يجهد ذاته
يلتزم
يسلح
يجند
يتسلح
يتجند
يسرج الدابة
يحلق
يجز
يسلخ
يحك
يهرس
يحارب
يرتحل
يعسكر"		ϧⲟⲕ	
ϧⲉⲕ	ϧεκ	kʰek	khek	khek	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يمنطق
يشد
يربط
يقلد
يحزم
يجهد ذاته
يلتزم
يسلح
يجند
يتسلح
يتجند
يسرج الدابة
يحلق
يجز
يسلخ
يحك
يهرس
يحارب
يرتحل
يعسكر"		ϧⲉⲕ	
ϧⲱⲕ	ϧωκ	kʰoːk	khwk	khōk	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يمنطق
يشد
يربط
يقلد
يحزم
يجهد ذاته
يلتزم
يسلح
يجند
يتسلح
يتجند
يسرج الدابة
يحلق
يجز
يسلخ
يحك
يهرس
يحارب
يرتحل
يعسكر"		ϧⲱⲕ	
ϧⲱⲕ	ϧωκ	kʰoːk	khwk	khōk	اسم	مذكر	"منطقة
زنار
حزام
قايش
رباط
سوط
كرباج
سلاح
أسلحة
صلع
قرع
صلعة الرأس"		ϧⲱⲕ (ⲡ)	(ⲡ)
ϧⲱⲕ	ϧωκ	kʰoːk	khwk	khōk	اسم	مذكر	جزة		ϧⲱⲕ (ⲡ)	(ⲡ)
ϧⲱⲕϩ	ϧωκϩ	kʰoːkh	khwkh	khōkh	اسم	مذكر	جزة		ϧⲱⲕϩ (ⲡ)	(ⲡ)
ϧⲱⲕⲓ	ϧωκι	kʰoːki	khwki	khōki	اسم	مذكر	"ترس
مجنة
درقة"		ϧⲱⲕⲓ (ⲡ)	(ⲡ)
ϧⲟⲕϩ	ϧοκϩ	kʰοkh	khokh	khokh	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يحلق
يجز
يقص"		ϧⲟⲕϩ	
ϧⲉⲕϩ	ϧεκϩ	kʰekh	khekh	khekh	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحلق
يجز
يقص"		ϧⲉⲕϩ	
ϧⲱⲕϩ	ϧωκϩ	kʰoːkh	khwkh	khōkh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحلق
يجز
يقص"		ϧⲱⲕϩ	
