Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲃⲣⲉϩⲓ	βρεϩι	brehi	brehi	brehi	اسم	مؤنث	عربة كارو		ⲃⲣⲉϩⲓ (ⲧ)	(ⲧ)
ⲃⲉⲣⲉϩⲓ	βερεϩι	verehi	verehi	verehi	اسم	مؤنث	عربة كارو		ⲃⲉⲣⲉϩⲓ (ⲧ)	(ⲧ)
ⲃⲉⲣⲉϭⲉⲣⲁⲧ	βερεϭερατ	veretsherɑt	veretscherat	veretsherat	اسم	مؤنث	"عجلة
دراجة"		ⲃⲉⲣⲉϭⲉⲣⲁⲧ (ⲧ)	(ⲧ)
ⲃⲉⲣⲉϭⲟⲩⲥⲉⲙ	βερεϭουςεμ	veretshoːsem	veretschousem	veretshüsem	اسم	مذكر	"ترام
مترو"		ⲃⲉⲣⲉϭⲟⲩⲥⲉⲙ (ⲡ)	(ⲡ)
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	βερεϭωουτς	veretshoːoːts	veretschwouts	veretshōüts	اسم	مؤنث	"عربة
مركبة
حنطور"		ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ (ⲧ)	(ⲧ)
ⲃⲉⲣⲓ	βερι	veri	veri	veri	صفة		"جديد
حديث
شيء جديد
شيء حديث
قريب العهد"		ⲃⲉⲣⲓ (adj.)	(adj.)
ⲃⲉⲣⲥⲓ	βερςι	versi	versi	versi	اسم	مذكر	سلق ، بقلة يمانية		ⲃⲉⲣⲥⲓ (ⲡ)	(ⲡ)
ⲃⲉⲣⲥⲓⲙ	βερςιμ	versim	versim	versim	اسم	مذكر	برسيم		ⲃⲉⲣⲥⲓⲙ (ⲡ)	(ⲡ)
ⲃⲉⲣⲥⲓϯ	βερςιϯ	versiti	versiti	versiti	اسم	مذكر	"مقطف
سلة الخبز"		ⲃⲉⲣⲥⲓϯ (ⲡ)	(ⲡ)
ⲟⲩⲉⲣⲧ	ουερτ	oːert/ owert	ouert	üert	اسم	مذكر	"وردة
زهرة
ورد"		ⲟⲩⲉⲣⲧ (ⲡ)	(ⲡ)
ⲃⲉⲣⲧ	βερτ	vert	vert	vert	اسم	مذكر	"وردة
زهرة
ورد"		ⲃⲉⲣⲧ (ⲡ)	(ⲡ)
ⲃⲉⲣϣⲉⲩ	βερϣευ	vershev	versheu	vershev	اسم	مذكر	"كزبرة ، نبات
حب الكزبرة"		ⲃⲉⲣϣⲉⲩ (ⲡ)	(ⲡ)
ⲃⲉⲣϣⲏⲟⲩ	βερϣηου	vershiːoː	vershyou	vershïü	اسم	مذكر	"كزبرة ، نبات
حب الكزبرة"		ⲃⲉⲣϣⲏⲟⲩ (ⲡ)	(ⲡ)
