Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲑⲉϧⲑⲱϧ	θεϧθωϧ	tʰekʰtʰoːkʰ	thekhthwkh	thekhthōkh	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يخالط
يعاشر
يخلط
يعكر"		ⲑⲉϧⲑⲱϧ	
ⲑⲉϧⲑⲱϧ	θεϧθωϧ	tʰekʰtʰoːkʰ	thekhthwkh	thekhthōkh	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مخلوط
مختلط
مرتبك
معكر
مضطرب
مخالط
معاشر"		ⲑⲉϧⲑⲱϧ	
ⲑⲉϧⲙⲱⲟⲩ	θεϧμωου	tʰekʰmoː	thekhmwou	thekhmōü	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مغشوش
مخلوط
ممزوج بالماء"		ⲑⲉϧⲙⲱⲟⲩ	
ⲑⲉϩ	θεϩ	tʰeh	theh	theh	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"عكر
معكر
ممزوج"		ⲑⲉϩ	
ⲑⲏ	θη	tʰiː	thy	thï	فعل		"تلك
ضمير إشارة للمفرد المؤنث البعيد"		ⲑⲏ (v.)	(v.)
ⲑⲏὲⲧⲉ / ⲑⲏⲉⲧⲉ	θηὲτε / θηετε	tʰiː-ete	thy`ete / thyete	thïète	اسم		تلك التي		ⲑⲏὲⲧⲉ / ⲑⲏⲉⲧⲉ	
ⲑⲏⲉⲑ	θηεθ	tʰiːetʰ	thyeth	thïeth	اسم		تلك التي		ⲑⲏⲉⲑ	
ⲑⲏⲉⲧ	θηετ	tʰiːet	thyet	thïet	اسم		تلك التي		ⲑⲏⲉⲧ	
ⲑⲏὲ / ⲑⲏⲉ	θηὲ / θηε	tʰiː-e	thy`e / thye	thïè	اسم		تلك التي		ⲑⲏὲ / ⲑⲏⲉ	
ⲑⲉⲃⲓ	θεβι	tʰevi	thevi	thevi	اسم	مذكر ، مؤنث	"صندوق
تابوت
سفط
جراب
محفظة
حوصلة"		ⲑⲉⲃⲓ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲑⲏⲃⲓ	θηβι	tʰiːvi	thyvi	thïvi	اسم	مذكر ، مؤنث	"صندوق
تابوت
سفط
جراب
محفظة
حوصلة"		ⲑⲏⲃⲓ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲑⲏⲕ	θηκ	tʰiːk	thyk	thïk	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"متوقد الذهن
راجح
ذكي
ذو فهم حاد"		ⲑⲏⲕ	
ⲑⲏⲕⲏ	θηκη	tʰiːkiː	thyky	thïkï	اسم	مؤنث	"غمد ، جراب السيف
غلاف
وعاء
إناء
صندوق
قبر"	يوناني	ⲑⲏⲕⲏ (ⲧ)	(ⲧ)
