page	start	end	notes
102	ⲕⲛⲁⲁⲩ	ⲕⲟⲛⲥ	
103	ⲕⲟⲛϫⲟⲩ	ⲕⲟⲧ	
104	ⲕⲟⲧ	ⲕⲟⲧⲥ	
105	ⲕⲟⲧⲥⲓ	ⲕⲟⲩⲣ	
106	ⲕⲟⲩⲣ	ⲕⲟⲩϫⲓ	
107	ⲕⲟϩ	ⲕⲧⲟ	
108	ⲕⲧⲟ	ⲕⲱⲃ	
109	ⲕⲱⲃ	ⲕⲱⲗⲉ	
110	ⲕⲱⲗⲙ	ⲕⲱⲗϫ	
111	ⲕⲱⲙϣ	ⲕⲱⲣϣ	
112	ⲕⲱⲣϥ	ⲕⲱⲥ	
113	ⲕⲱⲧ	ⲕⲱⲧ	
114	ⲕⲱⲧϥ	ⲕⲱϯ	
115	ⲕⲱϯ	ⲕⲱϯ	
116	ⲕⲱϯ	ⲕⲱϯ	
117	ⲗ	ⲗⲁⲁⲩ	
118	ⲗⲁⲁⲩ	ⲗⲁⲃⲟ	
119	ⲗⲁⲃⲟ	ⲗⲁⲗⲟ	
120	ⲗⲁⲗⲟⲩⲕⲏⲛ	ⲗⲁⲥ	
121	ⲗⲁⲥ	ⲗⲁϩⲙ	
122	ⲗⲁϩⲙ	ⲗⲉⲗⲉⲭⲏⲙⲓ	
123	ⲗⲉⲗⲏⲙ	ⲗⲉϩ	
124	ⲗⲉϩⲗⲉⲙ	ⲗⲓⲃⲓ	
125	ⲗⲓⲃⲓⲁ	ⲗⲟ	
126	ⲗⲟ	ⲗⲟⲃϣ	
127	ⲗⲟⲃϣ	ⲗⲟⲩⲕ	
128	ⲗⲟⲩⲕⲗⲁⲕ	ⲗⲟϫⲗⲉϫ	
129	ⲗⲟϫⲗⲉϫ	ⲗⲱⲓϫⲓ	
130	ⲗⲱⲓϫⲓ	ⲗⲱⲙ	
131	ⲗⲱⲙ	ⲗⲱϥ	
132	ⲗⲱϧⲉⲙ	ⲗϩⲱⲃ	
133	ⲙ	ⲙⲁ	
