page	start	end	notes
418	ⲥⲱⲧⲉⲣ	ⲥⲱⲧϥ	
419	ⲥⲱⲱⲙⲉ	ⲥⲱϣⲙ	
420	ⲥⲱϣⲧ	ⲥⲱϧⲓ	
421	ⲥⲱϩ	ⲥⲱϫⲡ	
422	ⲥⲱϭ	ⲥⲱϯ	
423	ⲥϣⲉ	ⲥϧⲁⲓ	
424	ⲥϧⲁⲓ	ⲥϧⲁⲓ	
425	ⲥϧⲁⲓ	ⲥϩⲓⲙⲓ	
426	ⲥϩⲟⲩⲉⲣ	ⲥϯⲛⲟⲩϥⲉ	
427	ⲧ	ⲧⲁⲁⲧⲉ	
428	ⲧⲁⲁⲧⲉ	ⲧⲁⲓⲟ	
429	ⲧⲁⲓⲟ	ⲧⲁⲕⲟ	
430	ⲧⲁⲕⲟ	ⲧⲁⲕⲧⲟ	
431	ⲧⲁⲕⲟⲩⲱϩ	ⲧⲁⲗⲟ	
432	ⲧⲁⲗⲟ	ⲧⲁⲗⲟ	
433	ⲧⲁⲗⲟ	ⲧⲁⲙⲟ	
434	ⲧⲁⲙⲟ	ⲧⲁⲛϩⲟⲩⲧ	
435	ⲧⲁⲝ	ⲧⲁⲟⲩⲟ	
436	ⲧⲁⲟⲩⲟ	ⲧⲁⲡ	
437	ⲧⲁⲡ	ⲧⲁⲣϣⲟ	
438	ⲧⲁⲣϩ	ⲧⲁⲥⲑⲟ	
439	ⲧⲁⲥⲟ	ⲧⲁϣⲟ	
440	ⲧⲁϥ	ⲧⲁϩⲟ	
441	ⲧⲁϩⲟ	ⲧⲁϩⲟ	
442	ⲧⲁϩⲟ	ⲧⲁϩⲧ	
443	ⲧⲁϫ	ⲧⲁϫⲣⲟ	
444	ⲧⲁϫⲣⲟ	ⲧⲃⲏⲣ	
445	ⲧⲃⲕⲟ	ⲧⲉⲃⲥ	
446	ⲧⲉⲃⲥ	ⲧⲉⲛⲑⲁⲙ	
447	ⲧⲉⲛⲑⲱⲙ	ⲧⲉⲛⲑⲱⲙ	
448	ⲧⲉⲛⲑⲱⲙ	ⲧⲉⲛϩⲟⲩⲧ	
449	ⲧⲉⲛϩⲣⲟ	ⲧⲉⲧ	
450	ⲧⲉⲧⲉⲛ	ⲧⲏⲃ	
451	ⲧⲏⲃ	ⲧⲏⲡ	
452	ⲧⲏⲣ	ⲧⲏⲩ	
453	ⲧⲏⲩ	ⲧⲓⲟⲩ	
454	ⲧⲓⲧⲗⲟⲥ	ⲧⲙⲛⲟ	
455	ⲧⲙⲟ	ⲧⲟⲃ	
456	ⲧⲟⲃⲥ	ⲧⲟⲓ	
457	ⲧⲟⲓⲉ	ⲧⲟⲙ	
458	ⲧⲟⲙⲓ	ⲧⲟⲛⲧⲛ	
459	ⲧⲟⲛⲧⲛ	ⲧⲟⲟⲧⲉ	
460	ⲧⲟⲟⲧⲥ	ⲧⲟⲣⲧⲉⲣ	
461	ⲧⲟⲣϣ	ⲧⲟⲧ	
462	ⲧⲟⲧ	ⲧⲟⲧ	
463	ⲧⲟⲧ	ⲧⲟⲧ	
464	ⲧⲟⲧ	ⲧⲟⲩⲃⲟ	
465	ⲧⲟⲩⲃⲟ	ⲧⲟⲩⲏⲧ	
466	ⲧⲟⲩⲓⲟ	ⲧⲟⲩⲛⲟⲥ	
467	ⲧⲟⲩⲟ	ⲧⲟⲩϫⲟ	
468	ⲧⲟⲩϫⲟ	ⲧⲟϭⲛ	
469	ⲧⲟϭⲣ	ⲧⲥⲁⲃⲟ	
470	ⲧⲥⲁⲃⲟ	ⲧⲥⲁⲛⲟ	
471	ⲧⲥⲃⲕⲟ	ⲧⲥⲧⲟ	
472	ⲧⲧⲉ	ⲧⲱⲃ	
473	ⲧⲱⲃⲓ	ⲧⲱⲃϩ	
474	ⲧⲱⲉⲧⲱ	ⲧⲱⲕ	
475	ⲧⲱⲕ	ⲧⲱⲕⲥ	
476	ⲧⲱⲗⲕ	ⲧⲱⲙⲓ	
477	ⲧⲱⲙⲓ	ⲧⲱⲛ	
478	ⲧⲱⲛ	ⲧⲱⲟⲩⲛ	
479	ⲧⲱⲟⲩⲛ	ⲧⲱⲟⲩⲛ	
480	ⲧⲱⲟⲩⲛ	ⲧⲱⲣⲓ	
481	ⲧⲱⲣⲕ	ⲧⲱⲣⲡ	
482	ⲧⲱⲣⲧ	ⲧⲱⲧ	
483	ⲧⲱⲧⲉ	ⲧⲱϫⲓ	
484	ⲧⲱϫⲓ	ⲧⲱϭⲣ	
485	ⲧⲱϭⲥ	ⲧϩⲉⲙⲥⲟ	
486	ⲧϩⲓⲟ	ⲧϭⲟ	
487	ⲩ	ⲩ	We removed the stroke from the end word.
488	ⲫ	ⲫⲁⲧ	
489	ⲫⲁⲧⲥⲓ	ⲫⲁϧⲣⲓ	
490	ⲫⲁϧⲣⲓ	ⲫⲁϫⲓ	
491	ⲫⲉ	ⲫⲉⲣⲥ	
492	ⲫⲉⲣⲫⲱⲣ	ⲫⲓ	
493	ⲫⲓⲏ	ⲫⲓⲣⲓ	
494	ⲫⲓⲣⲓ	ⲫⲟⲗϫ	
495	ⲫⲟⲗϫⲣⲟ	ⲫⲟⲣϣⲓ	
496	ⲫⲟⲣϣⲓ	ⲫⲟϩ	
497	ⲫⲟϩ	ⲫⲣⲏϣ	
498	ⲫⲣⲓⲫⲓⲟⲛ	ⲫⲱⲗϫ	
499	ⲫⲱⲛ	ⲫⲱⲛϩ	
500	ⲫⲱⲛϩ	ⲫⲱⲣ	
501	ⲫⲱⲣⲕ	ⲫⲱⲣϣ	
502	ⲫⲱⲣϣ	ⲫⲱⲣϫ	
503	ⲫⲱⲣϫ	ⲫⲱⲧ	
504	ⲫⲱⲧ	ⲫⲱⲧϩ	
505	ⲫⲱϣ	ⲫⲱϧ	
506	ⲫⲱϧⲉⲛ	ⲫⲱϫⲓ	
507	ⲭ	ⲭⲁ	
508	ⲭⲁ	ⲭⲁ	
509	ⲭⲁ	ⲭⲁ	
510	ⲭⲁⲁⲟⲩⲱ	ⲭⲁⲛⲧⲟⲧ	We removed the spaces to fix the downstream.
511	ⲭⲁⲟⲩⲱ	ⲭⲁϩⲑⲏⲓ	
512	ⲭⲁϩⲓⲱⲧ	ⲭⲉⲧ	
513	ⲭⲉϩⲭⲟϩ	ⲭⲏⲙⲓ	
514	ⲭⲏⲙⲓ	ⲭⲗⲟⲙ	
515	ⲭⲗⲟⲙⲗⲉⲙ	ⲭⲟϩ	
516	ⲭⲟϩⲭⲉϩ	ⲭⲣⲟⲩⲣ	
517	ⲭⲣⲟϣ	ⲭⲱ	
518	ⲭⲱ	ⲭⲱ	
519	ⲭⲱ	ⲭⲱⲕ	
520	ⲭⲱⲗⲉⲙ	ⲭⲱⲣⲟⲥ	
521	ⲯ	ⲯⲱⲣⲁ	
522	ⲱ	ⲱⲃ	
523	ⲱⲃⲉⲛ	ⲱⲓⲙⲓ	
524	ⲱⲓⲡⲓ	ⲱⲗⲓ	
525	ⲱⲗⲓ	ⲱⲗⲓ	
526	ⲱⲗⲓ	ⲱⲗⲕ	
527	ⲱⲗⲙ	ⲱⲙⲥ	
528	ⲱⲙⲥ	ⲱⲛⲓ	
529	ⲱⲛⲕ	ⲱⲛϧ	
530	ⲱⲛϭ	ⲱⲟⲩⲛϩⲏⲧ	
531	ⲱⲟⲩϣ	ⲱⲡ	
532	ⲱⲡ	ⲱⲡ	
533	ⲱⲡⲧ	ⲱⲣϣ	
534	ⲱⲣϣ	ⲱⲣϥ	
535	ⲱⲣϩ	ⲱⲥⲕ	
536	ⲱⲥϧ	ⲱⲧϩ	
537	ⲱⲧϩ	ⲱϣ	
538	ⲱϣ	ⲱϣⲉⲙ	
539	ⲱϣⲓ	ⲱϥⲧ	
540	ⲱϥⲧ	ⲱϫⲉⲣ	
541	ⲱϫⲓ	ⲱϭⲧ	
542	ϣ	ϣⲁ	
543	ϣⲁ	ϣⲁ	
544	ϣⲁ	ϣⲁⲓ	
545	ϣⲁⲓ	ϣⲁⲕⲧ	
546	ϣⲁⲕϩ	ϣⲁⲛⲁϩⲑⲏ	
547	ϣⲁⲛⲉⲩϣ	ϣⲁⲛϣ	
548	ϣⲁⲡ	ϣⲁⲣ	
549	ϣⲁⲣⲁϩⲓ	ϣⲁⲣⲓⲟⲩ	
550	ϣⲁⲣⲕⲉ	ϣⲁⲧ	
551	ϣⲁⲧ	ϣⲁⲧⲥ	
552	ϣⲁⲧⲥ	ϣⲁⲩ	
553	ϣⲁⲩ	ϣⲁϣ	
554	ϣⲁϣ	ϣⲁϣⲧ	
555	ϣⲁϣⲧ	ϣⲁϩ	
556	ϣⲁϩⲗ	ϣⲃⲧ	
557	ϣⲃⲱ	ϣⲉ	
558	ϣⲉ	ϣⲉ	
559	ϣⲉ	ϣⲉⲃⲓⲱ	
560	ϣⲉⲃⲓⲱ	ϣⲉⲉⲓ	
561	ϣⲉⲉⲛⲉ	ϣⲉⲗϥ	
562	ϣⲉⲗϥⲁⲩ	ϣⲉⲙⲙⲟ	
563	ϣⲉⲙϣⲓ	ϣⲉⲛⲛⲟⲩϥⲓ	
564	ϣⲉⲛⲛⲟϩ	ϣⲉⲛϩⲟ	
565	ϣⲉⲛϩⲱϯ	ϣⲉⲡϩⲟ	
566	ϣⲉⲡϫⲱ	ϣⲉϣ	
567	ϣⲉϣ	ϣⲏⲙ	
568	ϣⲏⲙ	ϣⲏⲡ	
569	ϣⲏⲣ	ϣⲏϣ	
570	ϣⲏϣ	ϣⲑⲉ	
571	ϣⲑⲉϩ	ϣⲑⲟⲩⲓⲧ	
572	ϣⲑⲟϩ	ϣⲓ	
573	ϣⲓⲁⲓ	ϣⲓⲃⲓϯ	
574	ϣⲓⲉⲓⲱϩⲉ	ϣⲓⲕⲉ	
575	ϣⲓⲕϩ	ϣⲓⲛⲓ	
576	ϣⲓⲛⲓ	ϣⲓⲡⲓ	
577	ϣⲓⲡⲗⲟⲕ	ϣⲓϯ	
578	ϣⲓϯ	ϣⲗⲁϩ	
579	ϣⲗⲉⲙⲗⲉⲙ	ϣⲗⲟⲩⲗⲁⲓ	
580	ϣⲗⲟϥ	ϣⲛⲁ	
581	ϣⲛⲁ	ϣⲟⲃⲉ	
582	ϣⲟⲃⲓ	ϣⲟⲗ	
583	ϣⲟⲗ	ϣⲟⲙ	
584	ϣⲟⲙ	ϣⲟⲛϥ	
585	ϣⲟⲛϩⲉⲛ	ϣⲟⲡ	
586	ϣⲟⲡ	ϣⲟⲡϣⲉⲡ	
587	ϣⲟⲡϣⲟⲡ	ϣⲟⲣⲡ	
588	ϣⲟⲣⲧ	ϣⲟⲥⲙ	
589	ϣⲟⲥⲙⲉⲥ	ϣⲟⲩⲓⲧ	
590	ϣⲟⲩⲕⲣⲉ	ϣⲟⲩⲣⲏ	
591	ϣⲟⲩⲥⲛⲁⲩ	ϣⲟⲩϣⲟⲩ	
592	ϣⲟⲩϣⲟⲩ	ϣⲟϣⲧ	
593	ϣⲟϣϥ	ϣⲣⲡ	
594	ϣⲡⲧⲱⲣⲉ	ϣⲧⲉⲣⲑⲱⲣ	
595	ϣⲧⲉⲣⲧⲓⲣ	ϣⲧⲟⲩⲏⲧ	
596	ϣⲧⲟⲩⲗ	ϣⲫⲏⲣ	
597	ϣⲫⲏⲣⲓ	ϣⲫⲓⲧ	
598	ϣⲱ	ϣⲱⲃϩ	
599	ϣⲱⲓ	ϣⲱⲗ	
600	ϣⲱⲗ	ϣⲱⲗϩ	
601	ϣⲱⲗϭ	ϣⲱⲛⲓ	
602	ϣⲱⲛⲧ	ϣⲱⲛϥ	
603	ϣⲱⲛϥ	ϣⲱⲡ	
604	ϣⲱⲡ	ϣⲱⲡ	
605	ϣⲱⲡ	ϣⲱⲡⲓ	
606	ϣⲱⲡⲓ	ϣⲱⲡⲧ	
607	ϣⲱⲣ	ϣⲱⲧ	
608	ϣⲱⲧ	ϣⲱⲧ	
609	ϣⲱⲧ	ϣⲱⲧ	
610	ϣⲱⲧⲃ	ϣⲱⲱϭⲉ	
611	ϣⲱϣ	ϣⲱϣ	
612	ϣⲱϣ	ϣⲱϣ	
613	ϣⲱϣ	ϣⲱϣⲧ	
614	ϣⲱϣϥ	ϣⲱϥⲧ	
615	ϣⲱϩⲃ	ϣϣⲱⲟⲩ	
616	ϣϥⲉ	ϣϫⲥⲟϭ	
617	ϣϫⲱⲧ	ϣϭⲟⲩⲣ	
618	ϥ	ϥⲁⲓ	
619	ϥⲁⲓ	ϥⲓ	
620	ϥⲓ	ϥⲓ	
621	ϥⲓ	ϥⲟⲣϥⲉⲣ	
622	ϥⲟⲧ	ϥⲧⲟⲩ	
623	ϥⲱⲓ	ϥⲱϫⲓ	
624	ϥⲱϫⲓ	ϥⲱϫⲓ	
625	ϥⲱϭⲥ	ϥⲱϯⲁ	
626	ϧ	ϧⲁ	
627	ϧⲁ	ϧⲁⲉ	
628	ϧⲁⲉ	ϧⲁⲓⲏ	
629	ϧⲁⲓⲟⲣ	ϧⲁⲧⲉⲛ	
630	ϧⲁⲧϩⲏ	ϧⲁϫⲉⲛ	
631	ϧⲁϯ	ϧⲉ	
632	ϧⲉ	ϧⲉⲗϣⲓⲣⲓ	
633	ϧⲉⲗϧⲉⲗⲧ	ϧⲉⲛ	
634	ϧⲉⲛ	ϧⲉⲣⲟⲩⲱ	
635	ϧⲉⲣϧⲉⲣ	ϧⲏⲕ	
636	ϧⲏⲕ	ϧⲓⲥⲓ	
637	ϧⲓⲥⲓ	ϧⲓⲥⲓ	
638	ϧⲓⲥⲓ	ϧⲓⲥⲓ	
639	ϧⲓϯ	ϧⲙⲟⲙ	
640	ϧⲟⲑⲃ	ϧⲟⲙϧⲉⲙ	
641	ϧⲟⲙϧⲉⲙ	ϧⲟⲧϧⲉⲧ	
642	ϧⲟⲧϧⲉⲧ	ϧⲣⲁϫⲣⲉϫ	
643	ϧⲣⲉ	ϧⲣⲱⲟⲩ	
644	ϧⲣⲱϯ	ϧⲱⲕ	
645	ϧⲱⲕ	ϧⲱⲧ	
646	ϧⲱⲧⲉⲃ	ϧⲱϧ	
647	ϩ	ϩⲁⲃⲁϭⲏⲉⲓⲛ	
648	ϩⲁⲃⲓⲟⲩⲓ	ϩⲁⲕⲟ	
649	ϩⲁⲕⲗϥ	ϩⲁⲗⲱⲗⲓ	
650	ϩⲁⲗⲱⲙ	ϩⲁⲛⲣⲟ	
651	ϩⲁⲛⲧⲟⲩⲥ	ϩⲁⲡ	
652	ϩⲁⲡⲓ	ϩⲁⲣⲛ	
653	ϩⲁⲣⲟ	ϩⲁⲧⲏⲩ	
654	ϩⲁⲧⲛ	ϩⲃⲁ	
655	ϩⲃⲁⲓ	ϩⲃⲥ	
656	ϩⲃⲥ	ϩⲉ	
657	ϩⲉ	ϩⲉⲃⲓ	
658	ϩⲉⲃⲓ	ϩⲉⲓ	
659	ϩⲉⲓ	ϩⲉⲗⲙⲉϩⲓ	
660	ϩⲉⲗⲙⲏ	ϩⲉⲙⲓ	
661	ϩⲉⲙⲓ	ϩⲉⲙⲥⲓ	
662	ϩⲉⲙⲥⲓ	ϩⲉⲛ	
663	ϩⲉⲛ	ϩⲉⲣⲙⲉⲥ	
664	ϩⲉⲣⲟⲩⲱ	ϩⲏ	
665	ϩⲏ	ϩⲏ	
666	ϩⲏ	ϩⲏⲗ	
667	ϩⲏⲙ	ϩⲏⲛⲧ	
668	ϩⲏⲟⲩ	ϩⲏⲡ	
669	ϩⲏⲡⲓ	ϩⲏⲧ	
670	ϩⲏⲧ	ϩⲏⲧ	
671	ϩⲏⲧ	ϩⲏⲩ	
672	ϩⲏⲩ	ϩⲑⲏ	
673	ϩⲑⲏ	ϩⲓ	
674	ϩⲓ	ϩⲓ	
675	ϩⲓ	ϩⲓⲁⲗⲗⲁ	
676	ϩⲓⲁⲣⲭⲏ	ϩⲓⲏ	
677	ϩⲓⲏⲃ	ϩⲓⲛ	
678	ϩⲓⲛⲁ	ϩⲓⲟⲩⲓ	
679	ϩⲓⲟⲩⲓ	ϩⲓⲟⲩⲓ	
680	ϩⲓⲟⲩⲓ	ϩⲓⲟⲩⲓ	
681	ϩⲓⲡⲉⲥⲏⲧ	ϩⲓⲥⲧⲟⲣⲓⲁ	
682	ϩⲓⲥⲫⲏⲓϯ	ϩⲓⲱⲓϣ	
683	ϩⲓⲱⲗⲓ	ϩⲓϫⲉⲛ	
684	ϩⲓϫⲉⲛ	ϩⲗⲏϫⲓ	
685	ϩⲗⲓ	ϩⲗⲟⲗ	
686	ϩⲗⲟⲗⲓ	ϩⲗⲟϫ	
687	ϩⲗⲡⲗⲱⲡ	ϩⲙⲟⲧ	
688	ϩⲙⲟⲧ	ϩⲙⲟⲩ	
689	ϩⲙⲟϫ	ϩⲛⲁⲁⲩ	
690	ϩⲛⲁⲩ	ϩⲟ	
691	ϩⲟ	ϩⲟⲃⲉ	
692	ϩⲟⲃⲥ	ϩⲟⲉⲓⲧⲉ	
693	ϩⲟⲉⲓⲧⲉ	ϩⲟⲗϩⲗ	
694	ϩⲟⲗϩⲗ	ϩⲟⲙϩⲉⲙ	
695	ϩⲟⲙϫ	ϩⲟⲟⲩⲧ	
696	ϩⲟⲟⲩⲧⲛ	ϩⲟⲣϣ	
697	ϩⲟⲣϣ	ϩⲟⲥⲉ	
698	ϩⲟⲥⲉⲙ	ϩⲟⲧⲣ	
699	ϩⲟⲧⲥ	ϩⲟⲩⲛ	
700	ϩⲟⲩⲛ	ϩⲟⲩⲟ	
701	ϩⲟⲩⲟ	ϩⲟⲩⲟ	
702	ϩⲟⲩⲟ	ϩⲟⲩⲟ	
703	ϩⲟⲩⲣⲉ	ϩⲟϫϩⲉϫ	
704	ϩⲟϫϩⲉϫ	ϩⲟϯ	
705	ϩⲟϯ	ϩⲣⲁ	
706	ϩⲣⲁ	ϩⲣⲁ	
707	ϩⲣⲁⲓ	ϩⲣⲏⲣⲓ	
708	ϩⲣⲏϣⲓ	ϩⲣⲟⲩⲟ	
709	ϩⲣⲟⲩⲱⲣ	ϩⲣⲱⲧ	
710	ϩⲣⲱϫⲉ	ϩⲧⲟⲣ	
711	ϩⲧⲟⲟⲩⲉ	ϩⲱ	
712	ϩⲱⲃ	ϩⲱⲃ	
713	ϩⲱⲃ	ϩⲱⲃ	
714	ϩⲱⲃⲕ	ϩⲱⲓⲙⲓ	
715	ϩⲱⲓⲙⲓ	ϩⲱⲗ	
716	ϩⲱⲗ	ϩⲱⲗ	
717	ϩⲱⲗⲉ	ϩⲱⲗϫ	
718	ϩⲱⲗϭ	ϩⲱⲛ	
719	ϩⲱⲛ	ϩⲱⲟⲩ	
720	ϩⲱⲟⲩ	ϩⲱⲟⲩⲓ	
721	ϩⲱⲟⲩⲧ	ϩⲱⲡ	
722	ϩⲱⲡ	ϩⲱⲣⲡ	
723	ϩⲱⲣϣ	ϩⲱⲥ	
724	ϩⲱⲥ	ϩⲱⲧⲡ	
725	ϩⲱⲧⲡ	ϩⲱⲧⲣ	
726	ϩⲱⲱⲕ	ϩⲱϣ	
727	ϩⲱϥⲧ	ϩⲱϫⲡ	
728	ϩⲱϯ	ϩϫⲟⲡϫⲡ	
729	ϫ	ϫⲁⲓⲟ	
730	ϫⲁⲓⲟ	ϫⲁⲗ	
731	ϫⲁⲗ	ϫⲁⲛⲉ	
732	ϫⲁⲛⲏ	ϫⲁϥ	
733	ϫⲁϥ	ϫⲁϫⲓ	
734	ϫⲁϫⲓⲑⲱⲗ	ϫⲉ	
735	ϫⲉ	ϫⲉ	
736	ϫⲉ	ϫⲉⲃⲏⲗ	
737	ϫⲉⲃⲓⲱⲟⲩ	ϫⲉⲗⲕⲉⲥ	
738	ϫⲉⲗϥⲁⲩ	ϫⲉⲙⲡϣⲓⲛⲓ	
739	ϫⲉⲙⲣⲏϯ	ϫⲉⲛⲁ	
740	ϫⲉⲛⲁ	ϫⲉⲣϫⲉⲣ	
741	ϫⲉⲣϫⲓ	ϫⲉⲭⲁⲥ	
742	ϫⲉϣ	ϫⲏⲕ	
743	ϫⲏⲕⲉ	ϫⲏⲣ	
744	ϫⲏⲣⲓ	ϫⲏϩ	
745	ϫⲏϩ	ϫⲓ	
746	ϫⲓ	ϫⲓ	
747	ϫⲓ	ϫⲓ	
748	ϫⲓ	ϫⲓⲙⲫⲉϩ	
749	ϫⲓⲛ	ϫⲓⲛⲓⲣⲓ	
750	ϫⲓⲛⲓⲣⲓ	ϫⲓⲧ	
751	ϫⲓϣ	ϫⲓϯ	
752	ϫⲓϯⲡⲉ	ϫⲛ	
753	ϫⲛⲁ	ϫⲛⲉ	
754	ϫⲛⲉ	ϫⲟ	
755	ϫⲟ	ϫⲟⲕ	
756	ϫⲟⲕⲙ	ϫⲟⲗⲕ	
757	ϫⲟⲗⲕⲥ	ϫⲟⲗϫⲗ	
758	ϫⲟⲗϫⲗ	ϫⲟⲙ	
759	ϫⲟⲙ	ϫⲟⲛⲧ	
760	ϫⲟⲛϫⲛ	ϫⲟⲟⲩ	
761	ϫⲟⲟⲩⲧ	ϫⲟⲣ	
762	ϫⲟⲣⲃⲉⲥ	ϫⲟⲥ	
763	ϫⲟⲥⲉ	ϫⲟⲩⲕϩ	
764	ϫⲟⲩⲗ	ϫⲟⲩϣⲧ	
765	ϫⲟⲩϣⲧ	ϫⲟⲩϣⲧ	
766	ϫⲟⲩϥ	ϫⲟϥϫⲉϥ	
767	ϫⲟϩ	ϫⲣⲟ	
768	ϫⲣⲟⲡ	ϫⲫⲟ	
769	ϫⲫⲟ	ϫⲫⲟ	
770	ϫⲫⲟⲓ	ϫⲱ	
771	ϫⲱ	ϫⲱ	
772	ϫⲱ	ϫⲱⲃ	
773	ϫⲱⲃⲓ	ϫⲱⲓⲗⲓ	
774	ϫⲱⲓⲗⲓ	ϫⲱⲕ	
775	ϫⲱⲕ	ϫⲱⲕ	
776	ϫⲱⲕⲉ	ϫⲱⲗ	
777	ϫⲱⲗ	ϫⲱⲗⲕ	
778	ϫⲱⲗⲕ	ϫⲱⲗϩ	
779	ϫⲱⲗϩ	ϫⲱⲙ	
780	ϫⲱⲙ	ϫⲱⲛⲧ	
781	ϫⲱⲛⲧ	ϫⲱⲣ	
782	ϫⲱⲣ	ϫⲱⲣ	
783	ϫⲱⲣ	ϫⲱⲣⲓ	
784	ϫⲱⲣⲙ	ϫⲱⲣϫ	
785	ϫⲱⲣϫ	ϫⲱⲧⲉ	
786	ϫⲱⲧⲡ	ϫⲱⲧϩ	
787	ϫⲱⲱⲃⲉ	ϫⲱϣ	
788	ϫⲱϥ	ϫⲱϩ	
789	ϫⲱϩⲙ	ϫⲱϫⲉⲃ	
790	ϫⲱϫⲓ	ϫϩⲟⲥ	
791	ϭ	ϭⲁⲗⲁϩⲧ	
792	ϭⲁⲗⲉ	ϭⲁⲛⲁϩ	
793	ϭⲁⲟⲩⲟⲛ	ϭⲁⲩⲟⲛ	
794	ϭⲁⲩⲣⲉ	ϭⲃϭⲱⲃ	
795	ϭⲉ	ϭⲉⲗ	
796	ϭⲉⲗⲃⲁⲩ	ϭⲉⲛϭⲉⲛ	
797	ϭⲉⲛϭⲉⲛⲉϩ	ϭⲉⲣⲏⲟⲩⲧ	
798	ϭⲉⲣⲏϭ	ϭⲉⲧϭⲱⲧ	
799	ϭⲉⲩ	ϭⲏⲡ	
800	ϭⲏⲡⲓ	ϭⲓ	
801	ϭⲓ	ϭⲓ	
802	ϭⲓ	ϭⲓ	
803	ϭⲓ	ϭⲓⲏ	
804	ϭⲓⲓⲉ	ϭⲓⲛϭⲱ	
805	ϭⲓⲛϭⲱⲣ	ϭⲓⲥⲓ	
806	ϭⲓⲥⲓ	ϭⲓⲥⲓ	
807	ϭⲓⲥⲓ	ϭⲗⲁⲡ	
808	ϭⲗⲁϩ	ϭⲗⲟⲙⲗⲉⲙ	
809	ϭⲗⲟⲟⲧⲉ	ϭⲛ	
810	ϭⲛⲁⲧ	ϭⲛⲁϩ	
811	ϭⲛⲉϫⲱ	ϭⲛⲟⲩ	
812	ϭⲛⲟⲩϥ	ϭⲟ	
813	ϭⲟ	ϭⲟⲓⲥ	
814	ϭⲟⲗ	ϭⲟⲗⲕ	
815	ϭⲟⲗⲕ	ϭⲟⲛⲧⲥ	
816	ϭⲟⲛϥ	ϭⲟⲡ	
817	ϭⲟⲡ	ϭⲟⲥⲓ	
818	ϭⲟⲥⲙ	ϭⲟⲧϩ	
819	ϭⲟⲧϭⲉⲧ	ϭⲟϫⲓ	
820	ϭⲟϫⲓ	ϭⲣⲏ	
821	ϭⲣⲏⲡⲓ	ϭⲣⲟ	
822	ϭⲣⲟⲙⲡⲓ	ϭⲣⲟϩ	
823	ϭⲣⲟϭ	ϭⲱ	
824	ϭⲱ	ϭⲱⲗ	
825	ϭⲱⲗ	ϭⲱⲗⲕ	
826	ϭⲱⲗⲕ	ϭⲱⲛⲧ	
827	ϭⲱⲛⲧ	ϭⲱⲡⲉ	
828	ϭⲱⲡⲉ	ϭⲱⲣⲉⲙ	
829	ϭⲱⲣⲉⲙ	ϭⲱⲣⲡ	
830	ϭⲱⲣⲡ	ϭⲱⲥ	
831	ϭⲱⲥ	ϭⲱⲧⲡ	
832	ϭⲱⲧⲥ	ϭⲱϧⲉⲙ	
833	ϭⲱϩⲧ	ϭϩⲟⲥ	
834	ϯ	ϯ	
835	ϯ	ϯ	
836	ϯ	ϯ	
837	ϯ	ϯ	
838	ϯ	ϯⲛⲟⲙϯ	
839	ϯⲛⲟⲩ	ϯⲧⲱⲛ	
840	ϯⲧⲱϣ	ϯϯ	
