ⲁⲅⲓⲟⲥⲩⲛⲏ , –ⲟⲧⲏⲥ	(Gk); (f.) Holiness, purity.
ⲁⲅⲓⲟⲧⲏⲥ (v.) ⲁⲅⲓⲟⲥⲩⲛⲏ	Purity.
ⲁⲅⲙⲏ	(Gk); Eruption (on the face), acne.
ⲁⲅⲛⲏ (v.) ⲁⲅⲛⲟⲥ	Pure.
ⲁⲅⲛⲓⲁ	(Gk); (f.) Purity, chastity, celibacy.
ⲁⲅⲛⲟⲥ , (f.) –ⲛⲏ	"(Gk); (adj.) Pure, upright,
   chaste."
ⲁⲅⲟⲣⲁ (v.) ⲁⲅⲱⲣⲁ	Marketplace.
ⲁⲅⲟⲣⲉⲟⲥ	"(Gk); (m.) Lawyer, advocate; (f.)
   court."
ⲁⲅⲣⲁⲙⲙⲁⲧⲟⲥ	(Gk); (adj.) Illiterate; (n.) uneducated or unlearned person.
ⲁⲅⲣⲓⲁ (v.) ⲁⲅⲣⲓⲟⲥ	wild.
ⲁⲅⲣⲓⲟⲗⲁⲕⲟⲛⲟⲛ (v.) ⲁⲅⲣⲓⲟⲥ	Wild gourd.
ⲁⲅⲣⲓⲟⲛ (v.) ⲁⲅⲣⲓⲟⲥ	Wild.
ⲁⲅⲣⲓⲟⲥ , –ⲟⲛ , (f.) –ⲓⲁ	"(Gk); (adj.) Wild, fierce,
   savage, vehement, harsh;
   ⲁⲅⲣⲓⲟⲗⲁⲕⲟⲛⲟⲛ : (m.) Wild gourd."
ⲁⲅⲱ (v.) ⲁⲕⲱ	Filth.
ⲁⲅⲱⲛ	"(Gk); (m.) Agony, struggle, trial,
   battle;
   ⲉⲣⲁⲅⲱⲛⲓⲍⲉⲥⲑⲉ , ⲉⲣⲁⲅⲱⲛⲏⲍⲉⲥⲑⲉ : (vb.)
   To agonize, fight, struggle
   ⲁⲅⲱⲛⲓⲥⲧⲏⲥ , ⲁⲅⲱⲛⲓⲍⲏⲧⲏⲥ : (Gk); Unknown."
ⲁⲅⲱⲛⲟⲑⲉⲧⲏⲥ , ⲁⲅⲱⲛⲏⲑⲉⲧⲏⲥ	"(Gk);
   Unknown."
ⲁⲅⲱⲣⲁ , ⲁⲅⲟⲣⲁ	"(Gk); (f.) Marketplace, place of commerce;
   ⲁⲅⲱⲣⲉⲩⲥ : (m.) Vendor."
ⲁⲅⲱⲣⲉⲩⲥ (v.) ⲁⲅⲱⲣⲁ	Vendor.
ⲁⲇⲁⲙⲁⲥ	(Gk); (m.) Diamond.
ⲁⲇⲓⲕⲟⲥ	(Gk); (adj.) Unrighteous, unjust.
ⲁⲇⲓⲕⲓⲁ	"(Gk); (f.) Wrong offence, treason,
   injustice."
ⲁⲉⲧⲟⲥ	(Gk); (m.) Eagle.
ⲁⲏⲣ	(Gk); Air, atmosphere.
ⲁⲑ– (v.) ⲁⲧ–	Un-.
ⲁⲑⲁⲛⲁⲧⲟⲥ	"(Gk); (adj.) Undying,
   everlasting, immortal."
ⲁⲑⲁϩ (v.) ⲱⲧϩ	Burden.
ⲁⲑⲉⲧⲓⲛ	"(Gk); (w/ ⲉⲣ– ) (vb.) To set aside,
   disregard."
ⲁⲑⲏⲛⲉⲟⲥ	(Gk); (m.) Athenian.
ⲁⲑⲏⲣ (v.) ϩⲁⲑⲏⲣ	Hammer.
ⲁⲑⲗⲏⲥⲓⲥ , ⲁⲑⲗⲩⲥⲓⲥ	"(Gk); (f.) Conflict,
   combat, struggle, contest."
ⲁⲑⲗⲏⲧⲏⲥ , ⲁⲑⲗⲓⲧⲏⲥ , ⲁⲑⲗⲩⲧⲏⲥ	"(Gk);
   (m.) One who struggles, athelete, strong
   person."
ⲁⲑⲗⲓⲧⲏⲥ = ⲁⲑⲗⲏⲧⲏⲥ	Strong person.
ⲁⲑⲗⲟⲛ	(Gk); Unknown.
ⲁⲑⲗⲟⲫⲟⲣⲟⲥ	(Gk); (m.) Endurer of struugle.
ⲁⲑⲗⲩⲧⲏⲥ = ⲁⲑⲗⲏⲧⲏⲥ	Strong person.
ⲁⲑⲗⲱⲫⲟⲣⲟⲥ = ⲁⲑⲗⲟⲫⲟⲣⲟⲥ	"Endurer of
   struggle."
ⲁⲑⲣⲉⲩ (v.) ⲁⲧⲣⲉ	Twin.
ⲁⲑⲣⲓⲟⲥ	"(Gk?); (n.) Thou al-qaada, the 11th
   month of the Arabic lunar calendar."
ⲁⲑⲱⲣ	(728a); (n.) Hatur, the 3rd month of the Coptic calendar.
ⲁⲓ⸗ (v.) ⲓⲣⲓ	To do.
ⲁⲓⲁⲓ , ⲟⲓ (Q)	"(1b); (vi.) To increase, advance
   in age; (Q) great, honored;
   ---: (m.) Increase, growth."
ⲁⲓⲅⲩⲡⲧⲓⲁ (v.) ⲁⲓⲅⲩⲡⲧⲓⲟⲥ	Egyptian.
ⲁⲓⲅⲩⲡⲧⲓⲁⲍⲉⲥⲑⲉ	"(Gk); (w/ ⲉⲣ– ) (vb.) To be
   like an Egyptian, to follow the Egyptians,
   to speak like an Egyptian."
ⲁⲓⲅⲩⲡⲧⲓⲟⲥ , (f.) –ⲓⲁ	(Gk); (m.) Egyptian; ⲁⲓⲅⲩⲡⲧⲟⲅⲉⲛⲏⲥ : of Egyptian race; ⲁⲓⲅⲩⲡⲧⲟⲥ : (m.) Egypt, the Nile.
ⲁⲓⲅⲩⲡⲧⲟⲅⲉⲛⲏⲥ (v.) ⲁⲓⲅⲩⲡⲧⲓⲟⲥ	"Of
   Egyptian race."
ⲁⲓⲅⲩⲡⲧⲟⲥ (v.) ⲁⲓⲅⲩⲡⲧⲓⲟⲥ	Egypt.
ⲁⲓⲕ	"(3a); (m.) Consecration of a place;
   ⲉⲣⲁⲓⲕ : (v.) To consecrate;
   ϭⲓⲁⲓⲕ : (v.) To consecrate."
ⲁⲓⲧⲏⲙⲁ , ⲉⲧⲏⲙⲁ	(Gk); (m.) Request, demand, assumption, petition.
ⲁⲓⲟⲩ	"(19b); (n.) (w/ ⲉⲣ– ) means to go or
   travel."
ⲁⲕⲁⲑⲟⲥ = ⲁⲅⲁⲑⲟⲥ	Good.
ⲁⲕⲁⲑⲁⲣⲧⲟⲛ (v.) ⲁⲕⲁⲑⲁⲣⲧⲟⲥ	Unclean.
ⲁⲕⲁⲑⲁⲣⲧⲟⲥ , –ⲟⲛ	"(Gk); (adj.) Unclean,
   defiled, filthy (in body or mind)."
(1) ⲁⲕⲁⲕⲓⲁ , –ⲁⲥ	(Gk); (f.) Acacia tree.
(2) ⲁⲕⲁⲕⲓⲁ , –ⲁⲥ	"(Gk); (adj.) Innocence,
   simplicity."
ⲁⲕⲁⲕⲓⲁⲥ (v.) (1) ⲁⲕⲁⲕⲓⲁ	Acacia.
ⲁⲕⲁⲕⲓⲁⲥ (v.) (2) ⲁⲕⲁⲕⲓⲁ	Innocence.
ⲁⲕⲉⲗⲓ (v.) ⲁⲅⲉⲗⲓ	Herd of oxen.
ⲁⲕⲉⲣⲉⲟⲥ	(Gk?); (adj.) Meek.
ⲁⲕⲉⲣⲟⲥ	(Gk); (adj.) Ill-timed, unseasonable.
ⲁⲕⲏⲥ	(3b); (m.) Girdle, breeches.
ⲁⲕⲓⲁ = ⲁⲅⲓⲁ	Holy.
ⲁⲕⲓⲗⲓⲁ	(Gk?); (f.) A type of flies or plants.
(1) ⲁⲕⲓⲛⲟⲥ	(Gk?); (f.) A worm (?).
(2) ⲁⲕⲓⲛⲟⲥ	(Gk); (m.) Basil-thyme.
(1) ⲁⲕⲗⲏ , ⲕⲁⲗⲏ	(3b); (f.) Weasel.
(2) ⲁⲕⲗⲏ , ⲕⲁⲗⲏ , ⲁⲕⲗⲓ , ⲁⲗⲕⲏ	"(3b); (f.) A
   pottery vessel used for food or liquid
   storage."
ⲁⲕⲗⲓ (v.) ⲁⲕⲗⲏ	Pottery vessel.
ⲁⲕⲙⲏⲛ	(Gk); (adv.) Still as yet.
ⲁⲕⲝⲓⲱⲙⲁ = axiwma - Honor ⲁⲕⲟⲗⲟⲩⲑⲓⲁ	(Gk); Unknown.
ⲁⲕⲟⲛⲏ , –ⲏⲥ	(Gk); (f.) Whetstone, bone.
ⲁⲕⲟⲛⲏⲥ (v.) ⲁⲕⲟⲛⲏ	Bone.
ⲁⲕⲣⲁⲧⲟⲛ (v.) ⲁⲕⲣⲁⲧⲟⲥ	Unmixed.
ⲁⲕⲣⲁⲧⲟⲥ , –ⲟⲛ	"(Gk); (adj.) Unmixed, pure,
   unadulterated."
ⲁⲕⲣⲓⲃⲱⲥ	(Gk); (adv.) Precisely.
ⲁⲕⲧⲏⲛ (v.) ⲁⲕⲧⲓⲥ	Ray.
ⲁⲕⲧⲏⲣ (v.) ⲁⲕⲧⲓⲥ	Ray.
ⲁⲕⲧⲓⲛ (v.) ⲁⲕⲧⲓⲥ	Ray.
ⲁⲕⲧⲓⲥ , ⲁⲕⲧⲏⲛ , ⲁⲕⲧⲓⲛ , ⲁⲕⲧⲏ r	"(Gk); (m.)
   Ray, sunbeam; brightness, splendor,
   glory."
ⲁⲕⲱ , ⲁⲅⲱ	(3b); (f.) Thing destroyed, carrion, filth, destruction.
ⲁⲗ	"(3a); (m.) Pebble; hailstone; testicle; spot,
   patch on skin, eruption."
ⲁⲗ– (v.) ⲁⲗⲟⲗⲓ	Grape.
ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲛ (v.) ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲥ	Alabaster.
ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲥ , –ⲟⲛ	"(Gk); (m.) Alabaster, white marble; a case box or casket made
   of alabaster (esp.) vessel for perfume."
ⲁⲗⲁⲃⲗⲉⲃ (v.) ⲁⲗⲁⲡⲗⲉⲡ	To be weary.
ⲁⲗⲁⲕ (v.) ϩⲁⲗⲁⲕ	Ring.
