key	word	type	en	crum	quality	added	updated	created_by	updated_by	dawoud-pages	notes	senses	override-type	crum-last-page	sisters	antonyms	homonyms	greek-sisters	categories	TODO
14	(S,sA,B,F) Swrp (A) Qwrp (F) Swl$^e^$p (S) S$^e^$r$^e^$p- (B) Serp- (S,B) Sorp= (A) Qarp= (S) Sorp+ (NH) Sarp+ *^<a href=ext codex I - The Apocryphon of James;102;7;14;Spe oun Gam ari Sarp araei Hwwt">Ext</a>^*"	2	{intr:} be early | {qual:} /$gk: [[orqrios]]$/ | {tr /*refl*/:} /$gk: [[orqrizein]]$/	586b	8	2009-09-14	2011-01-15	vagrant	vagrant	607a,587a,587a-588a		{"1": "be early"}			210; 68; 227; 2325	1824; 67; 59				
15	(S,B,O) ran (S) rin (A,sA,F,O) ren (F) len (S,B) ren- (S,A) rnt= (S) rent=,rint=,rant= (S,O) rin= (B,O) ren=	1	name /$gk: [[onoma]]$/	297b	8	2009-09-14	2010-07-07	vagrant	vagrant	310b-311a,317b		{"1": "name", "2": "fame, renown"}			260; 113				concept	
16	(S,A,sA) Jise (B) Gisi (F) Jisi (S,sA) Jest- (S) Jast- (B) Ges-,Gas- (S) Jast=,Jist= (A,sA,F) Jest= (B) Gas= (S) Jose+ (A,sA) Jase+ (sA,F) Jasi+ (B) Gosi+ (S,A,sA,F) ^Jasi- (B) ^Gasi-	2	{intr:} become, be high /$gk: [[ucousqai, megalunesqai]]$/ | {qual:} /$gk: [[ucistos, uchlos, metewros]]$/ | {tr:} exalt /$gk: [[ucoun]]$/ | (p c), who raises, mounts	788b	7	2009-09-14	2010-08-15	vagrant	vagrant	805b-807a,750b		{"1": "be high", "2": "raise, exalt", "3": "mount"}			17; 2175; 917; 2649	2122	2457			
17	(B) Gois (S,Sf) Jo$^e^$is (S,A,F) Js (A,sA,F) Jaeis (sA,F) Jais (Sf) Gos (NH) Jes *^<a href=ext codex II - The Gospel of Thomas;107;37;6;eFSaeime nGi pJesHnhei">Ext</a>^* (S) *Jisoou$^e^$ (A,sA) *Jiseue (B) *Giseu (F) *Jishoui (Sf) *Jishhue"	22	lord |$ (title of God) /$gk: [[kurios]]$/ |$ (of man), master, owner /$gk: [[oikodespoths]]$/ |$ (of saint)	787b	8	2009-09-14	2011-01-14	vagrant	vagrant	813b-814a,755b		{"1": "lord (of God)", "2": "lord (of man, master, owner)", "3": "lord (of saint)"}			1172; 18; 16	568; 905; 367; 2642			person	
18	(S,A,sA) rro (Sf) erro (S,O) ero (S,B) ouro (F) rra,erra,irra,era (S,sA) ****rrw (S,Sf) ****erw (B) ****ourw (S,A) *rrwou (S,F) *errwou (S,O) *erwou (S) *rroou (Sa,A) *rra$^e^$i (B) *ourwou	22	king, queen /$gk: [[basileus, arxwn, turannis, kaisar, hgoumenos]]$/ | (as adj) royal	299a	8	2009-09-14	2010-07-07	vagrant	vagrant	263a		{"1": "king", "2": "queen", "3": "royal"}			17	568; 905; 367; 2642			person	
19	(S,A,sA,B,F,O) Hht (S,A,sA,F,O) Hth= (O) Hte= (B) Hqh= (A) ht= (B) eHth= (A,sA) *Hete (F) *HeT	1	heart, mind /$gk: [[kardia, nous, dianoia, cuxh]]$/	714a	8	2009-09-14	2010-08-12	vagrant	vagrant	672a-673a,669a-671b		{"1": "heart", "2": "mind"}			3; 116; 155; 2239; 71 #drv3323; 93 #drv313; 1349 #drv1643		2290		anatomy	
20	(S,A,sA) Shre (B,F,O) Shri (F) Shli (S,A,sA) Sr- (A) Shr- (F) Sel- (S) Se- (S,F) Si- (S,B) Sou- (S,B,F,O) S$^e^$n- *^for [Se n-]^* (S,F) Shn- (S,A,sA) ****Seere (S,Sf) ****Shhre (sA,O) ****Sere (B) ****Seri (F) ****Shhli (S) *Srhu,Sreu	3	son, child /$gk: [[uios, teknon]]$/ | daughter /$gk: [[qugathr]]$/	584a	6	2009-09-14	2010-03-14	vagrant	vagrant	569a-569b,566a,559a		{"1": "son", "2": "child", "3": "daughter"}			57; 220; 174; 1905; 1919; 1965		1848; 1850; 1847; 224; 451; 1844; 1849		person	
21	(S,A,sA,O) rwme (B,F) rwmi (F) lwmi,lomi (S) rwm- (O) rom- (S,A,sA) rm- (S,B,F) rem- (F) lem-,le$^m^$-	22	man, human being /$gk: [[anqrwpos, anhr]]$/ | (adj), human | any one, no one | kinsman, friend, serving-man	294b	6	2009-09-14	2010-02-10	vagrant	vagrant	329a-330a,310a-310b		{"1": "man"}			143; 166; 31				species, person	
22	(S,O) me (S) mee (S,A) mhe (A) mie (B) mhi,mei (F) mei,meei,mhi	4	truth, justice, (also) true person /$gk: [[alhqeia]]$/	156b	6	2009-09-14	2010-02-02	vagrant	vagrant	150a-150b,142a-142b		{"1": "truth", "2": "justice", "3": "true person"}			901; 1065; 1710	1230			concept	
23	(S,A,sA,O) eire (sA) ire (B) iri (F) ili (B,F) ra,la (S,A,sA,O) r- (S,B,O) er- (F) el- (S) aa=,eiat= (A,sA) eet= (sA) eeit= (sA) ee=,ae= (B) ai= (F) ei=,eit= (O) ait= (NH) a= *^<a href=ext codex II - The Gospel of Thomas;107;43;19;nkesmot FnaSas an;codex II - The Gospel of Philip;108;77;4;FnaaF eFouaab">Ext</a>^* (S,sA,F) o+ (A) e+,eie+ (sA) oei+ (B,F) oi+ (F) ai+,ei+,e+ (S) **arire (B) **arioui (S,A,B) **ari- (A,sA) **eri- (F) **ali-,ale- (S,sA) **ari= (B) **arit= (F) **alit="	2	{intr:} (S,A,B,F) |$ act /$gk: [[poiein, prassein]]$/ |$ become, befall /$gk: [[einai, ginesqai]]$/ |$ (c dat) | {tr:} |$ make, do |$ make, bear fruit |$ pass (time) |$ make (total), amount to |$ make (price), value (at) |$ (as vb of direction)	83a	8	2009-09-14	2011-01-14	vagrant	vagrant	84a-85a,308a,39b-40a,2a,230a,11a-11b		{"1": "act", "2": "become", "3": "befall", "4": "make, do", "5": "make, bear (fruit)", "6": "pass (time)", "7": "make (total), amount to", "8": "make (price, value) at", "9": "(as verb of direction)"}			1623; 120			C9036		
