key	word	type	en	crum	quality	added	updated	created_by	updated_by	dawoud-pages	notes	senses	override-type	crum-last-page	sisters	antonyms	homonyms	greek-sisters	categories	TODO
180	(S,A,sA,B,F) hrp (F) hlp (S) erp-,rp-	1	(f twice), wine /$gk: [[oinos]]$/	66b	6	2009-09-14	2010-01-26	vagrant	vagrant	53b-54a		{"1": "wine"}			1098; 2221; 1394; 238; 2265				food, substance	
181	(S,A,sA) Tme (S) time (B,F) Tmi,timi (S) *tme	1	village /$gk: [[kwmh]]$/	414a	6	2009-09-14	2010-02-21	vagrant	vagrant	838b,453b		{"1": "village"}							earth, construction	
182	(S) saein,saine (A) seeine (sA) seine (B,F) shini (F) shen,shin (NH) soein *^<a href=ext codex II - The Gospel of Thomas;107;39;6;mare soein rqerapeue nnetsooun mmoF;codex II - The Hypostasis of the Archons;109;89;16;ntos pe tamaau ntos te tsoein auw tsHime;codex II - On the Origin of the World;110;114;6;ntos pe ntaHr soein eros ouaats">Ext</a>^*"	22	physician /$gk: [[iatros]]$/	342b	6	2009-09-14	2010-12-26	vagrant	vagrant	363a		{"1": "physician"}					1436; 1437		person	
183	(S,O) toou (S) tooue (Sf,A,sA,F) tau (B) twou	1	mountain  /$gk: [[oros]]$/ | community of hermits, monastery | cemetery (in desert) | (as adj) of the hill, desert, (so) wild	440b	6	2009-09-14	2010-02-26	vagrant	vagrant	478a-478b		{"1": "mountain", "2": "community of hermits, monastery", "3": "cemetry (in desert)", "4": "(as adj.) of the hill, desert (so wild)"}			2842; 1583; 2230; 1383; 1921; 2496 #drv3947				earth	
184	(S,A,sA,B) taJro (F) taJra (S,B) taJre- (S,B) taJro= (A,sA,F) taJra= (S,A) taJrhu+ (S,A) taJraeit+ (A) taJrhou+ (sA) taJrait+ (B,F) taJrhout+	2	{tr:} make strong, firm, fast (/*caus of [Jro]*/)  /$gk: [[sthrizein, enisxuein]]$/ | {intr:} be strenghtened, decided  /$gk: [[sthrizein]]$/ | {qual:}  /$gk: [[stereos]]$/	462b	7	2009-09-14	2010-04-26	vagrant	vagrant	443a-444b		{"1": "make strong, firm", "2": "be strengthened, decided"}			913; 727	213				
186	(S,B) oeiS (A) aeiS (sA,F) aiS (B) wiS	3	cry	257b	6	2009-09-14	2010-02-09	vagrant	vagrant	524a,229b,682b-683a		{"1": "cry"}			467; 1874; 2052; 967; 421; 2519; 2874; 2268					
187	(S,A,sA) Jro (S,A,sA,B) Gro (F) Jra (S,sA) Jraeit+ (S) Graeit+,Jroeit+,Groeit+ (Sa) Grait+ (S) Jrhout+ (B) Grhout+ (F) Jarhout+	2	{intr:} be, become strong, firm, victorious /$gk: [[andrizesqai, isxuein, nikan]]$/	783a	8	2009-09-14	2010-08-15	vagrant	vagrant	821a-822a		{"1": "be, become strong", "2": "be, become firm", "3": "be, become victorious"}			151; 1187 #drv1169; 702	490; 2633	2441; 2442; 2447; 2443			
188	(S) Jenepwr (B) Jenefwr (A,sA) Jmphi (F) Jelepol	4	(f S,F, m B), roof /$gk: [[dwma]]$/	775a	6	2009-09-14	2010-03-29	vagrant	vagrant	740a		{"1": "roof"}							construction	
189	(S,sA,F) Hhbs (S) H$^e^$bs (A) Qhbs (B) Khbs (F) Hhbes	1	lamp /$gk: [[luxnos]]$/	658a	6	2009-09-14	2010-03-21	vagrant	vagrant	635a		{"1": "lamp"}							tool	
190	(S,A) Hieit (S) Heieit (S,sA,B) Hit (sA) Hiit	1	pit /$gk: [[boqros]]$/	718a	6	2009-09-14	2010-01-19	vagrant	vagrant	682a		{"1": "pit"}			3201; 1851				earth, construction	
191	(S,A,sA,F) JnaH (Sf) JnH (A) Jna (B) GnaH (F) JneH,JenH (S) *JnauH (B) *GnauH	1	forearm | strength, violence /$gk: [[bia]]$/	777a	6	2009-09-14	2010-03-29	vagrant	vagrant	810b-811a,753a-753b		{"1": "forearm", "2": "strength", "3": "violence"}			475; 2512; 1155; 1611		59		anatomy	
192	(S,sA) pwwne,pwne (A) poune (Sf) pwni (F) pwwni,paane (S) peene-,pene-,pnne- (A) poune- (F) pane- (S) poone=,pen= (S,A,F) paane= (A,sA) pane= (S) poone+ (S) ^pane-	2	{intr:} change, turn /$gk: [[metaballesqai, strefesqai, metatiqesqai, enallasesqai]]$/ | {tr:} (S,F), turn /$gk: [[afistanai]]$/ | (p c S), perverter (/*?*/)	263b	8	2009-09-14	2010-06-24	vagrant	vagrant	302a-304a		{"1": "change, turn"}								
193	(S,sA,F) Sthn (S) Stn (B) Sqhn	4	garment, tunic /$gk: [[xitwn, imation]]$/	597a	6	2009-09-14	2010-01-16	vagrant	vagrant	571a		{"1": "garment, tunic"}			2534; 2293; 1351; 1107; 1164; 2428; 2659; 1360; 79 #drv3360; 3358 #drv3975				clothes	
194	(S) GapGep,GepGp (B) JapJep	2	{intr:} be hurried, anxious /$gk: [[speudein]]$/	827b	6	2009-09-14	2010-04-01	vagrant	vagrant	732a,793a,797b		{"1": "be hurried, anxious"}			161; 2841; 743; 2176; 1992					
195	(S) Hote (Sf,A,sA) Hate (sA) HaTe (B) HoT (F) HaT	4	fear /$gk: [[fobos]]$/	720b	8	2009-09-14	2010-08-13	vagrant	vagrant	704b-705a		{"1": "fear"}			1913; 2145; 488; 1447; 2266; 1634; 982		2295		emotion	
196	(S,B) sop (Sa,Sf,A,sA,F) sap (S) sp-,sep- *^only *+ [snau]^* (S,A) * $$ swp (S) *swwp,soop	1	(noun) |$ occasion, time /*vices*/, turn |$ [sop] ... [sop], now ... again |$ turn, round (of prayer or reading) | (adverbial) | (with numerals)	349b	6	2009-09-14	2010-02-14	vagrant	vagrant	387a-388b		{"1": "occasion, time (vices), turn", "2": "turn, round (of prayer or reading)"}			219; 433		1454; 1453; 1455; 1452		time	
197	(S,B) SoSt (B) SwSt (Sa,Sf,sA,F) SaSt	1	hindrance, impediment, (so) key /$gk: [[kleis]]$/	608b	6	2009-09-14	2010-03-17	vagrant	vagrant	613a,592b-593a		{"1": "hindrance, impediment", "2": "key"}					2021		tool	
198	(S) eloole (A) elaale (sA) elale (B) aloli (F) alaali,alali,elaali,ilali (S) elel-,lel-,leel-,lil- (A) elal- (B) al-,el-,lele-	1	grape /$gk: [[stafulh]]$/ |$ (single grape) |$ (bunch of grapes) |$ (unripe, sour grape) |$ (fresh grape) |$ (mellow, purple grape) |$ (dried grapes, raisins) |$ (raisins stoned) |$ (grape-stone, pip) |$ (other sorts) | wine /$gk: [[ampelos]]$/ |$ wineyard |$ winedresser	54b	6	2009-09-14	2010-12-27	vagrant	vagrant	3b,122b-123a		{"1": "single grape", "2": "bunch of grapes", "3": "unripe, sour grape", "4": "fresh grape", "5": "mellow, purple grape", "6": "dried grapes, raisins", "7": "raisins stoned", "8": "grape-stone, pip", "9": "wine"}			436; 1433		424; 171; 431		species	
199	(S,B) tako (Sa,A,sA) teko (F) taka (S,B,F) take- (sA) teke-,teka- (S,B) tako= (A,sA) teka= (F) taka= (S) takhu$^t^$+ (B) takhout+	2	{tr:} destroy, lose (& many related meanings) /$gk: [[apollunai, fqeirein]]$/ | {intr:} perish, be lost, destroy	405a	8	2009-09-14	2010-07-23	vagrant	vagrant	429b-430b		{"1": "destory", "2": "lose", "3": "perish", "4": "be lost", "5": "destory"}			1073; 357; 2305	409; 342; 400; 116; 395; 4				
200	(S,A) pwrk (B) fwrk (S) prk-,perk- (B) ferk- (S) pork= (A) park= (B) fork= (B) ferk+	2	{intr:} be plucked out, destroyed /$gk: [[ekrizousqai, afanizesqai]]$/ | {tr:} pluck, root out /$gk: [[ektillein]]$/	268b	8	2009-09-14	2010-06-25	vagrant	vagrant	501a		{"1": "pluck", "2": "root out"}			2615; 2065; 1538; 1580; 2147; 2070; 1587; 2873		1277			
201	(S,A,sA,B) ro (Sf) ra (F) la (S) ra- (S,B) re- (F) le- (S,A,sA,B,O) rw= (F) lw= (S,A,sA,B) *rwou (A) *roou (F) *lwou	1	mouth /$gk: [[stoma]]$/ | edge of weapon | door, gate /$gk: [[qura, pulh]]$/	288a	8	2009-09-14	2010-07-06	vagrant	vagrant	323a-323b,323a,323a,325b-326b,326b,316a-316b,629a,629b,681b,449b		{"1": "mouth", "2": "edge of weapon", "3": "door", "4": "gate"}			126; 1309; 301 palate; 467; 274; 1376; 2021; 1729; 2321; 1946; 272		1317; 379		anatomy	
202	(S) rpe (A) rpeie,rpeeie (sA) rpeei,rpee (B) erfei (F) erphei,elphi,elphhi,elph (S,A) *rphue (A) *rphoue (B) *erfhoui	1	temple /$gk: [[naos, ieron]]$/	298b	6	2009-09-14	2010-02-11	vagrant	vagrant	42a		{"1": "temple"}			1852; 2004; 1574; 1670; 98; 209				construction	
203	(S) ouo$^e^$i (B) ouoi (A) oua$^e^$i (sA) ouaeie (F) ouai	1	rush, course, (swift movement) /$gk: [[ormh, ormhma, roizos]]$/	472a	8	2009-09-14	2010-08-04	vagrant	vagrant	254b-255b,38b		{"1": "rush, course, swift movement"}								
204	(S,A,sA) twm (B) qwm (S) t$^e^$m- (B) qem- (S) tom= (B) qom= (O) twm= (S) thm+ (B) qhm+ (S) ^tam- (B) ^qam-	2	shut |$ (mouth, door) /$gk: [[frassein, fimoun]]$/ |$ (eyes) |$ ([Hht]), shut the heart |$$ (as nn m), shutting, hardening of heart	412b	6	2009-09-14	2010-02-21	vagrant	vagrant	66b		{"1": "shut", "2": "shut (mouth)", "3": "shut (door)", "4": "shut (eyes)", "5": "shut (heart)"}			1989; 2349	8				
205	(S,A,sA) Ja$^e^$ie (S) Jae (Sf,F) Ja$^i^$h	1	desert /$gk: [[erhmos]]$/ | (as adj)	745b	8	2009-09-14	2010-11-16	vagrant	vagrant	729b		{"1": "desert"}							earth	
206	(S) tnnoou (Sa) tnau (A,sA) tnnau (F) ten$^n^$au (S) tn$^n^$eu- (F) tnau-,tna$^o^$ut- (S) tn$^n^$oou=,tnnout=,tnnoous=,tnou= (A,sA) tnna$^o^$u= (Sa,F) tna$^o^$u= (Sa) tnnaous= (Sa,Sf) tnnaut= (F) tnaout=,tnaus=	2	{tr:} send /$gk: [[apostellein, pempein]]$/	419b	7	2009-09-14	2010-04-16	vagrant	vagrant	455a-455b		{"1": "send"}								
209	(S,O) pwSn (F) pwSen (B) fwSen (S) peSn-,poSn= (B) foSn= (S) poSn+ (B) foSn+	2	{intr:} do service, serve (as priest) /$gk: [[leitourgein, xeirotonein]]$/ | {tr:} |$ serve |$ ordain (to office)	278b	6	2009-09-14	2010-02-10	vagrant	vagrant	505b		{"1": "serve (as priest)", "2": "ordain to office"}			98; 202; 381; 468					
210	(S,B) nau (S) nou (Sa,F) nw (A,O) no (sA,F) neu	1	hour, time /$gk: [[kairos, wra]]$/ | daylight | | morning, early hour [pn., fn. nSwrp] | midday [pn. mmeere] | evening [pn., fn. nrouHe, -Hi, HanarouHi]	234b	6	2009-09-14	2010-02-06	vagrant	vagrant	195a-196a		{"1": "hour, time", "2": "daylight"}			492; 1170; 14		30; 629		time	
211	(S,A,sA,B,F,O) ounou (S) *ounooue (sA) *ounaue (B) *ounwoui	4	hour /$gk: [[wra, kairos]]$/	484b	6	2009-09-14	2010-03-02	vagrant	vagrant	252b-253a,839a		{"1": "hour"}			822; 1515; 2295; 1950; 64				time	
212	(S) eitn,itne (S) tnh (S,sA) itn (S,B,F) iten	1	ground, earth, dust, rubbish /$gk: [[gh, kopros, xous]]$/ | ground as bottom, lower part	87b	6	2009-09-14	2010-01-29	vagrant	vagrant	86b,86b		{"1": "ground", "2": "earth", "3": "dust", "4": "rubbish", "5": "ground as bottom, lower part"}			108; 1288; 455; 1337; 2777; 847; 172; 2213				earth, substance	
213	(S,A,B,F) kim (S) kemt-,kemt= (S,A) ^km-	2	{intr:} move, be moved /$gk: [[kinein, saleuein, seiein, ferein, tarassein]]$/ | {tr:} (S,B,F), move /$gk: [[kinein, saleuein, tarassein]]$/	108a	8	2009-09-14	2010-06-03	vagrant	vagrant	99b-100b		{"1": "move"}			45; 982	184				
214	(S) touo (A) tebo (B) toubo (S) touo= (A) teba=,taba= (O) touaeit+	2	{tr:} |$ show, teach  /$gk: [[deiknunai, didaskein]]$/ |$ send  /$gk: [[pempein]]$/ (hence ?)  send forth (rays, light)  /$gk: [[ejastraptein]]$/ | {intr:} learn  /$gk: [[dexesqai, manqanein]]$/	443b	6	2009-09-14	2010-02-26	vagrant	vagrant	467a		{"1": "show", "2": "teach", "3": "send", "4": "send forth (rays, light)", "5": "learn"}		444a	1594					
216	(S,B) smot (S) smout,smwt (A,sA,F) smat (B) smont (F) *smwwt	22	form, character, likeness, pattern /$gk: [[tupos, eidos, morfh, ocis, orasis, idea, omoiwma]]$/	340b	6	2009-09-14	2010-02-14	vagrant	vagrant	375b-377a		{"1": "form, character, likeness, pattern"}			2247; 1340; 1029; 987				concept	
217	(S,A,sA) oueine (F) ouini	2	{intr:} pass by /$gk: [[parerxesqai, dierxesqai]]$/	483b	6	2009-09-14	2010-03-02	vagrant	vagrant	246a		{"1": "pass by"}								
218	(S,A,sA) Smmo (S) Smo,Smw (B) Semmo (F) Sem$^m^$a,Sim$^m^$a (Sf,F) Sma (S,sA) ****Smmw (A) ****Smmou (S) *Smmoi (A,sA) *Smmai (B) *Semmwou (F) *Simmaau (NH) *Smmoei *^<a href=ext codex II - The Gospel of Thomas;107;44;13;eFnatwHm nnSmmoei;codex XII - fragments;157;1;19;nSmmoei">Ext</a>^*"	3	stranger /$gk: [[allotrios, allogenhs, jenos]]$/ | (as adj), strange	565b	8	2009-09-14	2011-01-05	vagrant	vagrant	562a-562b		{"1": "stranger", "2": "(as adj.) strange"}							person	
219	(S) ouoeiS (A,sA,F) ouaeiS (sA,F) ouaiS	1	time, occasion /$gk: [[kairos, eukairia, xronos]]$/	499b	8	2009-09-14	2010-08-07	vagrant	vagrant	253b-254b		{"1": "time, occasion"}			196				time	
220	(S) maau (S,B) mau (Sa) mo (Sa) mou (Sa,A) mw (sA,F) meeu (F,O) meou (F) mhou	4	mother /$gk: [[mhthr]]$/ |$ (church as mother) |$ (as title)	197a	6	2009-09-14	2010-02-04	vagrant	vagrant	139b		{"1": "mother", "2": "(church as mother)", "3": "(as title)"}			57; 20; 174; 1905; 1919; 1070				person	
221	(S,sA) twlm (A,sA) twlme (B) qwleb (F) twleb (S) twlm= (B) qolm=,qolb= (S) tolm+ (Sf) talm+ (B) qoleb+ (F) taleF	2	{intr:} be defiled, besmirched /$gk: [[molunesqai, mwmeisqai, rupasqai]]$/ | {tr:} defile, pollute	410b	8	2009-09-14	2010-07-23	vagrant	vagrant	66a		{"1": "defile", "2": "pollute", "3": "besmirch"}			487; 141; 2707					
222	(S) tbbo (A) tbouo (sA,B) toubo (F) teb$^b^$o,teb$^b^$a,touba (S) tbbe- (B) toube- (F) tubba- (S) tbbo= (A) tboua= (sA) touba= (B) toubo= (S) tbbhu+ (A) tbbouaeit+ (sA) touba$^e^$it+,toubhu+ (B) toubhout+ (F) tebhout+,tubbhout+,tebhu+	2	{intr:} become, be pure (/*causative of [ouop]*/) /$gk: [[kaqaros einai, kaqarizesqai, kaqairesqai]]$/ | {qual:}  /$gk: [[kaqaros]]$/ | {tr:} make pure, purify /$gk: [[kaqarizein]]$/	399b	7	2009-09-14	2010-04-11	vagrant	vagrant	464b-465b		{"1": "make pure, purify"}			381; 1506					
223	(S,sA) GwSt (S) SwSt (B) JouSt,SouSt (F) JwSt (S) GoSt+ *^c [Ha-]^* (sA) GaSt+	2	{intr:} look, see /$gk: [[blepein, qewrein, oran, skopein]]$/	837a	7	2009-09-14	2011-01-10	vagrant	vagrant	764a-766a		{"1": "look, see"}			458; 30; 1427; 28; 1154					
224	(S,A,sA,B) Se (S,Sa,F,O) Sh (S) Sei (Sa) Sai (B) **maSe	2	{intr:} go |$ (c ethic dat) /$gk: [[poreuesqai, aperxesqai, badizein]]$/ |$ (without dat) | {tr /*refl ?*/:} 	544b	7	2009-09-14	2010-04-29	vagrant	vagrant	557a-558b		{"1": "go"}			123; 138; 1171; 1148; 1674	5	1848; 1850; 1847; 20; 451; 1844; 1849			
225	(S,sA) He (S) Hih (A) Qe (B) Ke (Sf,F) Hh (F) Hi	4	manner	638b	6	2009-09-14	2010-03-19	vagrant	vagrant	631b-632a		{"1": "manner"}			1340; 1069		2104; 2078		concept	
226	(S) GwJb,GwJF (S,F) GwJeb (S) kouJb$* (A,sA) GwJbe (B) JwJeb (S) GeJb- (A) GJbe- (B) JeJeb- (S) GoJb= (Sa) GaJb= (S) GoJb+,GaJb+,GoJF+ (Sf,F) GaJF+ (A,sA) GaJbe+ (B) JoJeb+ (F) GaGF+,JaJeF+ (B) ^JaJeb-	2	{intr:} be small, less, humble /$gk: [[elattonein, httasqai]]$/ | {qual:}  /$gk: [[mikros, asqenhs]]$/ | {tr:} lessen /$gk: [[elattoun, koloboun]]$/	841b	8	2009-09-14	2010-08-15	vagrant	vagrant	789b-790a,833b		{"1": "be small", "2": "be less", "3": "be humble", "4": "lessen"}			2373; 1675; 1378; 2122; 62; 923					
227	(S,B,F) Hh (S) Hih (S,sA) eHh (A) Hi,eHi,eHiei (A,sA) Hi- (S,A,sA,B) Hht= (S,O) eHht=	4	fore part, beginning, (without art) /$gk: [[arxh]]$/ | (as adjective) | (with art)	640b	6	2009-09-14	2010-03-19	vagrant	vagrant	664b-665b,43a		{"1": "fore part", "2": "beginning"}			2325; 14; 2106	67; 1306			direction	
228	(S,B) taHo (Sa,A,sA) teHo (F) taHa (S,B,F) taHe- (A) teHe-,teHo- (sA) teHa- (F) taHa- (S,B) taHo= (Sa,Sf,F) taHa= (Sa) teHo= (A,sA) teHa= (S) taHhu+ (Sa) teHoeit+ (B,F) taHhout+	2	{tr:} |$ make to stand, set up (/*causative of [wHe]*/)  /$gk: [[istanai, egeirein]]$/ |$ reach, befall, touch  /$gk: [[lambanein, epitugxanein, fqanein]]$/ |$ meet |$ catch, arrest | {intr:} attain, be able  /$gk: [[katalambanein]]$/	455a	8	2009-09-14	2010-08-02	vagrant	vagrant	440b-441a,441a-441b,441b,441b,441b-442a,442a-442b		{"1": "make to stand", "2": "set up", "3": "reach", "4": "befall", "5": "touch", "6": "meet", "7": "catch", "8": "arrest", "9": "attain, be able"}			148; 160; 263; 251; 360	3136				
229	(S,A,sA,B,F) Jwk (S,B) Jek- (S,sA,F) Jak- (S,B) Jok= (A,sA,F) Jak= (A,F) Jaak= (S,A,sA,B,F) Jhk+	2	{intr:} be completed, full, end (life) /$gk: [[teleisqai]]$/ | {tr:} complete, finish /$gk: [[telein]]$/	761a	8	2009-09-14	2010-08-14	vagrant	vagrant	774a-776a		{"1": "be completed", "2": "be full", "3": "end life", "4": "complete", "5": "finish"}			87					
230	(S) sobte,soFte (Sf,A,sA) sabte (B) sobT (F) sabT,saFT (S,A) sbte- (S,B) sebte- (S,A,sA,F) sbtwt= (B) sebtwt= (S,A) sbtwt+ (S) sFtwt+ (A) sbtat+ (sA) sbtait+ (B) sebtwt+	2	{intr:} be ready, prepare, set in order /$gk: [[etoimazein]]$/ | {qual:} ready | {tr:} prepare, set in order, (often refl) /$gk: [[etoimazein]]$/	323a	8	2009-09-14	2010-07-10	vagrant	vagrant	380b-381b		{"1": "be ready", "2": "prepare", "3": "set in order"}			924; 705; 913					
231	(S,A,sA,B,F,O) ouhr (S) ouhhr (B) bhr (F) ouhl (S) ****ouhre (F) ****ouhli	14	how great, many, much? |$ (independent) /$gk: [[posos; phlikos;]]$/ |$ (c preceding [n-]), by how much? /$gk: [[posw]]$/ |$ (c [n-] gen) |$ (without [n-] S,sA) |$ (c [a-]) about /*circa*/ |$ ([epauhr, epabhr] B), to what extent? (so) in vain	488b	6	2009-09-14	2014-02-04	vagrant	vagrant	251a		{"1": "how greart?", "2": "how many?", "3": "how much?"}								
232	(S,B) Hmot (A,sA,F) Hmat (B) eHmot (sA) *Hmoot (B) *Hmwt$$	1	grace, gift /$gk: [[xaris]]$/ | (as adj)	681a	8	2009-09-14	2015-10-31	vagrant	someone	687b-688b		{"1": "grade", "2": "gift"}							concept	
233	(S) sGraHt,sGreHt,SGraHt,sSGraHt (A,B) sGrhH	2	{intr /*qual*/:} rest, pause, be quiet /$gk: [[hsuxazein, siwpasqai]]$/ | {tr /*refl*/:}  (S), rest oneself	389b	6	2009-09-14	2010-02-20	vagrant	vagrant	426b		{"1": "rest", "2": "pause", "3": "be quiet"}								
234	(S,B) mton (S,B) emton (A,sA,F) mtan (F) emtan (S) motn+ (A) matne+ (B) moten+ (F) matn+	2	{intr:} be at rest, at ease, be relieved (of sickness) /$gk: [[anapauesqai, ugiazein, eucuxein, hsuxazein]]$/ | {qual:} easy, hale, satisfied /$gk: [[ugihs, isxuwn]]$/ | {tr /*refl*/:} |$ rest self /$gk: [[anapauesqai, analuein, anacuxein]]$/ |$ go to rest, die /$gk: [[teleousqai, analuein]]$/	193b	8	2009-09-14	2010-06-12	vagrant	vagrant	166a-167a,183a-184b,172b,139a,36b,162a		{"1": "be at rest", "2": "be at ease", "3": "be relieved (of sickness)", "4": "be easy", "5": "be hale", "6": "be satisfied", "7": "rest self", "8": "go to rest, die"}			718; 24; 501; 1118	1218				
235	(S) HotHt (Sf,sA) HatHt (A) QatQt (B) KotKet (F) HatHet (S) HetH$^e^$t- (B) KetKet- (S,F) HetHwt= (A) QtQwt= (B) KetKwt= (O) KtKot= (S,Sa) HetHwt+ (B) KetKwt+	2	{intr:} inquire, examine /$gk: [[ereunan, ekzhtein, ejixniazein]]$/ | {tr:}  /$gk: [[ereunan]]$/	728a	6	2009-09-14	2010-03-27	vagrant	vagrant	641b-642b		{"1": "inquire", "2": "examine"}			281; 2442					
236	(S,sA,F) twS (A) twSe (B) qwS (S) teS-,toS- (A) taSe- (B) qeS-,qaS- (Sf,F) taS- (S) toS= (Sa,Sf,A,sA,F) taS= (B) qaS= (S,A,sA) thS+ (B) qhS+	2	{intr:} be boundary, be fixed, be moderate  /$gk: [[orizein, tassein]]$/ | {tr:} limit, determine, appoint  /$gk: [[orizein]]$/	449b	7	2009-09-14	2010-04-20	vagrant	vagrant	70a-71a,71a-72b,58b,58b,56a,59b,63b-64a		{"1": "be boundary", "2": "be fixed", "3": "be moderate", "4": "limit", "5": "determine, appoint"}			913; 2511; 498					
237	(S) eiwrm,iwrm (B,F) iwrem (NH) eiwrme *^<a href=ext codex II - The Apocryphon of John;106;6;35;aFeiwrm Hm ptreFeiwrme de nGi paHoraton mpna;codex II - The Apocryphon of John;106;20;32;ntaroueiwrme atpe aunau eroF Je FJose nGi peFmeeue">Ext</a>^* (S) eiorm+ (A,F) eiarm+ (B) iorem+"	2	{intr:} stare, be astonished, dumbfounded /$gk: [[ejistanai]]$/	84a	8	2009-09-14	2011-01-14	vagrant	vagrant	86b-87a,83b		{"1": "stare", "2": "be astonished, dumbfounded"}			2773; 2785; 1817; 1601; 530					
238	(S) moou (A,sA,F) mau (sA) maou (B) mwou (S,B,F) mou- (Sf) me- (S) *moueih,mouheie,moueiooue,mouneiooue,mouniooue (A) *mouieue,moueiaueie (NH) *moueiheu *^<a href=ext codex VII - The Paraphrase of Shem;133;2;1;nthou Hn Hnmoueiheu">Ext</a>^*"	1	water /$gk: [[udwr]]$/	197b	6	2009-09-14	2011-01-30	vagrant	vagrant	186b-187b,168a		{"1": "water"}			1037; 2245; 2219; 2164; 1831; 1146; 2607; 745; 163; 180; 634; 3201				substance, earth, physics	
239	(S) peire,pire (B) firi,fer- (S) pore+ (B) fori+ (S,A) preiwou+ (S) pereiwou+ (B) feriwou+,feriwout+ (S) *^also^* prre (A) prrie (sA) prreie,prie	2	{intr:} come forth (of light, blossom &c) /$gk: [[anatellein, lampein, anqein, kainein]]$/ | {tr:} (B), put forth, proclaim	267a	8	2009-09-14	2010-06-25	vagrant	vagrant	493a-493b,493b-494a,494a		{"1": "come forth", "2": "come forth (of light)", "3": "come forth (blossom)", "4": "puth forth", "5": "proclaim"}			1; 709; 567; 2779; 330; 1775; 399; 1656; 2709; 2031; 36 #drv3201; 1505; 1041	168; 2157; 271; 846; 633; 2626		C9219; C11143; C9181	physics	
240	(S,A,sA,B,F) smou (S) smw (sA) smame (S,sA) smamaat+,smamant+,smaat+ (A,B) smamat+ (B) smauat+ (F) smamet+,smameet+ (B) smarwout+	2	{intr:} bless, praise /$gk: [[eulogein, ainein]]$/	335a	8	2009-09-14	2010-07-12	vagrant	vagrant	377a-377b		{"1": "bless", "2": "praise"}				2329; 1546			concept	
241	(S,F) twk (B) qwk (S,A,F) twG (S) twJ (B) toJi (F) toGe *^[reFt.]^* (S) twk- (F) taG- (S) tok=,tak=,toG=	2	{intr:} kindle (fire), stoke, heat (oven &c) /$gk: [[kaiein]]$/ | {tr:} stoke, heat /$gk: [[ekkaiein]]$/ | | (vb) bake |$ {intr:}  /$gk: [[pessein]]$/ |$ (as nn m), baking	404a	8	2009-09-14	2012-09-24	vagrant	vagrant	65b,474b-475a,59b		{"1": "kindle (fire)", "2": "stoke", "3": "heat (oven)", "4": "bake"}			835; 2038; 2499; 1826; 136; 946; 262		3106; 727; 2774; 337		physics	
242	(S,B,F) SwS (A) QwQ (S) SouSou (S,B,F) SeS- (B) SaS- (S,B) SaS=,SoS= (S,sA,B,F) ShS+	2	{intr:} scatter, spread (esp of odour & by wind) /$gk: [[likman, pnein]]$/ | {tr:} /$gk: [[likman, kapnizein, leainein]]$/	605a	8	2009-09-14	2010-08-11	vagrant	vagrant	612b-613a,613a		{"1": "scatter, spread", "2": "scatter, spread (of odour, by wind)"}			1147; 2447		346; 243; 1523; 244; 2016		earth	
243	(S,sA,B,F) SwS (S) swSe (Sf) SouSou (A) QwQ (S,B) SeS- (Sf) SaS- (S,B) SaS=,SoS= (A) QaQ= (F) SeS= (S,sA,B,F) ShS+ (S) shS+ (A) QhQ+	2	{tr:} make equal, level, straight /$gk: [[omalizein]]$/ | {qual:} (B /*rare*/) /$gk: [[omalizein]]$/	606a	7	2009-09-14	2010-04-30	vagrant	vagrant	611b-612b,613a		{"1": "make equal", "2": "make level", "3": "make straight"}			941		346; 242; 1523; 244; 2016			
244	(S,B) SwS,SeS- (S) SwS- (S,B) ShS+	2	{intr:} twist (rope &c) /$gk: [[klwqein]]$/	607a	6	2009-09-14	2010-03-17	vagrant	vagrant	613a,555a		{"1": "twist rope"}			2153; 1934		346; 243; 242; 1523; 2016; 279; 1844; 1851; 1846; 1845; 3166; 1853			
245	(S,A,sA,F) telhl (S) tll (sA) talhl (B) qelhl	2	{intr:} rejoice /$gk: [[agalliasqai, skirtan]]$/	410a	8	2009-09-14	2010-07-23	vagrant	vagrant	57b		{"1": "rejoice"}			1354; 480	1227; 2121; 1654				
246	(S,A,sA,F) twHs (B) qwHs (S) teHs- (S,sA) taHs- (B) qaHs- (F) teHse- (S,Sf,A) taHs= (S) toHs= (B) qaHs= (F) teHs= (S) taHs+ (B) qaHs+	2	{tr:} anoint  /$gk: [[xriein, aleifein]]$/	461b	8	2009-09-14	2010-09-28	vagrant	vagrant	74b		{"1": "anoint"}			964; 1825; 2490; 1640; 1417					
247	(S,A,sA,B) taeio,taio (F) taeia,taia (S,B,F) taeie-,taie- (sA) taeia-,taia- (S,B) taeio=,taio= (A,sA) taeia=,taia= (S) taeihu+,taihu+,tahu+ (A) taeihou+,taihou+ (A,sA) taiaeit+ (sA) taeiaht+,taiaht+ (B,F) taihout+ (F) tahout+	2	{tr:} honour, pay respect to, adorn /$gk: [[timan, ainein]]$/ | {intr:} (B) | {qual:} honoured, excellent, precious /$gk: [[timios]]$/	390b	8	2009-09-14	2012-10-10	vagrant	vagrant	428b-429b		{"1": "honour", "2": "pay respect to", "3": "adorn", "4": "excellent", "5": "precious"}			35					
