page	start	end
461	ⲧϩⲡⲟ	ⲧⲱϩⲥ
462	ⲧⲁϩⲧ	ⲧⲁϫⲣⲟ
463	ⲧⲁϫⲣⲟ	ⲧⲁϫⲣⲟ
464	ⲧⲟϫⲥ	ⲧⲱⲱϭⲉ
465	ⲧϭⲁ	ⲧϭⲁⲉⲓⲟ
466	ⲧϭⲟ	ⲧⲁϭⲥⲉ
467	ⲧⲟϭⲧϭ	ⲟⲩ
468	ⲟⲩⲁ	ⲟⲩⲁ
469	ⲟⲩⲁ	ⲟⲩⲁ
470	ⲟⲩⲁ	ⲟⲩⲉ
471	ⲟⲩⲉ	ⲟⲩⲏⲓ
472	ⲟⲩⲟⲉⲓ	ⲟⲩⲟⲉⲓ
473	ⲟⲩⲟⲓ	ⲟⲩⲱ
474	ⲟⲩⲱ	ⲟⲩⲱ
475	ⲟⲩⲱ	ⲟⲩⲱ
476	ⲟⲩⲁⲁⲃ	ⲟⲩⲉⲓⲕⲉ
477	ⲟⲩⲟⲕⲓ	ⲟⲩⲱⲗⲥ
478	ⲟⲩⲉⲗⲟⲩⲉⲗⲉ	ⲟⲩⲱⲙ
479	ⲟⲩⲱⲱⲙⲉ	ⲟⲩⲙⲟⲧ
480	ⲟⲩⲱⲙⲧ	ⲟⲩⲟⲉⲓⲛ
481	ⲟⲩⲟⲛ	ⲟⲩⲟⲛ
482	ⲟⲩⲟⲛ	ⲟⲩⲱⲛ
483	ⲟⲩⲱⲛ	ⲟⲩⲛⲁⲙ
484	ⲟⲩⲉⲉⲓⲉⲛⲓⲛ	ⲟⲩⲛⲟⲩ
485	ⲟⲩⲛⲱⲟⲩϯ	ⲟⲩⲛⲟϥ
486	ⲟⲩⲱⲛϩ	ⲟⲩⲱⲛϩ
487	ⲟⲩⲟⲛϩϥ	ⲟⲩⲟⲡ
488	ⲟⲩⲣ	ⲟⲩⲏⲣ
489	ⲟⲩⲱⲣ	ⲟⲩⲣⲓⲥ
490	ⲟⲩⲣⲧ	ⲟⲩⲣⲟⲧ
491	ⲟⲩⲉⲣⲏⲧⲉ	ⲟⲩⲱⲣϩ
492	ⲟⲩⲥ	ⲟⲩⲱⲥϥ
493	ⲟⲩⲁⲥϩ	ⲟⲩⲱⲧ
494	ⲟⲩⲱⲧ	ⲟⲩⲧⲉ
495	ⲟⲩⲏⲧⲉ	ⲟⲩⲱⲱⲧⲉ
496	ⲟⲩⲱⲧⲃ	ⲟⲩⲱⲧⲃ
497	ⲟⲩⲱⲧⲛ	ⲟⲩⲱⲧⲛ
498	ⲟⲩⲟⲧⲡⲥ	ⲟⲩⲱⲧϩ
499	ⲟⲩⲱⲧϩ	ⲟⲩⲟⲉⲓϣ
500	ⲟⲩⲱϣ	ⲟⲩⲱϣ
501	ⲟⲩⲱϣ	ⲟⲩⲱϣ
502	ⲟⲩϣⲏ	ⲟⲩⲱϣⲃ
503	ⲟⲩⲱϣⲙ	ⲟⲩⲱϣⲥ
504	ⲟⲩⲱϣⲧ	ⲟⲩⲟϣⲟⲩⲉϣ
505	ⲟⲩⲁϣϥ	ⲟⲩⲱϩ
506	ⲟⲩⲱϩ	ⲟⲩⲱϩ
507	ⲟⲩⲱϩ	ⲟⲩⲱϩ
508	ⲟⲩⲱϩ	ⲟⲩⲓϩⲉ
509	ⲟⲩⲱϩⲉ	ⲟⲩⲱϩⲙ
510	ⲟⲩⲟϩⲛ	ⲟⲩϩⲟⲣ
511	ⲟⲩⲁϩⲣⲉ	ⲟⲩϫⲁⲓ
512	ⲟⲩⲱϫⲡ	ⲟⲩⲟⲟϭⲉ
513	ⲟⲩⲱϭⲡ	ⲟⲩⲟϭⲟⲩⲉϭ
514	ⲫ	ⲫⲱⲛϩ
515	ⲫⲱⲛϫ	ⲫⲱϫⲓ
516	ⲭ	ⲭⲣⲟⲃⲓ
517	ⲭⲁⲣⲟⲩⲕⲓ	ⲱ
518	ⲱ	ⲱⲃϣ
519	ⲱⲓⲕ	ⲱⲕⲙ
520	ⲱⲗ	ⲱⲗ
521	ⲱⲗ	ⲱⲗ
522	ⲱⲗⲉ	ⲱⲗϫ
523	ⲱⲓⲙⲓ	ⲱⲙⲥ
524	ⲱⲙϫ	ⲱⲛⲕ
525	ⲱⲛⲧ	ⲱⲛϭ
526	ⲱⲡ	ⲱⲡ
527	ⲱⲡ	ⲱⲡ
528	ⲱⲓⲡⲓ	ⲱⲣⲉⲃ
529	ⲱⲣⲉⲃ	ⲱⲣⲕ
530	ⲱⲣϣ	ⲱⲥⲕ
531	ⲱⲥⳉ	ⲱⲧⲡ
532	ⲱⲧⲡ	ⲱⲧϩ
533	ⲱⲧϭ	ⲱϣ
534	ⲱϣ	ⲱϣ
535	ⲱϣ	ⲱϥⲉ
536	ⲱϥⲧ	ⲱϩⲉ
537	ⲱϩⲉ	ⲱϩⲉ
538	ⲱϩⲉ	ⲱϩⲥ
539	ⲱϩⲧ	ⲱϫⲛ
540	ⲱϫⲉⲣ	ϣ
541	ϣ	ϣⲁ
542	ϣⲁ	ϣⲁ
543	ϣⲁ	ϣⲁ
544	ϣⲁ	ϣⲉ
545	ϣⲉ	ϣⲉ
546	ϣⲉ	ϣⲉ
547	ϣⲉ	ϣⲓ
548	ϣⲓ	ϣⲓⲁⲓ
549	ϣⲓⲱ	ϣⲱ
550	ϣⲱ	ϣⲱⲃ
551	ϣⲃⲁ	ϣⲓⲃⲉ
552	ϣⲓⲃⲉ	ϣⲓⲃⲉ
553	ϣⲓⲃⲉ	ϣⲓⲃϯ
554	ϣⲱⲃⲧ	ϣⲱⲃϩ
555	ϣⲑⲉ	ϣⲓⲕⲉ
556	ϣⲱⲕⲉ	ϣⲕⲗⲕⲉⲗ
557	ϣⲕⲁⲡ	ϣⲱⲗ
558	ϣⲱⲗ	ϣⲗⲕⲏⲧ
559	ϣⲗⲟⲕϣⲓ	ϣⲱⲗⲙ
560	ϣⲱⲗⲙ	ϣⲉⲗⲉⲉⲧ
561	ϣⲗⲓⲧ	ϣⲗϩ
562	ϣⲱⲗϩ	ϣⲱⲗϭ
563	ϣⲗϭⲟⲙ	ϣⲏⲙ
564	ϣⲏⲙ	ϣⲱⲱⲙⲉ
565	ϣⲱⲱⲙⲉ	ϣⲙⲙⲟ
566	ϣⲙⲟⲛ	ϣⲟⲙⲛⲧ
567	ϣⲁⲙⲁⲣ	ϣⲙϣⲉ
568	ϣⲙϣⲏϭⲉ	ϣⲱⲛ
569	ϣⲏⲛⲉ	ϣⲓⲛⲉ
570	ϣⲟⲟⲛⲉ	ϣⲱⲛⲉ
571	ϣⲱⲱⲛⲉ	ϣⲛⲉ
572	ϣⲛⲏ	ϣⲱⲛⲧ
573	ϣⲁⲛⲧⲉ	ϣⲱⲛϥ
574	ϣⲱⲛϥ	ϣⲱⲡ
575	ϣⲱⲡ	ϣⲱⲡ
576	ϣⲱⲡ	ϣⲓⲡⲉ
577	ϣⲱⲡⲉ	ϣⲱⲡⲉ
578	ϣⲱⲡⲉ	ϣⲱⲡⲉ
579	ϣⲱⲡⲉ	ϣⲱⲡⲉ
580	ϣⲱⲡⲉ	ϣⲱⲡⲉ
581	ϣⲡⲗⲁⲕ	ϣⲟⲡⲥ
582	ϣⲱⲡⲧ	ϣⲁⲁⲣ
583	ϣⲏⲣ	ϣⲁⲁⲣⲉ
584	ϣⲁⲣⲓ	ϣⲏⲣⲉ
585	ϣⲏⲣⲓ	ϣⲓⲣⲉ
586	ϣⲓⲣⲉ	ϣⲱⲣⲡ
587	ϣⲱⲣⲡ	ϣⲱⲣⲡ
588	ϣⲣⲱⲓⲥ	ϣⲉⲣϣⲓ
589	ϣⲱⲣϣⲓ	ϣⲥⲛⲉ
590	ϣⲥⲟⲟⲩ	ϣⲱⲱⲧ
591	ϣⲱⲱⲧ	ϣⲱⲱⲧ
592	ϣⲱⲱⲧ	ϣⲱⲱⲧ
593	ϣⲱⲱⲧ	ϣⲱⲱⲧ
594	ϣⲁⲧⲉ	ϣⲓϯ
595	ϣⲱⲧⲉ	ϣⲱⲧⲙ
596	ϣⲧⲉⲙ	ϣⲁⲧⲙⲉϩⲏⲗ
597	ϣⲁⲧⲛ	ϣⲧⲟⲣⲧⲣ
598	ϣⲟⲧⲣⲉϥ	ϣⲧⲟⲩⲏⲧ
599	ϣⲟⲧϣⲧ	ϣⲁⲩ
600	ϣⲁⲩ	ϣⲁⲩ
601	ϣⲁⲩ	ϣⲟⲟⲩⲉ
602	ϣⲟⲩⲟ	ϣⲟⲩⲟ
603	ϣⲟⲩⲟ	ϣⲟⲩϣⲓⲧⲥ
604	ϣⲟⲩϣⲟⲩ	ϣⲁϣ
605	ϣⲁⲓϣ	ϣⲱϣ
606	ϣⲱϣ	ϣⲱϣ
607	ϣⲱϣ	ϣϣⲉ
608	ϣⲉϣⲃ	ϣⲟⲩϣⲧ
609	ϣⲱϣⲧ	ϣⲱϥ
610	ϣⲱϥ	ϣϥⲱ
611	ϣϥⲱ	ϣⲟϥⲧⲥ
612	ϣⲟϥϣϥ	ϣⲁϫⲉ
613	ϣⲁϫⲉ	ϣⲁϫⲉ
614	ϣⲁϫⲉ	ϣⲁϫⲉ
615	ϣⲱϫⲉ	ϣⲟϫⲡ
616	ϣⲱϫⲡ	ϣⲱϫⲡ
617	ϣϫⲁⲡ	ϣϫⲓⲧ
618	ϣϫⲱⲧ	ϣϭⲛⲏⲛ
619	ϣϭⲛϭⲓⲛ	ϥ
620	ϥⲁⲓ	ϥⲓ
621	ϥⲓ	ϥⲓ
622	ϥⲓ	ϥⲓ
623	ϥⲟ	ϥⲛⲧ
624	ϥⲣⲉ	ϥⲱⲧⲉ
