key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
7816	2189	7808	^^^ ere-,^^^ na-	0				675b	9	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7816.html	<i><b>c</b></i> ⲉⲣⲉ-, <i><b>c</b></i> ⲛⲁ-	<i><b>c</b></i> ⲉⲣⲉ-, <i><b>c</b></i> ⲛⲁ-	c ⲉⲣⲉ-, c ⲛⲁ-	c ⲉⲣⲉ-, c ⲛⲁ-	ⲉⲣⲉ-, ⲛⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=675b	675	b	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	ⲉⲣⲉ-, ⲛⲁ- (c)	ⲉⲣⲉ-	1
7817	2189	7808	(sA,B) ^^^ nare-,^^^ na-	0				675b	10	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7817.html	(sA, B) <i><b>c</b></i> ⲛⲁⲣⲉ-, <i><b>c</b></i> ⲛⲁ-	(sA, B) <i><b>c</b></i> ⲛⲁⲣⲉ-, <i><b>c</b></i> ⲛⲁ-	(sA, B) c ⲛⲁⲣⲉ-, c ⲛⲁ-	(sA, B) c ⲛⲁⲣⲉ-, c ⲛⲁ-	(sA, B) ⲛⲁⲣⲉ-, ⲛⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=675b	675	b									ⲛⲁⲣⲉ-, ⲛⲁ- (c)	ⲛⲁⲣⲉ-	ⲛⲁⲣⲉ-, ⲛⲁ- (c)	ⲛⲁⲣⲉ-									1
7818	2189	7808	(B) ^^^ nea-	0				675b	11	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7818.html	(B) <i><b>c</b></i> ⲛⲉⲁ-	(B) <i><b>c</b></i> ⲛⲉⲁ-	(B) c ⲛⲉⲁ-	(B) c ⲛⲉⲁ-	(B) ⲛⲉⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=675b	675	b											ⲛⲉⲁ- (c)	ⲛⲉⲁ-									1
7819	2189	7808	(S) ^^^ mpe-	0				675b	12	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7819.html	(S) <i><b>c</b></i> ⲙⲡⲉ-	(S) <i><b>c</b></i> ⲙⲡⲉ-	(S) c ⲙⲡⲉ-	(S) c ⲙⲡⲉ-	(S) ⲙⲡⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=675b	675	b	ⲙⲡⲉ- (c)	ⲙⲡⲉ-																			1
3425	2190	0	T H.	0	pay fare	pay fare		675b	1	2010-03-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/3425.html	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	-		pay fare	pay fare	pay fare	pay fare	pay fare	pay fare	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=675b	675	b	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	0
3426	2190	0	atH.	0	free of freight	free of freight		676a	2	2010-03-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/3426.html	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	-		free of freight	free of freight	free of freight	free of freight	free of freight	free of freight	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=676a	676	a	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	0
3427	2190	0	^^	0	(as measure /*same ?*/)	(as measure /*same ?*/)		676a	3	2010-03-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/3427.html	―	―	―	―	―	-		<i>as measure (same ?)</i>	as measure (same ?)	<i>as measure (same ?)</i>	<i>as measure (same ?)</i>	<i>as measure (same ?)</i>	as measure (same ?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=676a	676	a	―	―	―	―	―	―	―	―	―	―	―	―	―	―	―	―	―	―	―	―	0
3428	2196	0	(S) r H.	0	become salt	become salt		676b	1	2010-03-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/3428.html	(S) ⲣ ϩ.	(S) ⲣ ϩ.	(S) ⲣ ϩ.	(S) ⲣ ϩ.	(S) ⲣ ϩ.	-		become salt	become salt	become salt	become salt	become salt	become salt	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=676b	676	b	ⲣ ϩ.	ⲣ ϩ.																			0
3429	2196	0	(S) T H.	0	put, add salt	put, add salt		676b	2	2010-03-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/3429.html	(S) ϯ ϩ.	(S) ϯ ϩ.	(S) ϯ ϩ.	(S) ϯ ϩ.	(S) ϯ ϩ.	-		put, add salt	put, add salt	put, add salt	put, add salt	put, add salt	put, add salt	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=676b	676	b	ϯ ϩ.	ϯ ϩ.																			0
3430	2196	0	(S) Ji H.	0	be salted	be salted		676b	3	2010-03-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/3430.html	(S) ϫⲓ ϩ.	(S) ϫⲓ ϩ.	(S) ϫⲓ ϩ.	(S) ϫⲓ ϩ.	(S) ϫⲓ ϩ.	-		be salted	be salted	be salted	be salted	be salted	be salted	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=676b	676	b	ϫⲓ ϩ.	ϫⲓ ϩ.																			0
