key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	inflections-B	depth
5585	250	5584	(S) ^^^ eHoun e-	0				162a	2	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5585.html	(S) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S) c ⲉϩⲟⲩⲛ ⲉ-	(S) c ⲉϩⲟⲩⲛ ⲉ-	(S) ⲉϩⲟⲩⲛ ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162a	162	a	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-																				1
5586	250	5584	(B) ^^^ eqbe-	0				162a	3	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5586.html	(B) <i><b>c</b></i> ⲉⲑⲃⲉ-	(B) <i><b>c</b></i> ⲉⲑⲃⲉ-	(B) c ⲉⲑⲃⲉ-	(B) c ⲉⲑⲃⲉ-	(B) ⲉⲑⲃⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162a	162	a											ⲉⲑⲃⲉ- (c)	ⲉⲑⲃⲉ-									ⲉⲑⲃⲉ	1
770	250	0	(S,A,B) ^^	1	thought /$gk: [[logismos, enqumhma, dianoia]]$/	thought /$gk: [[logismos, enqumhma, dianoia]]$/	logismos, enqumhma, dianoia	162a	4	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/770.html	(S, A, B) ―	(S, A, B) ―	(S, A, B) ―	(S, A, B) ―	(S, A, B) ― (ⲡ)	noun male	λογισμοσ, ενθυμημα, διανοια	thought [λογισμοσ, ενθυμημα, διανοια]	thought [λογισμοσ, ενθυμημα, διανοια]	thought	"thought <span style=""opacity:0.7"">[λογισμοσ, ενθυμημα, διανοια]</span>"	"thought <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BB%CE%BF%CE%B3%CE%B9%CF%83%CE%BC%CE%BF%CF%83"">λογισμοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B5%CE%BD%CE%B8%CF%85%CE%BC%CE%B7%CE%BC%CE%B1"">ενθυμημα</a>, <a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B1%CE%BD%CE%BF%CE%B9%CE%B1"">διανοια</a>]</span>"	thought	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162a	162	a	― (ⲡ)	―					― (ⲡ)	―			― (ⲡ)	―										0
771	250	0	(S,B) ^^ ebol	0	reflect, ponder	reflect, ponder		162b	5	2010-02-02	2010-02-02	vagrant	vagrant	https://pishoyg.github.io/crum/771.html	(S, B) ― ⲉⲃⲟⲗ	(S, B) ― ⲉⲃⲟⲗ	(S, B) ― ⲉⲃⲟⲗ	(S, B) ― ⲉⲃⲟⲗ	(S, B) ― ⲉⲃⲟⲗ	-		reflect, ponder	reflect, ponder	reflect, ponder	reflect, ponder	reflect, ponder	reflect, ponder	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162b	162	b	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ									― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ									ⲉⲃⲟⲗ	0
772	250	0	(S) atm.	6	unthinkable, inconceivable	unthinkable, inconceivable		162b	6	2010-02-02	2010-02-02	vagrant	vagrant	https://pishoyg.github.io/crum/772.html	(S) ⲁⲧⲙ.	(S) ⲁⲧⲙ.	(S) ⲁⲧⲙ.	(S) ⲁⲧⲙ.	(S) ⲁⲧⲙ. (adj.)	adjective		unthinkable, inconceivable	unthinkable, inconceivable	unthinkable, inconceivable	unthinkable, inconceivable	unthinkable, inconceivable	unthinkable, inconceivable	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162b	162	b	ⲁⲧⲙ. (adj.)	ⲁⲧⲙ.																				0
5587	250	0	(B) atSm.	0				162b	7	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5587.html	(B) ⲁⲧϣⲙ.	(B) ⲁⲧϣⲙ.	(B) ⲁⲧϣⲙ.	(B) ⲁⲧϣⲙ.	(B) ⲁⲧϣⲙ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162b	162	b											ⲁⲧϣⲙ.	ⲁⲧϣⲙ.									ⲁⲧϣⲙ	0
773	250	0	(S,B) Ginm.,Jinm.	0	thought, imagination	thought, imagination		162b	8	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/773.html	(S, B) ϭⲓⲛⲙ., ϫⲓⲛⲙ.	(S, B) ϭⲓⲛⲙ., ϫⲓⲛⲙ.	(S, B) ϭⲓⲛⲙ., ϫⲓⲛⲙ.	(S, B) ϭⲓⲛⲙ., ϫⲓⲛⲙ.	(S, B) ϭⲓⲛⲙ., ϫⲓⲛⲙ.	-		thought, imagination	thought, imagination	thought, imagination	thought, imagination	thought, imagination	thought, imagination	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=162b	162	b	ϭⲓⲛⲙ., ϫⲓⲛⲙ.	ϭⲓⲛⲙ.									ϭⲓⲛⲙ., ϫⲓⲛⲙ.	ϭⲓⲛⲙ.									ϭⲓⲛⲙ,ϫⲓⲛⲙ	0
8373	251	0		99	tr :	tr :		776b	1	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8373.html						HEADER		tr :	tr :	tr :	tr :	tr :	tr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=776b	776	b																						0
8374	251	8373	^^^ e-	0				776b	2	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8374.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=776b	776	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ	1
8375	251	8373	^^^ eHoun e-	0				777a	3	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8375.html	<i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	<i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	c ⲉϩⲟⲩⲛ ⲉ-	c ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=777a	777	a	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ	1
3874	251	0	^^	1	chance	chance		777a	4	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3874.html	―	―	―	―	― (ⲡ)	noun male		chance	chance	chance	chance	chance	chance	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=777a	777	a	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―		0
6606	252	0		99	With following preposition:	With following preposition:		413b	1	2010-07-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/6606.html						HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=413b	413	b																						0
6607	252	6606	^^^ n- *^dat^*	0				413b	2	2010-07-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/6607.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	c ⲛ- {dat}	c ⲛ- {dat}	ⲛ- {dat} (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=413b	413	b	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ	1
6608	252	6606	^^^ Hi-	0	made, mixed with	made, mixed with		413b	3	2010-07-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/6608.html	<i><b>c</b></i> ϩⲓ-	<i><b>c</b></i> ϩⲓ-	c ϩⲓ-	c ϩⲓ-	ϩⲓ- (c)	-		made, mixed with	made, mixed with	made, mixed with	made, mixed with	made, mixed with	made, mixed with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=413b	413	b	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ- (c)	ϩⲓ-	ϩⲓ	1
6609	252	6606	^^^ Hn-	0	(sim)	(sim)		413b	4	2010-07-24	2010-07-24	vagrant	vagrant	https://pishoyg.github.io/crum/6609.html	<i><b>c</b></i> ϩⲛ-	<i><b>c</b></i> ϩⲛ-	c ϩⲛ-	c ϩⲛ-	ϩⲛ- (c)	-		<i>sim</i>	sim	<i>sim</i>	<i>sim</i>	<i>sim</i>	sim	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=413b	413	b	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ- (c)	ϩⲛ-	ϩⲛ	1
2246	252	0	(S,B,F) ^^	1	thing made, creation /$gk: [[poihma, poihsis, genesis]]$/	thing made, creation /$gk: [[poihma, poihsis, genesis]]$/	poihma, poihsis, genesis	413b	5	2010-02-21	1900-01-01	vagrant		https://pishoyg.github.io/crum/2246.html	(S, B, F) ―	(S, B, F) ―	(S, B, F) ―	(S, B, F) ―	(S, B, F) ― (ⲡ)	noun male	ποιημα, ποιησισ, γενεσισ	thing made, creation [ποιημα, ποιησισ, γενεσισ]	thing made, creation [ποιημα, ποιησισ, γενεσισ]	thing made, creation	"thing made, creation <span style=""opacity:0.7"">[ποιημα, ποιησισ, γενεσισ]</span>"	"thing made, creation <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CE%B9%CE%B7%CE%BC%CE%B1"">ποιημα</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CE%B9%CE%B7%CF%83%CE%B9%CF%83"">ποιησισ</a>, <a href=""https://logeion.uchicago.edu/%CE%B3%CE%B5%CE%BD%CE%B5%CF%83%CE%B9%CF%83"">γενεσισ</a>]</span>"	thing made, creation	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=413b	413	b	― (ⲡ)	―									― (ⲡ)	―	― (ⲡ)	―								0
