key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
7734	2142	0		99	With following preposition:	With following preposition:		665b	1	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7734.html							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b																					0
7735	2142	7734	^^^ e-	0				665b	2	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7735.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
7736	2142	7734	(B) ^^^ eKrhi e-	0				665b	3	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7736.html	(B) <i><b>c</b></i> ⲉϧⲣⲏⲓ ⲉ-	(B) <i><b>c</b></i> ⲉϧⲣⲏⲓ ⲉ-	(B) c ⲉϧⲣⲏⲓ ⲉ-	(B) c ⲉϧⲣⲏⲓ ⲉ-	ⲉϧⲣⲏⲓ ⲉ- (c)	(B) ⲉϧⲣⲏⲓ ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b											ⲉϧⲣⲏⲓ ⲉ- (c)	ⲉϧⲣⲏⲓ ⲉ-									1
7737	2142	7734	^^^ eHrhi e-	0				665b	4	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7737.html	<i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉ-	<i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉ-	c ⲉϩⲣⲏⲓ ⲉ-	c ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	ⲉϩⲣⲏⲓ ⲉ- (c)	ⲉϩⲣⲏⲓ ⲉ-	1
7739	2142	7734	(B) ^^^ erat=	0				665b	5	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7739.html	(B) <i><b>c</b></i> ⲉⲣⲁⲧ=	(B) <i><b>c</b></i> ⲉⲣⲁⲧ=	(B) c ⲉⲣⲁⲧ=	(B) c ⲉⲣⲁⲧ=	ⲉⲣⲁⲧ= (c)	(B) ⲉⲣⲁⲧ= (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b											ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ=									1
7738	2142	7734	(B) ^^^ eten-	0				665b	6	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7738.html	(B) <i><b>c</b></i> ⲉⲧⲉⲛ-	(B) <i><b>c</b></i> ⲉⲧⲉⲛ-	(B) c ⲉⲧⲉⲛ-	(B) c ⲉⲧⲉⲛ-	ⲉⲧⲉⲛ- (c)	(B) ⲉⲧⲉⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b											ⲉⲧⲉⲛ- (c)	ⲉⲧⲉⲛ-									1
7740	2142	7734	^^^ eJn-	0	upon, over	upon, over		665b	7	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7740.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	c ⲉϫⲛ-	c ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-		upon, over	upon, over	upon, over	upon, over	upon, over	upon, over	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	1
7741	2142	7734	(B) ^^^ nten-	0				665b	8	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7741.html	(B) <i><b>c</b></i> ⲛⲧⲉⲛ-	(B) <i><b>c</b></i> ⲛⲧⲉⲛ-	(B) c ⲛⲧⲉⲛ-	(B) c ⲛⲧⲉⲛ-	ⲛⲧⲉⲛ- (c)	(B) ⲛⲧⲉⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b											ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ-									1
7742	2142	7734	(B) ^^^ Sa-	0				665b	9	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7742.html	(B) <i><b>c</b></i> ϣⲁ-	(B) <i><b>c</b></i> ϣⲁ-	(B) c ϣⲁ-	(B) c ϣⲁ-	ϣⲁ- (c)	(B) ϣⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=665b	665	b											ϣⲁ- (c)	ϣⲁ-									1
7743	2142	7734	(B) ^^^ Ka-	0				666a	10	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7743.html	(B) <i><b>c</b></i> ϧⲁ-	(B) <i><b>c</b></i> ϧⲁ-	(B) c ϧⲁ-	(B) c ϧⲁ-	ϧⲁ- (c)	(B) ϧⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=666a	666	a											ϧⲁ- (c)	ϧⲁ-									1
7744	2142	7734	(B) ^^^ Katen-	0				666a	11	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7744.html	(B) <i><b>c</b></i> ϧⲁⲧⲉⲛ-	(B) <i><b>c</b></i> ϧⲁⲧⲉⲛ-	(B) c ϧⲁⲧⲉⲛ-	(B) c ϧⲁⲧⲉⲛ-	ϧⲁⲧⲉⲛ- (c)	(B) ϧⲁⲧⲉⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=666a	666	a											ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ-									1
7745	2142	7734	(S) ^^^ Hapesht n-	0				666a	12	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7745.html	(S) <i><b>c</b></i> ϩⲁⲡⲉⲥⲏⲧ ⲛ-	(S) <i><b>c</b></i> ϩⲁⲡⲉⲥⲏⲧ ⲛ-	(S) c ϩⲁⲡⲉⲥⲏⲧ ⲛ-	(S) c ϩⲁⲡⲉⲥⲏⲧ ⲛ-	ϩⲁⲡⲉⲥⲏⲧ ⲛ- (c)	(S) ϩⲁⲡⲉⲥⲏⲧ ⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=666a	666	a	ϩⲁⲡⲉⲥⲏⲧ ⲛ- (c)	ϩⲁⲡⲉⲥⲏⲧ ⲛ-																			1
7746	2142	7734	^^^ Hn-,^^^ Ken-	0				666a	13	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7746.html	<i><b>c</b></i> ϩⲛ-, <i><b>c</b></i> ϧⲉⲛ-	<i><b>c</b></i> ϩⲛ-, <i><b>c</b></i> ϧⲉⲛ-	c ϩⲛ-, c ϧⲉⲛ-	c ϩⲛ-, c ϧⲉⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-, ϧⲉⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=666a	666	a	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	ϩⲛ-	1
