key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
5169	36	5159	^^ Ha-,^^ Ka-	0	concerning	concerning		613b	15	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5169.html	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-, ― ϧⲁ-	-		concerning	concerning	concerning	concerning	concerning	concerning	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-	1
5170	36	5159	(S,sA,B) ^^ Hn-,^^ Ken-	0	with (/*agent*/), in	with (/*agent*/), in		613b	16	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5170.html	(S, sA, B) ― ϩⲛ-, ― ϧⲉⲛ-	(S, sA, B) ― ϩⲛ-, ― ϧⲉⲛ-	(S, sA, B) ― ϩⲛ-, ― ϧⲉⲛ-	(S, sA, B) ― ϩⲛ-, ― ϧⲉⲛ-	(S, sA, B) ― ϩⲛ-, ― ϧⲉⲛ-	-		with <i>(agent)</i>, in	with (agent), in	with <i>(agent)</i>, in	with <i>(agent)</i>, in	with <i>(agent)</i>, in	with (agent), in	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ϩⲛ-, ― ϧⲉⲛ-	― ϩⲛ-							― ϩⲛ-, ― ϧⲉⲛ-	― ϩⲛ-	― ϩⲛ-, ― ϧⲉⲛ-	― ϩⲛ-									1
3189	36	0	(S,A,sA,B,F) ^^ (S) S$^e^$J-	1	saying, word, affair /$gk: [[logos, logion, dialogh, rhma]]$/	saying, word, affair /$gk: [[logos, logion, dialogh, rhma]]$/	logos, logion, dialogh, rhma	613b	17	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3189.html	"(S, A, sA, B, F) ―
(S) ϣ(ⲉ)ϫ-"	"(S, A, sA, B, F) ―
(S) ϣ(ⲉ)ϫ-"	"(S, A, sA, B, F) ―
(S) ϣ(ⲉ)ϫ-"	"(S, A, sA, B, F) ―
(S) ϣ(ⲉ)ϫ-"	"(S, A, sA, B, F) ― (ⲡ)
(S) ϣϫ-, ϣⲉϫ- (ⲡ)"	noun male	λογοσ, λογιον, διαλογη, ρημα	saying, word, affair [λογοσ, λογιον, διαλογη, ρημα]	saying, word, affair [λογοσ, λογιον, διαλογη, ρημα]	saying, word, affair	"saying, word, affair <span style=""opacity:0.7"">[λογοσ, λογιον, διαλογη, ρημα]</span>"	"saying, word, affair <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BB%CE%BF%CE%B3%CE%BF%CF%83"">λογοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%BB%CE%BF%CE%B3%CE%B9%CE%BF%CE%BD"">λογιον</a>, <a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B1%CE%BB%CE%BF%CE%B3%CE%B7"">διαλογη</a>, <a href=""https://logeion.uchicago.edu/%CF%81%CE%B7%CE%BC%CE%B1"">ρημα</a>]</span>"	saying, word, affair	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	"― (ⲡ)
ϣϫ-, ϣⲉϫ- (ⲡ)"	―					― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―							0
7561	36	3189	(S,A,B) noG nS.,niST nS.	0	big words |$ (with [Jw, Je-]) |$ (with [tauo])	big words |$ (with [Jw, Je-]) |$ (with [tauo])		614a	18	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7561.html	(S, A, B) ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	(S, A, B) ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	(S, A, B) ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	(S, A, B) ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	(S, A, B) ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	-		"big words
― <i>with ϫⲱ, ϫⲉ-</i>
― <i>with ⲧⲁⲩⲟ</i>"	"big words
― with ϫⲱ, ϫⲉ-
― with ⲧⲁⲩⲟ"	"big words
― <i>with ϫⲱ, ϫⲉ-</i>
― <i>with ⲧⲁⲩⲟ</i>"	"big words
― <i>with ϫⲱ, ϫⲉ-</i>
― <i>with ⲧⲁⲩⲟ</i>"	"big words
― <i>with ϫⲱ, ϫⲉ-</i>
― <i>with ⲧⲁⲩⲟ</i>"	"big words
― with ϫⲱ, ϫⲉ-
― with ⲧⲁⲩⲟ"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a	ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	ⲛⲟϭ ⲛϣ.					ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	ⲛⲟϭ ⲛϣ.			ⲛⲟϭ ⲛϣ., ⲛⲓϣϯ ⲛϣ.	ⲛⲟϭ ⲛϣ.									1
7562	36	7561	(S) reFJe ..noG nS.	0				614a	19	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7562.html	(S) ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.	(S) ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.	(S) ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.	(S) ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.	(S) ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a	ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.	ⲣⲉϥϫⲉ ⲛⲟϭ ⲛϣ.																			2
7563	36	3189	(B) mhS ns.	0	multitude of (words)	multitude of (words)		614a	20	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7563.html	(B) ⲙⲏϣ ⲛⲥ.	(B) ⲙⲏϣ ⲛⲥ.	(B) ⲙⲏϣ ⲛⲥ.	(B) ⲙⲏϣ ⲛⲥ.	(B) ⲙⲏϣ ⲛⲥ.	-		multitude of <i>words</i>	multitude of words	multitude of <i>words</i>	multitude of <i>words</i>	multitude of <i>words</i>	multitude of words	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a											ⲙⲏϣ ⲛⲥ.	ⲙⲏϣ ⲛⲥ.									1
3190	36	0	(B) la s.	0	loquacious	loquacious		614a	21	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3190.html	(B) ⲗⲁ ⲥ.	(B) ⲗⲁ ⲥ.	(B) ⲗⲁ ⲥ.	(B) ⲗⲁ ⲥ.	(B) ⲗⲁ ⲥ.	-		loquacious	loquacious	loquacious	loquacious	loquacious	loquacious	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a											ⲗⲁ ⲥ.	ⲗⲁ ⲥ.									0
3191	36	0	(S) neJ S.	0	cast in word, make mention	cast in word, make mention		614a	22	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3191.html	(S) ⲛⲉϫ ϣ.	(S) ⲛⲉϫ ϣ.	(S) ⲛⲉϫ ϣ.	(S) ⲛⲉϫ ϣ.	(S) ⲛⲉϫ ϣ.	-		cast in word, make mention	cast in word, make mention	cast in word, make mention	cast in word, make mention	cast in word, make mention	cast in word, make mention	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a	ⲛⲉϫ ϣ.	ⲛⲉϫ ϣ.																			0
3192	36	0	(S) r S.	0	make agreement	make agreement		614a	23	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3192.html	(S) ⲣ ϣ.	(S) ⲣ ϣ.	(S) ⲣ ϣ.	(S) ⲣ ϣ.	(S) ⲣ ϣ.	-		make agreement	make agreement	make agreement	make agreement	make agreement	make agreement	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a	ⲣ ϣ.	ⲣ ϣ.																			0
3193	36	0	taSe S.	0	multiply words	multiply words		614a	24	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3193.html	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	-		multiply words	multiply words	multiply words	multiply words	multiply words	multiply words	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	ⲧⲁϣⲉ ϣ.	0
3194	36	0	Ji S.,Gi s.	0	take, accept word	take, accept word		614a	25	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3194.html	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ., ϭⲓ ⲥ.	-		take, accept word	take, accept word	take, accept word	take, accept word	take, accept word	take, accept word	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614a	614	a	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	ϫⲓ ϣ., ϭⲓ ⲥ.	ϫⲓ ϣ.	0
3195	36	0	(S,B,F) atS.,ats.	0	speechless, unspeakable /$gk: [[alalos, afwnos]]$/	speechless, unspeakable /$gk: [[alalos, afwnos]]$/	alalos, afwnos	614b	26	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3195.html	(S, B, F) ⲁⲧϣ., ⲁⲧⲥ.	(S, B, F) ⲁⲧϣ., ⲁⲧⲥ.	(S, B, F) ⲁⲧϣ., ⲁⲧⲥ.	(S, B, F) ⲁⲧϣ., ⲁⲧⲥ.	(S, B, F) ⲁⲧϣ., ⲁⲧⲥ.	-	αλαλοσ, αφωνοσ	speechless, unspeakable [αλαλοσ, αφωνοσ]	speechless, unspeakable [αλαλοσ, αφωνοσ]	speechless, unspeakable	"speechless, unspeakable <span style=""opacity:0.7"">[αλαλοσ, αφωνοσ]</span>"	"speechless, unspeakable <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BB%CE%B1%CE%BB%CE%BF%CF%83"">αλαλοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CF%86%CF%89%CE%BD%CE%BF%CF%83"">αφωνοσ</a>]</span>"	speechless, unspeakable	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲁⲧϣ., ⲁⲧⲥ.	ⲁⲧϣ.									ⲁⲧϣ., ⲁⲧⲥ.	ⲁⲧϣ.	ⲁⲧϣ., ⲁⲧⲥ.	ⲁⲧϣ.							0
7564	36	3195	(B) ^^^ n-	0				614b	27	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7564.html	(B) <i><b>c</b></i> ⲛ-	(B) <i><b>c</b></i> ⲛ-	(B) c ⲛ-	(B) c ⲛ-	(B) ⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b											ⲛ- (c)	ⲛ-									1
7565	36	3195	^^^ e-	0				614b	28	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7565.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
7566	36	3195	(S) mnt..atS.	0				614b	29	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7566.html	(S) ⲙⲛⲧⲁⲧϣ.	(S) ⲙⲛⲧⲁⲧϣ.	(S) ⲙⲛⲧⲁⲧϣ.	(S) ⲙⲛⲧⲁⲧϣ.	(S) ⲙⲛⲧⲁⲧϣ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲙⲛⲧⲁⲧϣ.	ⲙⲛⲧⲁⲧϣ.																			1
7567	36	3195	(B) er ..ats.	0				614b	30	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7567.html	(B) ⲉⲣ ⲁⲧⲥ.	(B) ⲉⲣ ⲁⲧⲥ.	(B) ⲉⲣ ⲁⲧⲥ.	(B) ⲉⲣ ⲁⲧⲥ.	(B) ⲉⲣ ⲁⲧⲥ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b											ⲉⲣ ⲁⲧⲥ.	ⲉⲣ ⲁⲧⲥ.									1
3196	36	0	ma nS.,ma ns.	0	place of talk, gossip	place of talk, gossip		614b	31	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3196.html	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	-		place of talk, gossip	place of talk, gossip	place of talk, gossip	place of talk, gossip	place of talk, gossip	place of talk, gossip	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	ⲙⲁ ⲛϣ., ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛϣ.	0
3197	36	0	(S,sA,B,F) reFS.,reFs.	0	speaker, eloquent person /$gk: [[eulalos, lalhtos]]$/	speaker, eloquent person /$gk: [[eulalos, lalhtos]]$/	eulalos, lalhtos	614b	32	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3197.html	(S, sA, B, F) ⲣⲉϥϣ., ⲣⲉϥⲥ.	(S, sA, B, F) ⲣⲉϥϣ., ⲣⲉϥⲥ.	(S, sA, B, F) ⲣⲉϥϣ., ⲣⲉϥⲥ.	(S, sA, B, F) ⲣⲉϥϣ., ⲣⲉϥⲥ.	(S, sA, B, F) ⲣⲉϥϣ., ⲣⲉϥⲥ.	-	ευλαλοσ, λαλητοσ	speaker, eloquent person [ευλαλοσ, λαλητοσ]	speaker, eloquent person [ευλαλοσ, λαλητοσ]	speaker, eloquent person	"speaker, eloquent person <span style=""opacity:0.7"">[ευλαλοσ, λαλητοσ]</span>"	"speaker, eloquent person <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B5%CF%85%CE%BB%CE%B1%CE%BB%CE%BF%CF%83"">ευλαλοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%BB%CE%B1%CE%BB%CE%B7%CF%84%CE%BF%CF%83"">λαλητοσ</a>]</span>"	speaker, eloquent person	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲣⲉϥϣ., ⲣⲉϥⲥ.	ⲣⲉϥϣ.							ⲣⲉϥϣ., ⲣⲉϥⲥ.	ⲣⲉϥϣ.	ⲣⲉϥϣ., ⲣⲉϥⲥ.	ⲣⲉϥϣ.	ⲣⲉϥϣ., ⲣⲉϥⲥ.	ⲣⲉϥϣ.							0
3198	36	3197	mntr.	0	eloquence	eloquence		614b	33	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3198.html	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	-		eloquence	eloquence	eloquence	eloquence	eloquence	eloquence	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	1
3199	36	0	(S) sa nS.	0	man of words, babbler /$gk: [[spermologos]]$/	man of words, babbler /$gk: [[spermologos]]$/	spermologos	614b	34	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3199.html	(S) ⲥⲁ ⲛϣ.	(S) ⲥⲁ ⲛϣ.	(S) ⲥⲁ ⲛϣ.	(S) ⲥⲁ ⲛϣ.	(S) ⲥⲁ ⲛϣ.	-	σπερμολογοσ	man of words, babbler [σπερμολογοσ]	man of words, babbler [σπερμολογοσ]	man of words, babbler	"man of words, babbler <span style=""opacity:0.7"">[σπερμολογοσ]</span>"	"man of words, babbler <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CF%80%CE%B5%CF%81%CE%BC%CE%BF%CE%BB%CE%BF%CE%B3%CE%BF%CF%83"">σπερμολογοσ</a>]</span>"	man of words, babbler	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ⲥⲁ ⲛϣ.	ⲥⲁ ⲛϣ.																			0
3200	36	0	(B) Houo s.	0	saying too much	saying too much		614b	35	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3200.html	(B) ϩⲟⲩⲟ ⲥ.	(B) ϩⲟⲩⲟ ⲥ.	(B) ϩⲟⲩⲟ ⲥ.	(B) ϩⲟⲩⲟ ⲥ.	(B) ϩⲟⲩⲟ ⲥ.	-		saying too much	saying too much	saying too much	saying too much	saying too much	saying too much	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b											ϩⲟⲩⲟ ⲥ.	ϩⲟⲩⲟ ⲥ.									0
3201	36	0	(S,sA,B) GinS.,Jins.	0	speech, saying, tale /$gk: [[lalia, dialogh]]$/	speech, saying, tale /$gk: [[lalia, dialogh]]$/	lalia, dialogh	614b	36	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3201.html	(S, sA, B) ϭⲓⲛϣ., ϫⲓⲛⲥ.	(S, sA, B) ϭⲓⲛϣ., ϫⲓⲛⲥ.	(S, sA, B) ϭⲓⲛϣ., ϫⲓⲛⲥ.	(S, sA, B) ϭⲓⲛϣ., ϫⲓⲛⲥ.	(S, sA, B) ϭⲓⲛϣ., ϫⲓⲛⲥ.	-	λαλια, διαλογη	speech, saying, tale [λαλια, διαλογη]	speech, saying, tale [λαλια, διαλογη]	speech, saying, tale	"speech, saying, tale <span style=""opacity:0.7"">[λαλια, διαλογη]</span>"	"speech, saying, tale <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BB%CE%B1%CE%BB%CE%B9%CE%B1"">λαλια</a>, <a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B1%CE%BB%CE%BF%CE%B3%CE%B7"">διαλογη</a>]</span>"	speech, saying, tale	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=614b	614	b	ϭⲓⲛϣ., ϫⲓⲛⲥ.	ϭⲓⲛϣ.							ϭⲓⲛϣ., ϫⲓⲛⲥ.	ϭⲓⲛϣ.	ϭⲓⲛϣ., ϫⲓⲛⲥ.	ϭⲓⲛϣ.									0
7914	37	0		99	qual :	qual :		695a	1	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7914.html						HEADER		qual :	qual :	qual :	qual :	qual :	qual :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695a	695	a																					0
7915	37	7914	petH.+,netH.+	0	what is hidden	what is hidden		695a	2	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7915.html	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	-		what is hidden	what is hidden	what is hidden	what is hidden	what is hidden	what is hidden	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695a	695	a	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	ⲡⲉⲧϩ.+, ⲛⲉⲧϩ.+	ⲡⲉⲧϩ.+	1
5265	37	0		99	With following preposition:	With following preposition:		695b	3	2010-05-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/5265.html						HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695b	695	b																					0
5266	37	5265	^^ e-	0	from	from		695b	4	2010-05-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/5266.html	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	-		from	from	from	from	from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695b	695	b	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	1
5267	37	5265	(S) ^^ eJn-	0	upon (as acc)	upon (as acc)		695b	5	2010-05-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/5267.html	(S) ― ⲉϫⲛ-	(S) ― ⲉϫⲛ-	(S) ― ⲉϫⲛ-	(S) ― ⲉϫⲛ-	(S) ― ⲉϫⲛ-	-		upon <i>as acc</i>	upon as acc	upon <i>as acc</i>	upon <i>as acc</i>	upon <i>as acc</i>	upon as acc	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695b	695	b	― ⲉϫⲛ-	― ⲉϫⲛ-																			1
5268	37	5265	(S) ^^ n-	0	for | in	for | in		695b	6	2010-05-08	2011-03-11	vagrant	vagrant	https://pishoyg.github.io/crum/5268.html	(S) ― ⲛ-	(S) ― ⲛ-	(S) ― ⲛ-	(S) ― ⲛ-	(S) ― ⲛ-	-		"for
in"	"for
in"	"for
in"	"for
in"	"for
in"	"for
in"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695b	695	b	― ⲛ-	― ⲛ-																			1
8870	37	5265	(sA) ^^^ abal n-	0				695b	7	2011-03-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/8870.html	(sA) <i><b>c</b></i> ⲁⲃⲁⲗ ⲛ-	(sA) <i><b>c</b></i> ⲁⲃⲁⲗ ⲛ-	(sA) c ⲁⲃⲁⲗ ⲛ-	(sA) c ⲁⲃⲁⲗ ⲛ-	(sA) ⲁⲃⲁⲗ ⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=695b	695	b									ⲁⲃⲁⲗ ⲛ- (c)	ⲁⲃⲁⲗ ⲛ-											1
