key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
5161	36	5159	^^ etbe-,^^ eqbe-	0	concerning, about	concerning, about		613a	5	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5161.html	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	-		concerning, about	concerning, about	concerning, about	concerning, about	concerning, about	concerning, about	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	― ⲉⲧⲃⲉ-, ― ⲉⲑⲃⲉ-	― ⲉⲧⲃⲉ-	1
5162	36	5159	(S,B) ^^ eJn-	0	for, on behalf of | concerning | in	for, on behalf of | concerning | in		613a	6	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5162.html	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	-		"for, on behalf of
concerning
in"	"for, on behalf of
concerning
in"	"for, on behalf of
concerning
in"	"for, on behalf of
concerning
in"	"for, on behalf of
concerning
in"	"for, on behalf of
concerning
in"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a	― ⲉϫⲛ-	― ⲉϫⲛ-									― ⲉϫⲛ-	― ⲉϫⲛ-									1
7559	36	5159	(S) ^^^ epesht eJn-	0	down upon, to	down upon, to		613a	7	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7559.html	(S) <i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ-	(S) <i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ-	(S) c ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ-	(S) c ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ-	(S) ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ- (c)	-		down upon, to	down upon, to	down upon, to	down upon, to	down upon, to	down upon, to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a	ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ- (c)	ⲉⲡⲉⲥⲏⲧ ⲉϫⲛ-																			1
7560	36	5159	(B) ^^^ eHrhi eJn-	0				613a	8	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7560.html	(B) <i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉϫⲛ-	(B) <i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉϫⲛ-	(B) c ⲉϩⲣⲏⲓ ⲉϫⲛ-	(B) c ⲉϩⲣⲏⲓ ⲉϫⲛ-	(B) ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613a	613	a											ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲏⲓ ⲉϫⲛ-									1
5163	36	5159	(S,A,sA,B,F) ^^ mn-	0	with	with		613b	9	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5163.html	(S, A, sA, B, F) ― ⲙⲛ-	(S, A, sA, B, F) ― ⲙⲛ-	(S, A, sA, B, F) ― ⲙⲛ-	(S, A, sA, B, F) ― ⲙⲛ-	(S, A, sA, B, F) ― ⲙⲛ-	-		with	with	with	with	with	with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ⲙⲛ-	― ⲙⲛ-					― ⲙⲛ-	― ⲙⲛ-	― ⲙⲛ-	― ⲙⲛ-	― ⲙⲛ-	― ⲙⲛ-	― ⲙⲛ-	― ⲙⲛ-							1
5164	36	5159	^^ n-	0	in, with	in, with		613b	10	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5164.html	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	-		in, with	in, with	in, with	in, with	in, with	in, with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-	1
5165	36	5159	(S,A,B) ^^ nsa-	0	after, against, malign	after, against, malign		613b	11	2010-05-01	2010-05-01	vagrant	vagrant	https://pishoyg.github.io/crum/5165.html	(S, A, B) ― ⲛⲥⲁ-	(S, A, B) ― ⲛⲥⲁ-	(S, A, B) ― ⲛⲥⲁ-	(S, A, B) ― ⲛⲥⲁ-	(S, A, B) ― ⲛⲥⲁ-	-		after, against, malign	after, against, malign	after, against, malign	after, against, malign	after, against, malign	after, against, malign	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ⲛⲥⲁ-	― ⲛⲥⲁ-					― ⲛⲥⲁ-	― ⲛⲥⲁ-			― ⲛⲥⲁ-	― ⲛⲥⲁ-									1
5166	36	5159	^^ naHrn-	0	before	before		613b	12	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5166.html	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	-		before	before	before	before	before	before	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	― ⲛⲁϩⲣⲛ-	1
5167	36	5159	^^ oube-	0	against	against		613b	13	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5167.html	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	-		against	against	against	against	against	against	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	1
5168	36	5159	(B) ^^ Katen-	0	before	before		613b	14	2010-05-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5168.html	(B) ― ϧⲁⲧⲉⲛ-	(B) ― ϧⲁⲧⲉⲛ-	(B) ― ϧⲁⲧⲉⲛ-	(B) ― ϧⲁⲧⲉⲛ-	(B) ― ϧⲁⲧⲉⲛ-	-		before	before	before	before	before	before	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=613b	613	b											― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-									1
