key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
3663	2298	0	T H.	0	pay tribute	pay tribute		722b	1	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3663.html	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	-		pay tribute	pay tribute	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=722b	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	ϯ ϩ.	0
3664	2298	0	(B) atH.	0	tax-free	tax-free		722b	2	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3664.html	(B) ⲁⲧϩ.	(B) ⲁⲧϩ.	ⲁⲧϩ.	(B) ⲁⲧϩ.	-		tax-free	tax-free	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=722b						ⲁⲧϩ.					0
8096	2299	0	^^^ e-	0	for	for		722b	1	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8096.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	ⲉ- (c)	ⲉ- (c)	-		for	for	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=722b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	0
8097	2299	0	^^^ n- *^dat^*	0				722b	2	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8097.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat} (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=722b	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	0
3665	2301	0	(B) Kqh	4	thickness /$gk: [[paxos]]$/	thickness /$gk: [[paxos]]$/	paxos	722b	1	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3665.html	(B) ϧⲑⲏ	(B) ϧⲑⲏ	ϧⲑⲏ	(B) ϧⲑⲏ (ⲧ)	noun female	παχοσ	thickness [παχοσ]	thickness	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=722b						ϧⲑⲏ (ⲧ)					0
3666	2303	0	(S) mas nH.	0	foal	foal		723a	1	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3666.html	(S) ⲙⲁⲥ ⲛϩ.	(S) ⲙⲁⲥ ⲛϩ.	ⲙⲁⲥ ⲛϩ.	(S) ⲙⲁⲥ ⲛϩ.	-		foal	foal	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723a	ⲙⲁⲥ ⲛϩ.										0
3667	2303	0	(S) maneH.	0	horse-keeper, groom	horse-keeper, groom		723a	2	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3667.html	(S) ⲙⲁⲛⲉϩ.	(S) ⲙⲁⲛⲉϩ.	ⲙⲁⲛⲉϩ.	(S) ⲙⲁⲛⲉϩ.	-		horse-keeper, groom	horse-keeper, groom	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723a	ⲙⲁⲛⲉϩ.										0
3668	2303	0	(S) rmnH. (B) remnH.	0	horseman /$gk: [[ippeus]]$/	horseman /$gk: [[ippeus]]$/	ippeus	723a	3	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3668.html	"(S) ⲣⲙⲛϩ.
(B) ⲣⲉⲙⲛϩ."	"(S) ⲣⲙⲛϩ.
(B) ⲣⲉⲙⲛϩ."	ⲣⲙⲛϩ., ⲣⲉⲙⲛϩ.	"(S) ⲣⲙⲛϩ.
(B) ⲣⲉⲙⲛϩ."	-	ιππευσ	horseman [ιππευσ]	horseman	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723a	ⲣⲙⲛϩ.					ⲣⲉⲙⲛϩ.					0
3669	2303	0	(B) GasiH.,GasinH.	0	raised on horse, rider /$gk: [[ippeus, anabaths]]$/	raised on horse, rider /$gk: [[ippeus, anabaths]]$/	ippeus, anabaths	723a	4	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3669.html	(B) ϭⲁⲥⲓϩ., ϭⲁⲥⲓⲛϩ.	(B) ϭⲁⲥⲓϩ., ϭⲁⲥⲓⲛϩ.	ϭⲁⲥⲓϩ., ϭⲁⲥⲓⲛϩ.	(B) ϭⲁⲥⲓϩ., ϭⲁⲥⲓⲛϩ.	-	ιππευσ, αναβατησ	raised on horse, rider [ιππευσ, αναβατησ]	raised on horse, rider	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723a						ϭⲁⲥⲓϩ., ϭⲁⲥⲓⲛϩ.					0
8098	2305	0		99	With following preposition:	With following preposition:		723b	1	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8098.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723b											0
8099	2305	8098	^^^ e-	0				723b	2	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8099.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	ⲉ- (c)	ⲉ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	1
8100	2305	8098	^^^ eJn-	0				723b	3	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8100.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723b	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	1
8101	2305	8098	^^^ HiJen-	0				723b	4	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8101.html	<i><b>c</b></i> ϩⲓϫⲉⲛ-	<i><b>c</b></i> ϩⲓϫⲉⲛ-	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723b	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	1
8102	2305	8098	^^^ n-	0	with	with		723b	5	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8102.html	<i><b>c</b></i> ⲛ-	<i><b>c</b></i> ⲛ-	ⲛ- (c)	ⲛ- (c)	-		with	with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=723b	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	1
