key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
3237	2065	5211	(S) FwGs (S,sA) bwGs (sA) baGs+	2	{intr:} (meanings as [Fwge] leap, move hastily)	{intr:} (meanings as [Fwge] leap, move hastily)		627b	29	2010-03-18	2010-05-05	vagrant	vagrant	https://pishoyg.github.io/crum/3237.html	"(S) ϥⲱϭⲥ
(S, sA) ⲃⲱϭⲥ
(sA) ⲃⲁϭⲥ+"	"(S) ϥⲱϭⲥ
(S, sA) ⲃⲱϭⲥ
(sA) ⲃⲁϭⲥ+"	ϥⲱϭⲥ, ⲃⲱϭⲥ, ⲃⲁϭⲥ+	"(S) ϥⲱϭⲥ
(S, sA) ⲃⲱϭⲥ
(sA) ⲃⲁϭⲥ+"	verb		<b>intr:</b> <i>meanings as ϥⲱⲅⲉ leap, move hastily</i>	<b>intr:</b> <i>meanings as ϥⲱⲅⲉ leap, move hastily</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=627b	"ϥⲱϭⲥ
ⲃⲱϭⲥ"				"ⲃⲱϭⲥ
ⲃⲁϭⲥ+"						1
3238	2065	5211	(S) FoGs,boGs (A) Faks (B) FoJs (Sf,sA,F) baGs	3	leap, dance /$gk: [[allesqai]]$/	leap, dance /$gk: [[allesqai]]$/	allesqai	627b	30	2010-03-18	2010-05-05	vagrant	vagrant	https://pishoyg.github.io/crum/3238.html	"(S) ϥⲟϭⲥ, ⲃⲟϭⲥ
(A) ϥⲁⲕⲥ
(B) ϥⲟϫⲥ
(Sf, sA, F) ⲃⲁϭⲥ"	"(S) ϥⲟϭⲥ, ⲃⲟϭⲥ
(A) ϥⲁⲕⲥ
(B) ϥⲟϫⲥ
(Sf, sA, F) ⲃⲁϭⲥ"	ϥⲟϭⲥ, ⲃⲟϭⲥ, ϥⲁⲕⲥ, ϥⲟϫⲥ, ⲃⲁϭⲥ	"(S) ϥⲟϭⲥ, ⲃⲟϭⲥ (noun)
(A) ϥⲁⲕⲥ (noun)
(B) ϥⲟϫⲥ (noun)
(Sf, sA, F) ⲃⲁϭⲥ (noun)"	noun	αλλεσθαι	leap, dance [αλλεσθαι]	leap, dance	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=627b	ϥⲟϭⲥ, ⲃⲟϭⲥ (noun)		ⲃⲁϭⲥ (noun)	ϥⲁⲕⲥ (noun)	ⲃⲁϭⲥ (noun)	ϥⲟϫⲥ (noun)	ⲃⲁϭⲥ (noun)				1
3239	2065	3238	GinJi F.	0	exultation	exultation		627b	31	2010-03-18	2010-03-18	vagrant	vagrant	https://pishoyg.github.io/crum/3239.html	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	-		exultation	exultation	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=627b	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	ϭⲓⲛϫⲓ ϥ.	2
3240	2065	3238	(S) mntreFboGs	0	leaping, haste	leaping, haste		627b	32	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3240.html	(S) ⲙⲛⲧⲣⲉϥⲃⲟϭⲥ	(S) ⲙⲛⲧⲣⲉϥⲃⲟϭⲥ	ⲙⲛⲧⲣⲉϥⲃⲟϭⲥ	(S) ⲙⲛⲧⲣⲉϥⲃⲟϭⲥ	-		leaping, haste	leaping, haste	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=627b	ⲙⲛⲧⲣⲉϥⲃⲟϭⲥ										2
3241	2065	5211	(sA) beGse (B) Fotsi,fotsi,FoJsi	3	leap	leap		627b	33	2010-03-18	2010-05-05	vagrant	vagrant	https://pishoyg.github.io/crum/3241.html	"(sA) ⲃⲉϭⲥⲉ
(B) ϥⲟⲧⲥⲓ, ⲫⲟⲧⲥⲓ, ϥⲟϫⲥⲓ"	"(sA) ⲃⲉϭⲥⲉ
(B) ϥⲟⲧⲥⲓ, ⲫⲟⲧⲥⲓ, ϥⲟϫⲥⲓ"	ⲃⲉϭⲥⲉ, ϥⲟⲧⲥⲓ, ⲫⲟⲧⲥⲓ, ϥⲟϫⲥⲓ	"(sA) ⲃⲉϭⲥⲉ (noun)
(B) ϥⲟⲧⲥⲓ, ⲫⲟⲧⲥⲓ, ϥⲟϫⲥⲓ (noun)"	noun		leap	leap	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=627b					ⲃⲉϭⲥⲉ (noun)	ϥⲟⲧⲥⲓ, ⲫⲟⲧⲥⲓ, ϥⲟϫⲥⲓ (noun)					1
3242	2069	0	H$^e^$beQit	4	(same)	(same)		629a	1	2010-03-18	1900-01-01	vagrant		https://pishoyg.github.io/crum/3242.html	ϩ(ⲉ)ⲃⲉⳉⲓⲧ	ϩ(ⲉ)ⲃⲉⳉⲓⲧ	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	noun female		<i>same</i>	<i>same</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=629a	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	ϩⲃⲉⳉⲓⲧ, ϩⲉⲃⲉⳉⲓⲧ (ⲧ)	0
7647	2083	0		99	With following preposition or adverb:	With following preposition or adverb:		630b	1	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7647.html					HEADER		With following preposition or adverb:	With following preposition or adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=630b											0
7648	2083	7647	^^^ eJn-	0				630b	2	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7648.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=630b	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	1
7649	2083	7647	^^^ nten-	0				630b	3	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7649.html	<i><b>c</b></i> ⲛⲧⲉⲛ-	<i><b>c</b></i> ⲛⲧⲉⲛ-	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=630b	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	ⲛⲧⲉⲛ- (c)	1
7650	2083	7647	^^^ HiJen-	0				630b	4	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7650.html	<i><b>c</b></i> ϩⲓϫⲉⲛ-	<i><b>c</b></i> ϩⲓϫⲉⲛ-	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=630b	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	1
