key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
4289	2855	4280	^^^ Ken-	0	from	from		111a	11	2010-04-06	2010-06-03	vagrant	vagrant	https://pishoyg.github.io/crum/4289.html	<i><b>c</b></i> ϧⲉⲛ-	<i><b>c</b></i> ϧⲉⲛ-	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	-		from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	ϧⲉⲛ- (c)	2
4290	2855	4280	^^^ ebol Ken-	0	from, away from	from, away from		111a	12	2010-04-06	2010-06-03	vagrant	vagrant	https://pishoyg.github.io/crum/4290.html	<i><b>c</b></i> ⲉⲃⲟⲗ ϧⲉⲛ-	<i><b>c</b></i> ⲉⲃⲟⲗ ϧⲉⲛ-	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	-		from, away from	from, away from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	ⲉⲃⲟⲗ ϧⲉⲛ- (c)	2
4291	2855	4280	^^^ Katen-	0	from	from		111a	13	2010-04-06	2010-06-03	vagrant	vagrant	https://pishoyg.github.io/crum/4291.html	<i><b>c</b></i> ϧⲁⲧⲉⲛ-	<i><b>c</b></i> ϧⲁⲧⲉⲛ-	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	-		from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	ϧⲁⲧⲉⲛ- (c)	2
4292	2855	4280	^^^ ebol Ha-	0	from	from		111a	14	2010-04-06	2010-06-03	vagrant	vagrant	https://pishoyg.github.io/crum/4292.html	<i><b>c</b></i> ⲉⲃⲟⲗ ϩⲁ-	<i><b>c</b></i> ⲉⲃⲟⲗ ϩⲁ-	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	-		from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	ⲉⲃⲟⲗ ϩⲁ- (c)	2
4293	2855	4281		99	With following adverb:	With following adverb:		111a	15	2010-04-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/4293.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a											1
4294	2855	4293	^^^ ebol	0	(/*late ?*/)	(/*late ?*/)		111a	16	2010-04-06	2010-06-03	vagrant	vagrant	https://pishoyg.github.io/crum/4294.html	<i><b>c</b></i> ⲉⲃⲟⲗ	<i><b>c</b></i> ⲉⲃⲟⲗ	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	-		<i>(late ?)</i>	<i>(late ?)</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	2
5539	2855	4293	^^^ mmau	0				111a	17	2010-06-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/5539.html	<i><b>c</b></i> ⲙⲙⲁⲩ	<i><b>c</b></i> ⲙⲙⲁⲩ	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111a	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	ⲙⲙⲁⲩ (c)	2
515	2855	0	atk.	6	unending	unending		111b	18	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/515.html	ⲁⲧⲕ.	ⲁⲧⲕ.	ⲁⲧⲕ.	ⲁⲧⲕ. (adj.)	adjective		unending	unending	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111b	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	ⲁⲧⲕ. (adj.)	0
516	2855	515	met..atk.	4	unendingness	unendingness		111b	19	2010-01-31	2010-06-03	vagrant	vagrant	https://pishoyg.github.io/crum/516.html	ⲙⲉⲧⲁⲧⲕ.	ⲙⲉⲧⲁⲧⲕ.	ⲙⲉⲧⲁⲧⲕ.	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	noun female		unendingness	unendingness	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=111b	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	ⲙⲉⲧⲁⲧⲕ. (ⲧ)	1
522	2858	0	kenefiths	0	baker	baker		113a	1	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/522.html	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	-		baker	baker	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113a	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	ⲕⲉⲛⲉⲫⲓⲧⲏⲥ	0
