key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
7206	1835	7203	^^^ eHrai,^^^ eHrai e-	0	down upon	down upon		535b	6	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7206.html	<i><b>c</b></i> ⲉϩⲣⲁⲓ, <i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉ-	<i><b>c</b></i> ⲉϩⲣⲁⲓ, <i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉ-	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	-		down upon	down upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=535b	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	ⲉϩⲣⲁⲓ, ⲉϩⲣⲁⲓ ⲉ- (c)	3
7207	1835	7203	^^^ eJn-	0				536a	7	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7207.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	3
7208	1835	7203	^^^ n-	0				536a	8	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7208.html	<i><b>c</b></i> ⲛ-	<i><b>c</b></i> ⲛ-	ⲛ- (c)	ⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	3
7209	1835	7203	^^^ ebol	0				536a	9	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7209.html	<i><b>c</b></i> ⲉⲃⲟⲗ	<i><b>c</b></i> ⲉⲃⲟⲗ	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	3
7210	1836	0		99	With following preposition:	With following preposition:		536a	1	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7210.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a											0
7211	1836	7210	(S,B,F) ^^^ e-	0	to	to		536a	2	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7211.html	(S, B, F) <i><b>c</b></i> ⲉ-	(S, B, F) <i><b>c</b></i> ⲉ-	ⲉ- (c)	(S, B, F) ⲉ- (c)	-		to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲉ- (c)					ⲉ- (c)	ⲉ- (c)				1
7212	1836	7210	(S,B) ^^^ eHoun e-	0	in to, on to | {intr:} | {tr:} | (as nn m), nailing, attachment to	in to, on to | {intr:} | {tr:} | (as nn m), nailing, attachment to		536a	3	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7212.html	(S, B) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	(S, B) <i><b>c</b></i> ⲉϩⲟⲩⲛ ⲉ-	ⲉϩⲟⲩⲛ ⲉ- (c)	(S, B) ⲉϩⲟⲩⲛ ⲉ- (c)	-		"in to, on to
<b>intr:</b>
<b>tr:</b>
<i>as nn m</i>, nailing, attachment to"	"in to, on to
<b>intr:</b>
<b>tr:</b>
<i>as nn m</i>, nailing, attachment to"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲉϩⲟⲩⲛ ⲉ- (c)					ⲉϩⲟⲩⲛ ⲉ- (c)					1
7213	1836	7210	(S) ^^^ eJn-	0	upon	upon		536a	4	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7213.html	(S) <i><b>c</b></i> ⲉϫⲛ-	(S) <i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	(S) ⲉϫⲛ- (c)	-		upon	upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲉϫⲛ- (c)										1
7214	1836	7210	(S,B) ^^^  n-	0	nailed, studded with	nailed, studded with		536a	5	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7214.html	(S, B) <i><b>c</b></i> ⲛ-	(S, B) <i><b>c</b></i> ⲛ-	ⲛ- (c)	(S, B) ⲛ- (c)	-		nailed, studded with	nailed, studded with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲛ- (c)					ⲛ- (c)					1
7215	1836	7210	(S,B) ^^^ Hn-,^^^ Ken-	0	in	in		536a	6	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7215.html	(S, B) <i><b>c</b></i> ϩⲛ-, <i><b>c</b></i> ϧⲉⲛ-	(S, B) <i><b>c</b></i> ϩⲛ-, <i><b>c</b></i> ϧⲉⲛ-	ϩⲛ-, ϧⲉⲛ- (c)	(S, B) ϩⲛ-, ϧⲉⲛ- (c)	-		in	in	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ϩⲛ-, ϧⲉⲛ- (c)					ϩⲛ-, ϧⲉⲛ- (c)					1
7216	1836	7210	(S) ^^^ ebol Hn-	0				536a	7	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7216.html	(S) <i><b>c</b></i> ⲉⲃⲟⲗ ϩⲛ-	(S) <i><b>c</b></i> ⲉⲃⲟⲗ ϩⲛ-	ⲉⲃⲟⲗ ϩⲛ- (c)	(S) ⲉⲃⲟⲗ ϩⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536a	ⲉⲃⲟⲗ ϩⲛ- (c)										1
2858	1836	0	(S,B) Ginw.,Jinw.	0	nailing	nailing		536b	8	2010-03-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/2858.html	(S, B) ϭⲓⲛⲱ., ϫⲓⲛⲱ.	(S, B) ϭⲓⲛⲱ., ϫⲓⲛⲱ.	ϭⲓⲛⲱ., ϫⲓⲛⲱ.	(S, B) ϭⲓⲛⲱ., ϫⲓⲛⲱ.	-		nailing	nailing	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536b	ϭⲓⲛⲱ., ϫⲓⲛⲱ.					ϭⲓⲛⲱ., ϫⲓⲛⲱ.					0
2859	1836	0	(S,A,sA) eiFt (S,F) eibt (S,B,F) iFt (S,F,O) ibt	1	nail, spike /$gk: [[hlos]]$/	nail, spike /$gk: [[hlos]]$/	hlos	536b	9	2010-03-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/2859.html	"(S, A, sA) ⲉⲓϥⲧ
(S, F) ⲉⲓⲃⲧ
(S, B, F) ⲓϥⲧ
(S, F, O) ⲓⲃⲧ"	"(S, A, sA) ⲉⲓϥⲧ
(S, F) ⲉⲓⲃⲧ
(S, B, F) ⲓϥⲧ
(S, F, O) ⲓⲃⲧ"	ⲉⲓϥⲧ, ⲉⲓⲃⲧ, ⲓϥⲧ, ⲓⲃⲧ	"(S, A, sA) ⲉⲓϥⲧ (ⲡ)
(S, F) ⲉⲓⲃⲧ (ⲡ)
(S, B, F) ⲓϥⲧ (ⲡ)
(S, F, O) ⲓⲃⲧ (ⲡ)"	noun male	ηλοσ	nail, spike [ηλοσ]	nail, spike	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536b	"ⲉⲓϥⲧ (ⲡ)
ⲉⲓⲃⲧ (ⲡ)
ⲓϥⲧ (ⲡ)
ⲓⲃⲧ (ⲡ)"			ⲉⲓϥⲧ (ⲡ)	ⲉⲓϥⲧ (ⲡ)	ⲓϥⲧ (ⲡ)	"ⲉⲓⲃⲧ (ⲡ)
ⲓϥⲧ (ⲡ)
ⲓⲃⲧ (ⲡ)"		ⲓⲃⲧ (ⲡ)		0
2860	1836	2859	(S,Sf,sA,B) Ss p..ei.,Se p..ei.	0	blow, wound of nail	blow, wound of nail		536b	10	2010-03-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/2860.html	(S, Sf, sA, B) ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.	(S, Sf, sA, B) ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.	ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.	(S, Sf, sA, B) ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.	-		blow, wound of nail	blow, wound of nail	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536b	ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.		ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.		ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.	ϣⲥ ⲡⲉⲓ., ϣⲉ ⲡⲉⲓ.					1
2861	1836	2859	(B) T i.	0	put, fix nail	put, fix nail		536b	11	2010-03-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/2861.html	(B) ϯ ⲓ.	(B) ϯ ⲓ.	ϯ ⲓ.	(B) ϯ ⲓ.	-		put, fix nail	put, fix nail	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=536b						ϯ ⲓ.					1
2875	1840	0	mntwJ	0				539a	1	2010-03-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/2875.html	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539a	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	ⲙⲛⲧⲱϫ	0
2881	1841	0	(S,A,B) ^^	1	cold, frost /$gk: [[cuxos, pagos]]$/	cold, frost /$gk: [[cuxos, pagos]]$/	cuxos, pagos	540a	1	2010-03-08	2012-10-05	vagrant	vagrant	https://pishoyg.github.io/crum/2881.html	(S, A, B) ―	(S, A, B) ―	―	(S, A, B) ― (ⲡ)	noun male	ξυχοσ, παγοσ	cold, frost [ξυχοσ, παγοσ]	cold, frost	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=540a	― (ⲡ)			― (ⲡ)		― (ⲡ)					0
