key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
8150	2320	3742	^^^ e-	0	for	for		737a	12	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8150.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-		for	for	for	for	for	for	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=737a	737	a	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
8151	2321	0	^^^ e-	0	(sim)	(sim)		737b	1	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8151.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-		<i>sim</i>	sim	<i>sim</i>	<i>sim</i>	<i>sim</i>	sim	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=737b	737	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	0
3743	2322	0	(S) ape nH.	0	head watchman /$gk: [[prwtofulaj, arxifulaj]]$/	head watchman /$gk: [[prwtofulaj, arxifulaj]]$/	prwtofulaj, arxifulaj	738a	1	2010-03-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3743.html	(S) ⲁⲡⲉ ⲛϩ.	(S) ⲁⲡⲉ ⲛϩ.	(S) ⲁⲡⲉ ⲛϩ.	(S) ⲁⲡⲉ ⲛϩ.	ⲁⲡⲉ ⲛϩ.	(S) ⲁⲡⲉ ⲛϩ.	-	πρωτοφυλαξ, αρχιφυλαξ	head watchman [πρωτοφυλαξ, αρχιφυλαξ]	head watchman [πρωτοφυλαξ, αρχιφυλαξ]	head watchman	"head watchman <span style=""opacity:0.7"">[πρωτοφυλαξ, αρχιφυλαξ]</span>"	"head watchman <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CF%81%CF%89%CF%84%CE%BF%CF%86%CF%85%CE%BB%CE%B1%CE%BE"">πρωτοφυλαξ</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CF%81%CF%87%CE%B9%CF%86%CF%85%CE%BB%CE%B1%CE%BE"">αρχιφυλαξ</a>]</span>"	head watchman	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=738a	738	a	ⲁⲡⲉ ⲛϩ.	ⲁⲡⲉ ⲛϩ.																			0
3744	2325	0	(S,sA) HiteH.	0	in the beginning	in the beginning		738b	1	2010-03-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3744.html	(S, sA) ϩⲓⲧⲉϩ.	(S, sA) ϩⲓⲧⲉϩ.	(S, sA) ϩⲓⲧⲉϩ.	(S, sA) ϩⲓⲧⲉϩ.	ϩⲓⲧⲉϩ.	(S, sA) ϩⲓⲧⲉϩ.	-		in the beginning	in the beginning	in the beginning	in the beginning	in the beginning	in the beginning	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=738b	738	b	ϩⲓⲧⲉϩ.	ϩⲓⲧⲉϩ.							ϩⲓⲧⲉϩ.	ϩⲓⲧⲉϩ.											0
3745	2325	0	(S,sA) JinteH.	0	from beginning	from beginning		738b	2	2010-03-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3745.html	(S, sA) ϫⲓⲛⲧⲉϩ.	(S, sA) ϫⲓⲛⲧⲉϩ.	(S, sA) ϫⲓⲛⲧⲉϩ.	(S, sA) ϫⲓⲛⲧⲉϩ.	ϫⲓⲛⲧⲉϩ.	(S, sA) ϫⲓⲛⲧⲉϩ.	-		from beginning	from beginning	from beginning	from beginning	from beginning	from beginning	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=738b	738	b	ϫⲓⲛⲧⲉϩ.	ϫⲓⲛⲧⲉϩ.							ϫⲓⲛⲧⲉϩ.	ϫⲓⲛⲧⲉϩ.											0
3746	2325	0	(sA) T H.	0	make beginning	make beginning		738b	3	2010-03-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3746.html	(sA) ϯ ϩ.	(sA) ϯ ϩ.	(sA) ϯ ϩ.	(sA) ϯ ϩ.	ϯ ϩ.	(sA) ϯ ϩ.	-		make beginning	make beginning	make beginning	make beginning	make beginning	make beginning	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=738b	738	b									ϯ ϩ.	ϯ ϩ.											0
3747	2325	0	(B) er nH.,oi nH.	0	be first	be first		738b	4	2010-03-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3747.html	(B) ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	(B) ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	(B) ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	(B) ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	(B) ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	-		be first	be first	be first	be first	be first	be first	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=738b	738	b											ⲉⲣ ⲛϩ., ⲟⲓ ⲛϩ.	ⲉⲣ ⲛϩ.									0
8152	2329	0		99	intr :	intr :		739b	1	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8152.html							HEADER		intr :	intr :	intr :	intr :	intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=739b	739	b																					0
8153	2329	8152	^^^ e- *^obj^*	0				739b	2	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8153.html	<i><b>c</b></i> ⲉ- {obj}	<i><b>c</b></i> ⲉ- {obj}	c ⲉ- {obj}	c ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj} (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=739b	739	b	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	ⲉ- {obj} (c)	ⲉ- {obj}	1
8154	2329	8152	(B) ^^^ eJen-	0				739b	3	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8154.html	(B) <i><b>c</b></i> ⲉϫⲉⲛ-	(B) <i><b>c</b></i> ⲉϫⲉⲛ-	(B) c ⲉϫⲉⲛ-	(B) c ⲉϫⲉⲛ-	ⲉϫⲉⲛ- (c)	(B) ⲉϫⲉⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=739b	739	b											ⲉϫⲉⲛ- (c)	ⲉϫⲉⲛ-									1
8155	2329	0		99	tr :	tr :		739b	4	2010-08-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/8155.html							HEADER		tr :	tr :	tr :	tr :	tr :	tr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=739b	739	b																					0
