key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	inflections-B	depth
409	737	0	(B) Hhppe	0	(alone = [eis Hhhte], before pron, vb)	(alone = [eis Hhhte], before pron, vb)		85b	4	2010-01-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/409.html	(B) ϩⲏⲡⲡⲉ	(B) ϩⲏⲡⲡⲉ	(B) ϩⲏⲡⲡⲉ	(B) ϩⲏⲡⲡⲉ	(B) ϩⲏⲡⲡⲉ	-		<i>alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb</i>	alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb	<i>alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb</i>	<i>alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb</i>	<i>alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb</i>	alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=85b	85	b											ϩⲏⲡⲡⲉ	ϩⲏⲡⲡⲉ									ϩⲏⲡⲡⲉ	0
410	737	0	(S) Hes,Hhs (F) Heis	0	(similar)	(similar)		86a	5	2010-01-29	2010-01-29	vagrant	vagrant	https://pishoyg.github.io/crum/410.html	"(S) ϩⲉⲥ, ϩⲏⲥ
(F) ϩⲉⲓⲥ"	"(S) ϩⲉⲥ, ϩⲏⲥ
(F) ϩⲉⲓⲥ"	"(S) ϩⲉⲥ, ϩⲏⲥ
(F) ϩⲉⲓⲥ"	"(S) ϩⲉⲥ, ϩⲏⲥ
(F) ϩⲉⲓⲥ"	"(S) ϩⲉⲥ, ϩⲏⲥ
(F) ϩⲉⲓⲥ"	-		<i>similar</i>	similar	<i>similar</i>	<i>similar</i>	<i>similar</i>	similar	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a	86	a	ϩⲉⲥ, ϩⲏⲥ	ϩⲉⲥ											ϩⲉⲓⲥ	ϩⲉⲓⲥ								0
411	737	0	(F) Hei	0	(use as [eis])	(use as [eis])		86a	6	2010-01-29	2010-01-29	vagrant	vagrant	https://pishoyg.github.io/crum/411.html	(F) ϩⲉⲓ	(F) ϩⲉⲓ	(F) ϩⲉⲓ	(F) ϩⲉⲓ	(F) ϩⲉⲓ	-		<i>use as ⲉⲓⲥ</i>	use as ⲉⲓⲥ	<i>use as ⲉⲓⲥ</i>	<i>use as ⲉⲓⲥ</i>	<i>use as ⲉⲓⲥ</i>	use as ⲉⲓⲥ	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a	86	a													ϩⲉⲓ	ϩⲉⲓ								0
412	737	0	(F) Heit,Het,Ht	0	(as last)	(as last)		86a	7	2010-01-29	2010-01-29	vagrant	vagrant	https://pishoyg.github.io/crum/412.html	(F) ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	(F) ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	(F) ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	(F) ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	(F) ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	-		<i>as last</i>	as last	<i>as last</i>	<i>as last</i>	<i>as last</i>	as last	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a	86	a													ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	ϩⲉⲓⲧ								0
413	737	0	(F) Heites	0	(as last)	(as last)		86a	8	2010-01-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/413.html	(F) ϩⲉⲓⲧⲉⲥ	(F) ϩⲉⲓⲧⲉⲥ	(F) ϩⲉⲓⲧⲉⲥ	(F) ϩⲉⲓⲧⲉⲥ	(F) ϩⲉⲓⲧⲉⲥ	-		<i>as last</i>	as last	<i>as last</i>	<i>as last</i>	<i>as last</i>	as last	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a	86	a													ϩⲉⲓⲧⲉⲥ	ϩⲉⲓⲧⲉⲥ								0
1750	738	0	(S) kot ns.	0	mill-wheel	mill-wheel		328b	1	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1750.html	(S) ⲕⲟⲧ ⲛⲥ.	(S) ⲕⲟⲧ ⲛⲥ.	(S) ⲕⲟⲧ ⲛⲥ.	(S) ⲕⲟⲧ ⲛⲥ.	(S) ⲕⲟⲧ ⲛⲥ.	-		mill-wheel	mill-wheel	mill-wheel	mill-wheel	mill-wheel	mill-wheel	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	328	b	ⲕⲟⲧ ⲛⲥ.	ⲕⲟⲧ ⲛⲥ.																				0
1751	738	0	(S) ma ns.	0	grinding place, mill	grinding place, mill		328b	2	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1751.html	(S) ⲙⲁ ⲛⲥ.	(S) ⲙⲁ ⲛⲥ.	(S) ⲙⲁ ⲛⲥ.	(S) ⲙⲁ ⲛⲥ.	(S) ⲙⲁ ⲛⲥ.	-		grinding place, mill	grinding place, mill	grinding place, mill	grinding place, mill	grinding place, mill	grinding place, mill	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	328	b	ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛⲥ.																				0
1752	738	0	(S,A,B) wne ns.,wni ns.	0	grinding stone /$gk: [[mulos]]$/	grinding stone /$gk: [[mulos]]$/	mulos	328b	3	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1752.html	(S, A, B) ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	(S, A, B) ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	(S, A, B) ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	(S, A, B) ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	(S, A, B) ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	-	μυλοσ	grinding stone [μυλοσ]	grinding stone [μυλοσ]	grinding stone	"grinding stone <span style=""opacity:0.7"">[μυλοσ]</span>"	"grinding stone <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BC%CF%85%CE%BB%CE%BF%CF%83"">μυλοσ</a>]</span>"	grinding stone	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	328	b	ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	ⲱⲛⲉ ⲛⲥ.					ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	ⲱⲛⲉ ⲛⲥ.			ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	ⲱⲛⲉ ⲛⲥ.									ⲱⲛⲉ,ⲱⲛⲓ	0
1753	738	0	(S) ^^	3	grinding	grinding		328b	4	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1753.html	(S) ―	(S) ―	(S) ―	(S) ―	(S) ― (noun)	noun		grinding	grinding	grinding	grinding	grinding	grinding	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	328	b	― (noun)	―																				0
768	740	0	(S) naSt m. (A) naQt m.	0	stiff-necked person /$gk: [[sklhrotraxhlos]]$/	stiff-necked person /$gk: [[sklhrotraxhlos]]$/	sklhrotraxhlos	163a	1	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/768.html	"(S) ⲛⲁϣⲧ ⲙ.
(A) ⲛⲁⳉⲧ ⲙ."	"(S) ⲛⲁϣⲧ ⲙ.
(A) ⲛⲁⳉⲧ ⲙ."	"(S) ⲛⲁϣⲧ ⲙ.
(A) ⲛⲁⳉⲧ ⲙ."	"(S) ⲛⲁϣⲧ ⲙ.
(A) ⲛⲁⳉⲧ ⲙ."	"(S) ⲛⲁϣⲧ ⲙ.
(A) ⲛⲁⳉⲧ ⲙ."	-	σκληροτραχηλοσ	stiff-necked person [σκληροτραχηλοσ]	stiff-necked person [σκληροτραχηλοσ]	stiff-necked person	"stiff-necked person <span style=""opacity:0.7"">[σκληροτραχηλοσ]</span>"	"stiff-necked person <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CE%BA%CE%BB%CE%B7%CF%81%CE%BF%CF%84%CF%81%CE%B1%CF%87%CE%B7%CE%BB%CE%BF%CF%83"">σκληροτραχηλοσ</a>]</span>"	stiff-necked person	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163a	163	a	ⲛⲁϣⲧ ⲙ.	ⲛⲁϣⲧ ⲙ.					ⲛⲁⳉⲧ ⲙ.	ⲛⲁⳉⲧ ⲙ.														0
