key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
3139	(B) oua	3	(meaning uncertain)	(meaning uncertain)		468b	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3139.html	(B) ⲟⲩⲁ	(B) ⲟⲩⲁ	ⲟⲩⲁ	(B) ⲟⲩⲁ (noun)			complete	noun		<i>meaning uncertain</i>	<i>meaning uncertain</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=468b						ⲟⲩⲁ (noun)					3140	3138	468		
3140	(sA) ouaibe	3	(meaning unknown)	(meaning unknown)		476a	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3140.html	(sA) ⲟⲩⲁⲓⲃⲉ	(sA) ⲟⲩⲁⲓⲃⲉ	ⲟⲩⲁⲓⲃⲉ	(sA) ⲟⲩⲁⲓⲃⲉ (noun)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=476a					ⲟⲩⲁⲓⲃⲉ (noun)						3141	3139	476		
3141	(S) ouak=	2	{tr:} (meaning unknown)	{tr:} (meaning unknown)		476b	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3141.html	(S) ⲟⲩⲁⲕ=	(S) ⲟⲩⲁⲕ=	ⲟⲩⲁⲕ=	(S) ⲟⲩⲁⲕ=			complete	verb		<b>tr:</b> <i>meaning unknown</i>	<b>tr:</b> <i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=476b	ⲟⲩⲁⲕ=										3142	3140	476		
3142	(S) oueike	2	{intr:} (meaning unknown)	{intr:} (meaning unknown)		476b	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3142.html	(S) ⲟⲩⲉⲓⲕⲉ	(S) ⲟⲩⲉⲓⲕⲉ	ⲟⲩⲉⲓⲕⲉ	(S) ⲟⲩⲉⲓⲕⲉ			complete	verb		<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=476b	ⲟⲩⲉⲓⲕⲉ										3143	3141	476		
3143	(S) oualme,ouolme	4	(meaning unknown, something for which rent or hire paid)	(meaning unknown, something for which rent or hire paid)		477b	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3143.html	(S) ⲟⲩⲁⲗⲙⲉ, ⲟⲩⲟⲗⲙⲉ	(S) ⲟⲩⲁⲗⲙⲉ, ⲟⲩⲟⲗⲙⲉ	ⲟⲩⲁⲗⲙⲉ, ⲟⲩⲟⲗⲙⲉ	(S) ⲟⲩⲁⲗⲙⲉ, ⲟⲩⲟⲗⲙⲉ (ⲧ)			complete	noun female		<i>meaning unknown, something for which rent or hire paid</i>	<i>meaning unknown, something for which rent or hire paid</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=477b	ⲟⲩⲁⲗⲙⲉ, ⲟⲩⲟⲗⲙⲉ (ⲧ)										3144	3142	477		
3144	(S) ouwlp,ouolp=	2	(meaning uncertain, implies damaging action)	(meaning uncertain, implies damaging action)		477b	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3144.html	(S) ⲟⲩⲱⲗⲡ, ⲟⲩⲟⲗⲡ=	(S) ⲟⲩⲱⲗⲡ, ⲟⲩⲟⲗⲡ=	ⲟⲩⲱⲗⲡ, ⲟⲩⲟⲗⲡ=	(S) ⲟⲩⲱⲗⲡ, ⲟⲩⲟⲗⲡ=			complete	verb		<i>meaning uncertain, implies damaging action</i>	<i>meaning uncertain, implies damaging action</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=477b	ⲟⲩⲱⲗⲡ, ⲟⲩⲟⲗⲡ=										3145	3143	477	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 2562-->  <td colspan=""5"" class=""bordered"">(S) ⲟⲩⲗⲡⲉ (noun)</td> <td colspan=""4"" class=""bordered""> <b>(noun)</b><br/> hollow place (?) </td> <td rowspan=""1"" class=""bordered""><b>Crum: </b><span class=""crum-page"">477b</span></td> </tr> </table>"	<ul> <li> (S) ⲟⲩⲗⲡⲉ (noun)<br/>(noun) hollow place (?) </li> </ul>
3145	(B) ouwmt	2	{intr:} be swollen /*?*/	{intr:} be swollen /*?*/		480a	6	0	2010-03-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/3145.html	(B) ⲟⲩⲱⲙⲧ	(B) ⲟⲩⲱⲙⲧ	ⲟⲩⲱⲙⲧ	(B) ⲟⲩⲱⲙⲧ			complete	verb		<b>intr:</b> be swollen (?)	<b>intr:</b> be swollen (?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=480a						ⲟⲩⲱⲙⲧ					3146	3144	480		
3146	(S) oueeienin,oueeinin,ouaeienin,ouoeienin (S,F) oueienin,oueenin (A,sA) oua$^e^$ianin (A) ouaianin (B) oueinin (F) ouienin	3	Ionian, Greek /$gk: [[Ellhn]]$/	Ionian, Greek /$gk: [[Ellhn]]$/	Ellhn	484a	6	0	2010-03-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/3146.html	"(S) ⲟⲩⲉⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲓⲛⲓⲛ, ⲟⲩⲁⲉⲓⲉⲛⲓⲛ, ⲟⲩⲟⲉⲓⲉⲛⲓⲛ
(S, F) ⲟⲩⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲛⲓⲛ
(A, sA) ⲟⲩⲁ(ⲉ)ⲓⲁⲛⲓⲛ
(A) ⲟⲩⲁⲓⲁⲛⲓⲛ
(B) ⲟⲩⲉⲓⲛⲓⲛ
(F) ⲟⲩⲓⲉⲛⲓⲛ"	"(S) ⲟⲩⲉⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲓⲛⲓⲛ, ⲟⲩⲁⲉⲓⲉⲛⲓⲛ, ⲟⲩⲟⲉⲓⲉⲛⲓⲛ
(S, F) ⲟⲩⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲛⲓⲛ
(A, sA) ⲟⲩⲁ(ⲉ)ⲓⲁⲛⲓⲛ
(A) ⲟⲩⲁⲓⲁⲛⲓⲛ
(B) ⲟⲩⲉⲓⲛⲓⲛ
(F) ⲟⲩⲓⲉⲛⲓⲛ"	ⲟⲩⲉⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲓⲛⲓⲛ, ⲟⲩⲁⲉⲓⲉⲛⲓⲛ, ⲟⲩⲟⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲛⲓⲛ, ⲟⲩⲁⲓⲁⲛⲓⲛ, ⲟⲩⲁⲉⲓⲁⲛⲓⲛ, ⲟⲩⲁⲓⲁⲛⲓⲛ, ⲟⲩⲉⲓⲛⲓⲛ, ⲟⲩⲓⲉⲛⲓⲛ	"(S) ⲟⲩⲉⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲓⲛⲓⲛ, ⲟⲩⲁⲉⲓⲉⲛⲓⲛ, ⲟⲩⲟⲉⲓⲉⲛⲓⲛ (noun)
(S, F) ⲟⲩⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲛⲓⲛ (noun)
(A, sA) ⲟⲩⲁⲓⲁⲛⲓⲛ, ⲟⲩⲁⲉⲓⲁⲛⲓⲛ (noun)
(A) ⲟⲩⲁⲓⲁⲛⲓⲛ (noun)
(B) ⲟⲩⲉⲓⲛⲓⲛ (noun)
(F) ⲟⲩⲓⲉⲛⲓⲛ (noun)"			complete	noun	Ελλην	Ionian, Greek [Ελλην]	Ionian, Greek	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=484a	"ⲟⲩⲉⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲓⲛⲓⲛ, ⲟⲩⲁⲉⲓⲉⲛⲓⲛ, ⲟⲩⲟⲉⲓⲉⲛⲓⲛ (noun)
ⲟⲩⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲛⲓⲛ (noun)"			"ⲟⲩⲁⲓⲁⲛⲓⲛ, ⲟⲩⲁⲉⲓⲁⲛⲓⲛ (noun)
ⲟⲩⲁⲓⲁⲛⲓⲛ (noun)"	ⲟⲩⲁⲓⲁⲛⲓⲛ, ⲟⲩⲁⲉⲓⲁⲛⲓⲛ (noun)	ⲟⲩⲉⲓⲛⲓⲛ (noun)	"ⲟⲩⲉⲓⲉⲛⲓⲛ, ⲟⲩⲉⲉⲛⲓⲛ (noun)
ⲟⲩⲓⲉⲛⲓⲛ (noun)"				3147	3145	484		
3147	(S) our-	4	(among harness [[zugodesmion]])	(among harness [[zugodesmion]])		488b	6	0	2010-03-03	2010-03-03	vagrant	vagrant	https://pishoyg.github.io/crum/3147.html	(S) ⲟⲩⲣ-	(S) ⲟⲩⲣ-	ⲟⲩⲣ-	(S) ⲟⲩⲣ- (ⲧ)			complete	noun female		<i>among harness ζυγοδεσμιον </i>	<i>among harness ζυγοδεσμιον </i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=488b	ⲟⲩⲣ- (ⲧ)										3148	3146	488		
3148	(O) ****$^ouhr^$,ouhre	6	great, (only in name [esouhre-] [[Esouhris]])	great, (only in name [esouhre-] [[Esouhris]])		488b	6	0	2010-03-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/3148.html	(O) <i>female: </i>(ⲟⲩⲏⲣ), ⲟⲩⲏⲣⲉ	(O) <i>female: </i>(ⲟⲩⲏⲣ), ⲟⲩⲏⲣⲉ	(ⲟⲩⲏⲣ), ⲟⲩⲏⲣⲉ (ⲧ)	(O) (ⲟⲩⲏⲣ), ⲟⲩⲏⲣⲉ (ⲧ)			complete	adjective		great, <i>only in name ⲉⲥⲟⲩⲏⲣⲉ- Εσουηρισ </i>	great, <i>only in name ⲉⲥⲟⲩⲏⲣⲉ- Εσουηρισ </i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=488b									(ⲟⲩⲏⲣ), ⲟⲩⲏⲣⲉ (ⲧ)		3149	3147	488		
