key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
3039	(S) poqe	2	{tr:} (meaning unknown, ?) catch (as fisherman)	{tr:} (meaning unknown, ?) catch (as fisherman)		277a	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3039.html	(S) ⲡⲟⲑⲉ	(S) ⲡⲟⲑⲉ	ⲡⲟⲑⲉ	(S) ⲡⲟⲑⲉ			complete	verb		<b>tr:</b> <i>meaning unknown, ?</i> catch <i>as fisherman</i>	<b>tr:</b> <i>meaning unknown, ?</i> catch <i>as fisherman</i>	<b>tr:</b> <i>meaning unknown, ?</i> catch <i>as fisherman</i>	<b>tr:</b> <i>meaning unknown, ?</i> catch <i>as fisherman</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=277a	ⲡⲟⲑⲉ										3040	3038	277		
3040	(S) poeiS	1	rung, step (of ladder)	rung, step (of ladder)		277a	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3040.html	(S) ⲡⲟⲉⲓϣ	(S) ⲡⲟⲉⲓϣ	ⲡⲟⲉⲓϣ	(S) ⲡⲟⲉⲓϣ (ⲡ)			complete	noun male		rung, step <i>of ladder</i>	rung, step <i>of ladder</i>	rung, step <i>of ladder</i>	rung, step <i>of ladder</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=277a	ⲡⲟⲉⲓϣ (ⲡ)										3041	3039	277		
3041	(S) pJw	1	(meaning uncertain), hard, tough flesh (or) nightshade /$gk: [[strifnos]]$/	(meaning uncertain), hard, tough flesh (or) nightshade /$gk: [[strifnos]]$/	strifnos	285b	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3041.html	(S) ⲡϫⲱ	(S) ⲡϫⲱ	ⲡϫⲱ	(S) ⲡϫⲱ (ⲡ)			complete	noun male	στριφνοσ	<i>meaning uncertain</i>, hard, tough flesh <i>or</i> nightshade [στριφνοσ]	<i>meaning uncertain</i>, hard, tough flesh <i>or</i> nightshade	"<i>meaning uncertain</i>, hard, tough flesh <i>or</i> nightshade <span style=""opacity:0.7"">[στριφνοσ]</span>"	"<i>meaning uncertain</i>, hard, tough flesh <i>or</i> nightshade <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CF%84%CF%81%CE%B9%CF%86%CE%BD%CE%BF%CF%83"">στριφνοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=285b	ⲡϫⲱ (ⲡ)										3042	3040	285		
3042	(S) *poGle	3	(meaning unknown, part or quantity of vegetables)	(meaning unknown, part or quantity of vegetables)		286b	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3042.html	(S) <i>plural: </i>ⲡⲟϭⲗⲉ	(S) <i>plural: </i>ⲡⲟϭⲗⲉ	ⲡⲟϭⲗⲉ (ⲛ)	(S) ⲡⲟϭⲗⲉ (ⲛ)			complete	noun		<i>meaning unknown, part or quantity of vegetables</i>	<i>meaning unknown, part or quantity of vegetables</i>	<i>meaning unknown, part or quantity of vegetables</i>	<i>meaning unknown, part or quantity of vegetables</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=286b	ⲡⲟϭⲗⲉ (ⲛ)										3043	3041	286		
3043	(S) pwGm	3	(meaning unknown)	(meaning unknown)		286b	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3043.html	(S) ⲡⲱϭⲙ	(S) ⲡⲱϭⲙ	ⲡⲱϭⲙ	(S) ⲡⲱϭⲙ (noun)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=286b	ⲡⲱϭⲙ (noun)										3044	3042	286		
3044	(Sf) rakrek,leklwk	2	{intr & tr:} (meaning uncertain)	{intr & tr:} (meaning uncertain)		293a	6	0	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/3044.html	(Sf) ⲣⲁⲕⲣⲉⲕ, ⲗⲉⲕⲗⲱⲕ	(Sf) ⲣⲁⲕⲣⲉⲕ, ⲗⲉⲕⲗⲱⲕ	ⲣⲁⲕⲣⲉⲕ, ⲗⲉⲕⲗⲱⲕ	(Sf) ⲣⲁⲕⲣⲉⲕ, ⲗⲉⲕⲗⲱⲕ			complete	verb		<b>intr & tr:</b> <i>meaning uncertain</i>	<b>intr & tr:</b> <i>meaning uncertain</i>	<b>intr & tr:</b> <i>meaning uncertain</i>	<b>intr & tr:</b> <i>meaning uncertain</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=293a			ⲣⲁⲕⲣⲉⲕ, ⲗⲉⲕⲗⲱⲕ								3045	3043	293		
3045	(S,F) $^rpw^$,erpw	3	(meaning uncertain, related to vine leaves,) twig ?	(meaning uncertain, related to vine leaves,) twig ?		298b	6	0	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/3045.html	(S, F) (ⲣⲡⲱ), ⲉⲣⲡⲱ	(S, F) (ⲣⲡⲱ), ⲉⲣⲡⲱ	(ⲣⲡⲱ), ⲉⲣⲡⲱ	(S, F) (ⲣⲡⲱ), ⲉⲣⲡⲱ (noun)			complete	noun		<i>meaning uncertain, related to vine leaves,</i> twig ?	<i>meaning uncertain, related to vine leaves,</i> twig ?	<i>meaning uncertain, related to vine leaves,</i> twig ?	<i>meaning uncertain, related to vine leaves,</i> twig ?	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=298b	(ⲣⲡⲱ), ⲉⲣⲡⲱ (noun)						(ⲣⲡⲱ), ⲉⲣⲡⲱ (noun)				3046	3044	298		
3046	(S) rermh	1	(quantity, measure of land)	(quantity, measure of land)		299b	6	0	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/3046.html	(S) ⲣⲉⲣⲙⲏ	(S) ⲣⲉⲣⲙⲏ	ⲣⲉⲣⲙⲏ	(S) ⲣⲉⲣⲙⲏ (ⲡ)			complete	noun male		<i>quantity, measure of land</i>	<i>quantity, measure of land</i>	<i>quantity, measure of land</i>	<i>quantity, measure of land</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=299b	ⲣⲉⲣⲙⲏ (ⲡ)										3047	3045	299		
3047	(S) rht	1	(a title ?)	(a title ?)		303b	6	0	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/3047.html	(S) ⲣⲏⲧ	(S) ⲣⲏⲧ	ⲣⲏⲧ	(S) ⲣⲏⲧ (ⲡ)			complete	noun male		<i>a title ?</i>	<i>a title ?</i>	<i>a title ?</i>	<i>a title ?</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=303b	ⲣⲏⲧ (ⲡ)										3048	3046	303		
3048	(S) rate	3	(nn as adj, meaning unknown)	(nn as adj, meaning unknown)		304b	6	0	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/3048.html	(S) ⲣⲁⲧⲉ	(S) ⲣⲁⲧⲉ	ⲣⲁⲧⲉ	(S) ⲣⲁⲧⲉ (noun)			complete	noun		<i>nn as adj, meaning unknown</i>	<i>nn as adj, meaning unknown</i>	<i>nn as adj, meaning unknown</i>	<i>nn as adj, meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=304b	ⲣⲁⲧⲉ (noun)										3049	3047	304		
