key	dawoud-pages	dawoud-pages-redone
2779	59a	
319	59a	
1576	59b	
2790	59b	
128	59b-60a	
1586	60a	
1682	60a	
1588	60a	
901	60a-60b	
1597	60b	
2777	60b	
491	61a	
1563	61b	
3106	61b	
1583	55a-55b,431a	
1592	62a,433b	
271	62a,447a,458a-458b	
1602	62a,447a,458a-458b	
83	62a-62b,447b-448a,458b-459a	
1666	56b,62b	
2789	62b,466a	
2788	61b,63a	
2776	63a	
2786	63b	
2787	63b	
1668	63b,467a,628b	
1670	63b	
2791	64a	
1693	64a,72b-73b	
2792	64b	
2783	64b	
1621	64b	
1575	65a	
2781	65a	
1633	65a	
1623	64b-65a	
2828		
2773	65b,72b	
241	65b,474b-475a,59b	
2774	62a,65b	
1580	65b-66a	
221	66a	
1589	66a-66b	
204	66b	
391	66b-67a	
364	67a-67b	
956	67b	
1694	67b	
1671	67b-68b	
368	68b	
1629	68b-69a	
1638	69a	
2785	69a	
1655	69a-70a	
236	70a-72b	
344	73b-74a	
246	74b	
1660	74b	
5	75a-77b	
2793	77b	
2797	78a	
2796	78a	
746	79a	
175	79a,229a	
691	79a-79b	
300	79b-80a	
709	80b	
93	78b-79a,80b	
124	81b-82b,7b	
125	82b-83a,232a	
723	83a	
724	83a	
710	83a	
730	80a-80b,83b	
732	78a-79a,83b	
1248	84a	
755	84a	
2798	84a,238a	
2799	84a	
23	84a-85a,308a,39b-40a,2a,230a,11a-11b	
737	85a-85b	
681	85b	
2417	85b-86a	
212	86b,86b	
693	86a,78a,46a,47b	
692	86b,77b-78a	
237	86b-87a,83b	
458	87a	
743	87a-87b,81a	
57	87b	
745	87b	
750	88a	
751	88a-88b	
752		
754	88b	
2802	89a	
2507	89a	
775	89b,510a	
770		
2830	89b	
2842	90a	
802		
2849	90a	
782		
2835	90a	
2844	90a	
2843	90a,792b	
805	90a-90b	
2854	90b	
808	90b	
2859	90b	
2861	90b	
829	90b	
830	90b	
836		
2863	90b-91a	
848	91a,107b	
851		
2866	91a	
853	91a	
287	91a-91b	
862	91b	
865	91b	
871		
874		
884		
879	92a	
2877	92a	
873	92a	
2882	92a	
2884	92a,511b	
891	92a-92b	
896	92b	
892		
897		
893	92b	
2885	92b	
2887	92b	
941	114b,98a,93a-93b	
108	92b-93a	
2895		
2896	93b	
2898		
2875	93b-94a	
103	94b-95a	
771	95b	
2831	95b	
784	95b	
790	95b	
791	95b-96a	
2834	96a	
785		
787	96a	
2840	96a	
2833	96a	
792	96a	
2838	96a	
2847	96a,97b	
2846	96a	
2848	96a	
806	96b	
817	96b	
2858	96b	
818	96b-97a	
726	97a	
2878	97a	
847	97a	
2870	97a,512b	
854	97a-97b	
858		
2872	97b	
2624	97b,830b,785b	
875		
2890	97b-98a	
825	98a	
942	98a	
757	98a	
2803	98b	
2804	98b	
776		
2855	98b-99a	
885		
894		
765		
213	99b-100b	
831		
866	100b	
877		
878		
2879		
886	100b,96b-97a	
640	100b	
876	100b-101a	
2876	100b-101a	
788	101a	
798	101a	
803	514a-514b,101a	
779		
778	101a,514b	
780	101a	
2851	101a	
796	101b	
259	101b	
793		
797	101b	
801		
800	101b	
2839	101b	
823	102a,810b,753a	
2856	102a	
2857		
2860		
826	102a,97a	
759		
2800		
2805	102a,109a	
863	102a	
760	102a	
2892	102a-102b,109a	
2836	102b	
786	102b	
2845	102b	
807	102b	
816		
824		
810	102b	
2880	103a,111b	
2867	103a	
842	103a	
2868		
2871	103b,515b	
868	103b,97b	
761		
769	105a	
2806	105a	
2807		
773	105a	
774	105a	
2852	105a	
772	105a	
2881	105a-105b	
2850	105b	
827	105b,103a	
834	105b,515b	
837	105b	
2864	105b	
838	106a	
2883	106a	
2886		
2891		
61	106a-107a	
2869	107b	
852		
840	107b	
2865		
850		
861	107b	
859		
880	107b	
258	107b-108b,430b-431a	
881	108b	
763		
479	108b-109a	
764	109a	
2801	109a	
647	109a	
153	109a-109b,519b	
2521	109b	
777	109b	
799	110a	
804	110a-110b	
405	110b-111a	
2853		
809	111a-111b	
2862	111b	
839	111b	
844	111b	
308	111b-112a	
856	112a-112b	
2873	112b	
864	112b-113a	
872	113a-114a	
882		
883	114a	
766	114a	
783		
841	114a	
895	114a	
2889		
2894		
115	114b	
102	114b-116b	
2897		
943	117a	
958	117a	
2914	117b	
72	117b-118b	
1006		
2902	118b	
944	119a	
991	119a	
2908	119a	
952	119a	
951	119a-119b	
2910	119b	
2909	119b	
962	119b	
2912	119b	
2917	120a	
964	119b-120a	
2919	120a	
2922	120a	
2925	120a	
990	120a	
959	120a	
1008	118b,120b	
2171	120b,2b	
996	120b	
997	120b	
1005	121a,122b	
890	120b-121a	
998	121a	
1002	121a,123b	
1004	121a	
2938	121b	
1009	121b	
2939	121b	
2942	121b	
1014	121b	
1020	122a	
2947	122a	
2948	122a	
1025	122a	
2949	122a	
2950		
1028	122a,129a	
2951	122a	
2952	122b	
945	122b,119a	
965	122b	
2916	122b	
2940	122b	
2915	122b	
966	123a	
2923		
989	123a	
2921	123a,127b	
993	123a	
2926	123a	
992	123a	
2929	123b	
2931		
995	123b	
2937		
1013	123b-124a	
2163	123a,124a	
1017	121b,124a	
2945		
2946		
2904		
2913	124a	
967	124b,128a	
2935		
2930	124b	
2899		
926	124b-125a,126b	
2903	125a	
948	125a	
969	125b	
987	125b	
960	125b,125a	
968	125b	
43	125b-126b	
2901	126b	
949	127a,129a	
2907	127a	
2906		
963	127a	
970	127a,131a	
2920		
988	131a,127b	
2941	127b	
2934		
2900		
2905	127b	
2911	128a,230b	
954	128a,127b,130b	
2933		
1021	128a	
1012	128a-128b,123b	
1027	132b,124a,124b	
1024	122a,128b-129a	
953	129a	
946	129a-129b,126b	
947	129b	
1015	129b	
653	129b-130b	
950	130b	
961	130b,127a,119b	
972	130b-131a,120a	
1007	131a	
2936		
2928	131b	
999	131b	
1001	131b	
1003	131b	
1000		
1010	131b,123b	
1011	131b,128a	
1018	132a,121b	
1022	132a,128b	
1026	132a,128b	
1023	132b	
385	132b	
332	133b-135b	
1034	135b	
1033		
1162	136a,141b	
2986		
2955		
1123	136a	
1036	136b	
1051	137a	
1052	137a,136a	
2958	137a	
740	137a	
2965		
2969	137a	
2970	137a,287a,428a	
1076	137b,137a	
2974		
2976	137b	
1074	137b	
1081	137b-138a	
1045	138a	
1089	138a	
1107	138b	
2985		
1114	35b,158a	
1115	158a	
1119	139a	
1116	139a-139b	
170	158a-158b,139b,35b	
220	139b	
1128	158b-159a,139b	
1097	139b	
1139	140a	
1142	140a	
1131	140a	
1132	35b	
29	140a-140b	
2996		
1150	140b	
303	140b	
1151	159a	
1155	141a-141b	
1156	141b	
1160	141b	
2992	141b	
3005		
3003		
1163	141b,140a	
1164		
360	141b-142a,838a-838b,139a	
1082	142a	
1046	142a	
1047	142a,33b	
1092		
2956	142b	
1079	143a-143b	
169	143b,144b-145a,136a-136b	
2960		
1055	144a	
2968	144a-144b	
2978	145a	
1080	145a,340b	
1095	145a,152a	
1105	145a	
1091	145a-145b	
1096	145b	
2983	145b	
2989		
2991		
1110	146a	
2979	146a-146b,142a	
145	146b-148a	
1133	148a-148b	
1141	148b	
1136	148b	
1137		
1166	148b,149b	
1144	149a	
2998	149b	
1159	149b	
3004		
1168	149b	
1037	149b-150a	
22	150a-150b,142a-142b	
2954		
285	150b-151a,136a	
1068	159a	
1088	151b	
1112	152b,153a,161b	
1134	152b-153a,150a	
1140	153a,156b	
1157	153a	
159	153a-153b,152b	
70	153b,180b,35b,183a	
2959	153b-154a	
1048	154a	
1069	154a-154b	
1038	154b-155a,156a	
2963	155a	
2987		
26	155a-155b,138b,145b,165b,152a-152b,60b	
1113	155b	
1135	156a-156b,139b,140a	
704	156b-157b,36b,163a-163b	
1056	157b-158a	
1064	159a	
1063	159b,159b-160a,160a-161a	
1065	161a	
1071	161a-161b	
1090	180a,145a,136a,142b	
1072	161b	
2975		
1077	161b	
1078	161b,36b	
1039	161b-162a,142b,185b	
2997	162a	
1158	162a	
1049	162b	
250	162b-163a,144a	
2966	163b	
1059	163b,168b	
933	164a-164b,6a,137b,144b,144b	
1070	164b-165a	
1075	165a	
2977	165a	
2980	165a	
1099	165b	
2988		
1109	165b,172b	
2990	166a	
78	166a,146a,139a	
1118	166a-167a,183a-184b,172b,139a,36b,162a	
118	167a-167b,187b,165b	
1041	168a,187b	
81	168a,187b	
1042	168a	
1044		
1050	168a	
2957	168a	
1053	168a-168b,144a	
2967		
1060	168b	
2961	168b	
1057	168b,163b-164a,144a	
1058	168b,164a	
1061	168b-169a,164a	
1062	169a	
1066	169a	
456	169a-169b,151a-151b	
2971		
2972		
476	169b,165a,137b	
1073	169b-170b,168a	
157	170b-172a,145a,165b,151b-152a,138a,151a,138a	
1101	172a	
955	172a	
288	172b,179b-180a	
281	172b-173b,148b,140a,177b	
380	173b-174a,179b	
260	174a-175b	
138	175b-177b	
87	177b-178b,140b-141a,149a	
1152	179a-179b	
1153	178b-179a	
1154	179a	
474	174a,179b	
1085	180a	
1083	180a-180b,184b-185a	
1084	181a,32a	
253	181a-182a,36b	
1087	182a	
2984	137a	
1100	182b,165b,152a,145b	
1103	182b,183a	
1104	182b	
1093	182b-183a	
1102		
1106	183a	
1111	183a,36b	
1120	183a	
2995	183a	
1122	183a	
234	166a-167a,183a-184b,172b,139a,36b,162a	
1121	184b	
2994		
392	185a-185b,180b-181a	
316	185b-186b,155b	
238	186b-187b,168a	
1130	187b	
3002		
1138	188a,36b,148b	
1143	182a-182b,188a	
463	188a	
3000	188b	
1167	188b	
1165	188b	
975	189b	
976	189b-190a	
974	189a-189b	
1148	190b-191a	
383	191a-191b	
3	192a-193a,191b-192a	
1178	193a	
109	193a-194a	
3009		
1201	194b	
30	194b-195a	
210	195a-196a	
1212	196b	
1211	191b,196b,198a	
833	92a	
1195	196b	
317	196b	
297	199a	
411	198b-199a,39a	
3016	199a	
1169	199a,190a-190b,194a	
1170	199b	
920	199b-201a	
1186		
3008	201a	
1200		
1197	201a-201b	
471	202a	
275	202b	
1224	203b	
1227	203b	
1226	203b	
909	203b-204b	
1233	205a-205b	
3015		
1232		
1172	205b	
3007		
1174	205b,199b	
1189	206a	
1198	207b	
1209	208b	
1183	209a-209b	
1182	209b	
88	209b-210b	
315	210b-211b	
3014		
1194	212a	
137	212a-212b	
1175	212b	
3006		
1188	212b,226b-227a	
1180	212b-213a	
1184	213a,193a	
1187	213a-213b	
1191	213b	
1214		
3012		
350	214a	
1177	214a-214b	
1171	214b,206a-207b	
1181	214b	
268	214b	
110	214b-215a	
1196	215a	
3010		
1199		
1202	215a,227a	
1205	215b,213b	
1208	215b,217a,201b,202a-202b	
982	215b-216b	
1216	216b	
1217	216b	
1219	217a	
179	217a-217b,221a-221b	
1223	217b	
1222	217b	
1228	217b	
85	218a-219a,204b-205a,208a	
1230	217b-218a	
1231	219a-219b	
404	219b	
31	219b-220b	
1215	220b	
728	220b,220b-221a,216b-217a	
1220	221a	
1221	221a	
457	221b	
400	221b-222b	
736	223a,223b	
1203	225a	
1204	224b-225a,224a-224b	
1206	226a	
1207	226a-226b	
1179	226b,38b	
348	226b	
3011	227a	
1213	227a	
3013		
1218	227a-227b	
1225		
1229	228b,39a	
1234	228b	
869		
1235	522a-522b	
3017	229a	
1236		
889	229b	
1238	229b	
3021		
186	524a,229b,682b-683a	
3022		
1239	230a	
481	230b-231a	
450	231b-232a	
3018		
1817	232a-232b,529a-529b	
520	232b,8a	
1561	61a,455b	
1245	232b	
2239	233a,722a	
1243	233b	
1244	234a-234b	
3019	234b	
3020		
374	239a-240a	
1705	240a	
3139		
1706		
1707		
1708	240a	
381	240a-240b	
68	240b-241b	
3141		
3143		
1726	241b	
1742		
1709	241b-242a,158b-159a	
3157		
1766	243a	
1768	243a,244b	
3158	243b	
1713	244b,266a,253b	
977	244b-245a	
387	245a-246a,250b	
3142		
1727	246a	
217	246a	
3146	246a	
3150		
1745	246a	
1716	246b	
1722	246b	
1731	247a	
1736	247a,21b-22a	
1737	247a	
3155		
1765		
1755		
1710	250a	
1720		
231	251a	
1748	251b	
1749	251b	
294	252a	
1741	252a-252b	
1718	252b	
1719	246b,252b	
1724	252b	
211	252b-253a	
480	253a-253b	
1746	253b	
219	253b-254b	
3156		
203	254b-255b,38b	
1711	255b	
1714	255b	
33	256a-257a	
1728	257a-257b	
1725	258a	
3151		
3152	258b	
1743	258b	
1744	258b-259a	
3153		
1715		
1762	260a	
536	260b-261a	
1767	261b,261b,243b	
84	261b	
1769	262a	
1772	261b-262a	
1774	262a	
3147		
1734	262b	
306	262b,247a	
1735	262b	
2322	262b-263a	
18	263a	
1732	263b	
1739	263b	
1753	263b-264a	
3154		
1747	264a-264b	
1754	264b	
328	264b-265b,250b	
329	265b-266a	
330	266a	
678	266a,8b-9a	
1723	269a,276b	
1758	276b-277a	
1	266b-267a	
2723	267a	
3144	267b	
1721	267b-268a	
76	268a-268b,268b-269a	
3145	269a	
8	269a-270a,9a	
1729	270a	
696	270a	
73	270b-271b	
3149		
1733	271b-272a	
1738	272a-272b	
1740		
915	272b-273a	
69	273a-273b	
697	273b	
382	273b-275b,275b	
1717	267a-267b	
74	277a-278a	
1756	278a,278a	
1759	278b-279a	
1760	279a	
1761	279a-279b	
144	279b-280a	
1763	280a-280b	
34	280b-281b,281b-282a,242a-243a	
650	282a-283a	
1770	283b	
1173	283b-284a	
3159	284a	
1773	284a	
1751	284a-284b	
375	284b	
1757	284b	
2330	285a	
695	285a	
342	285a-285b,285b	
1752	275b,275b-276a	
1830	235b,703b,232b	
148	236b-238a,238a	
1249	238a	
1250	238b	
1246	238b	
1251	286a,488a,294a,289b,427a,55a,834a,445a,209a,201a,199a-199b	
911	286b,295a	
1272	287a	
3027		
3028		
3035	287a	
3038	287a-287b	
1268	287b	
1271	287b,286b	
1301	288a	
1256	290a	
3024	291a	
3026	291b	
3029	291b	
1283	291b	
1279	291b-292a	
3032	292a	
1294	292b	
42	293a-293b	
1275	293b	
1310	294b	
3040	295a	
3039		
1266	295b	
3030		
1267	297a	
1307	297b	
1311		
3042	298a	
3033	298a	
3034	298a	
1286	298a	
1280	298b	
1284	300b	
1296	302a	
3023		
192	302a-304a	
927	304a-305b	
1304	305b	
1308	306b	
3043		
1094	306b	
3041		
2508	735b-736a	
454	308b	
1334	308b	
1339	309a	
3385	310a	
1324	310b	
1327	310b	
1325	310b	
15	310b-311a	
1345	311b-312a	
1350	312a	
1346	312a-312b	
918	312b	
1338	312b-313a	
378	313a-314a	
3048		
1352	317a,314b	
1351	314b	
1354	314b-315b	
3050	315b	
1359	316a	
1360	316a	
1363	316a	
1320	316a	
1323	316b	
1322	323b,316b	
1330	317a-317b	
3046	317b	
1314	318a	
1315	318a	
1337	318a	
1333		
1336	318b-319a	
3047		
1340	319b-320b	
1316	320b	
1319	320b	
1321	320b-322a	
356	322a-322b	
1335	322b-323a	
1341	323a	
3049	323a	
1326	323a	
1331	323a	
201	323a-323b,323a,323a,325b-326b,326b	
1317	323b	
1318	323b	
3381		
1328	324a-324b	
1329	324b	
1348	324b	
707	325a	
1362	325b	
379	326b-327b	
155	328a-328b	
136	328b-329a	
21	329a-330a	
1332	330a	
1347	330a	
1349	330b-332a,332a	
399	332a-332b	
1343	332b	
1353	332b	
441	332b-333b	
1357	333b	
725	333b-334b	
1361	334b	
1019	35a,132b	
1364	335b-336b,223b-224a,341b-342a,144b	
1365	335a-335b	
1484	342a	
376	337a-337b,351b,351b-352b,353a	
1503	338b	
1498	339a	
324	339a-339b	
3095		
1029	339b-340a	
1412		
1401	340a	
1404	340b	
1421	340b	
1435	340b	
1420	340b	
1429	340b	
1425	340b	
3066		
3074		
1442	341a	
3073		
1443	341a	
1465	341b	
3079		
1480	341b	
1464	341b	
1476	341b	
1479	341b	
3083		
1486	342a	
1483	342a,361a,364b	
1489	342a	
1493	342b	
3090	342b	
3092		
1518		
1520	343a	
1527	343b	
1528		
1524	344a	
1531	344b	
1532	344b-345a	
924	345b	
1546	345b-346a	
1547	346a	
1542	346a	
1543	346a-346b	
1545	347a-347b	
36	347b-350b	
1487	350b	
1492	350b	
3053		
1376	350b-351a	
3052		
1379	351a	
1378	351a-351b	
1366	352b-353a	
1380	353a	
1377	353b	
1381		
3100		
173	354a	
3055		
1397	355a	
1395	355a	
1407	355a	
1405	355a	
1408	355a	
1415	355b,340b	
1422	355b-356a	
913	356b-359a,375b	
1444	359b	
1456	360a	
3077		
1470	361a	
1474	361a	
1485	361a	
1505	361b,391a-391b	
1544	362b	
1374	363a,353b	
182	363a	
1436	363a	
1437	363a	
492	363b-364b	
147	365a	
1548	365a-365b	
1500	365b,354a	
1504	365b	
1496	366a	
307	366b-367a,364b	
1383	367a	
504	367a	
3057		
738	367a	
3058	367a	
3059	367a	
1419	367a-367b	
1428	367b	
1450	367b	
1438	367b-368b	
3098		
652	368b-369a	
1513	369a	
1373	369a	
1460	369a	
1458	369a	
1459	369a	
3084	369b	
3086	369b	
1512	369b	
1481		
1526	369b	
1530	370a	
815	370a	
1550	370a	
91	370a-371a,371a,350b	
1488	369b	
1392	371a	
1391	371a-371b	
1393	371b-372b	
3056	372b	
1394	372b	
1411	372b	
1418	372b	
912	373a	
3064		
1400	373a-373b	
1414	373b	
1416	373b	
1406	373b	
3065	373b	
3067	374a	
1431	374a	
1433	374a	
1434	374a	
413	374a-374b	
3070		
216	375b-377a	
240	377a-377b	
1423		
1426	377b	
1447		
119	377b-378b	
1440	378b	
1441	378b	
3072		
1449	379a	
290	379a	
1494		
1382	380a	
452	380a	
230	380b-381b	
1522	582a	
1499	381b-382a	
1368	382a	
1369	382a	
3051		
1386	382a	
1390	382b	
1396	382b,382b	
1398	382b	
1409	382b-383a	
1410	383a-384a	
1413	384a	
1427	384a-385a	
1430	385a	
3068		
1432	385a	
174	385a-385b	
930	385b	
1086	386a	
3087		
1508	386b	
248	387a	
196	387a-388b	
1452		
3076	389b	
313	388b-389a	
393	389a-389b	
1466	390a	
3078		
1472	390a	
3080	390a	
3094		
1495		
3093		
1510	392b	
1511	392a	
1402	392b,382b	
1424	392b	
1193	393a	
1461	393a	
1473		
1516		
1515	393a-393b	
1514	393b	
721	394b-395a	
1551	395b	
717	395a-395b	
314	395b-397a	
1451	397a	
3075	397a	
1475	397b,360b	
1478	397b	
3081		
322	398b-399a	
1463	397b	
530	398a,397b	
1467	397b,398a	
1471	398a	
1468		
1477	398a-398b	
1507	399a	
1501	365b,399b	
3088		
3091	400a	
1497	400a	
286	400a	
1536	400a	
302	400a-400b	
296	400b	
