book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	47	47	22	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛ̅ⲛⲉ ⲡϫⲟⲉⲓⲥ ⲇⲉ ⲕⲱ ⲛ̅ⲥⲱϥ ⲙ̅ⲡⲉϥⲛⲁ. ⲁⲩⲱ ⲛⲉϥⲕⲁ ⲧⲟⲟⲧϥ̅ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲉϥϩⲃⲏⲩⲉ	But the Lord will never leave off his mercy, neither shall any of his works perish,							
Wisdom of Jesus son of Sirach	47	47		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲛⲉϥϥⲱⲧⲉ ⲉⲃⲟⲗ ⲛ̅ⲛ̅ϣⲏⲣⲉ ⲙ̅ⲡⲉϥⲥⲱⲧⲡ ⲛ̅ⲛⲉϥϥⲓ ⲙ̅ⲡⲉⲥⲡⲉⲣⲙⲁ ⲙ̅ⲡⲉⲛⲧⲁϥⲙⲉⲣⲓⲧϥ̅.	neither will he abolish the posterity of his elect, and the seed of him that loveth him he will not take away:							
Wisdom of Jesus son of Sirach	47	47		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥϯ ⲛ̅ⲟⲩϣⲱϫⲡ̅ ⲛ̅ⲓ̈ⲁⲕⲱⲃ ⲁⲩⲱ ⲟⲩⲛⲟⲩⲛⲉ ⲛ̅ⲇⲁⲩⲉⲓⲇ ⲉⲃⲟⲗ ⲛ̅ϩⲏⲧϥ̅.	wherefore he gave a remnant unto Jacob, and out of him a root unto David.							
Wisdom of Jesus son of Sirach	47	47	23	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		........... ⲙⲛ̅ ⲛⲉϥⲉⲓⲟⲧⲉ ⲁϥⲕⲱ ⲙⲛ̅ⲛ̅ⲥⲱϥ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲉϥⲥⲡⲉⲣⲙⲁ ⲛ̅ⲟⲩⲁⲑⲏⲧ ⲙ̅ⲡⲗⲁⲟⲥ ⲉϥϣⲁⲁⲧ ⲙ̅ⲙⲛ̅ⲧⲥⲁⲃⲉ ϩⲣⲟⲃⲟⲁⲙ ⲡⲉⲛⲧⲁϥⲡⲉϣ ⲡⲗⲁⲟⲥ ϩⲙ̅ ⲡⲉϥϣⲟϫⲛⲉ.	Thus rested Solomon with his fathers, and of his seed he left behind him Roboam, even the foolishness of the people, and one that had no understanding, who turned away the people through his counsel.							
Wisdom of Jesus son of Sirach	47	47		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ϩⲓⲉⲣⲟⲃⲟⲁⲙ ⲡϣⲏⲣⲉ ⲛ̅ⲛⲁⲃⲁⲧ ⲡⲉⲛⲧⲁϥⲧⲣⲉ ⲡⲓⲥⲣⲁⲏⲗ ⲣ̅ⲛⲟⲃⲉ ⲁϥϯ ⲧⲉϩⲓⲏ ⲙ̅ⲡⲛⲟⲃⲉ ⲛ̅ⲉⲫⲣⲁⲓⲙ.	There was also Jeroboam the son of Nebat, who caused Israel to sin, and shewed Ephraim the way of sin:							
Wisdom of Jesus son of Sirach	47	47	24	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲁⲩⲁϣⲁⲓ̈ ⲛ̅ϭⲓ ⲛⲉⲩⲛⲟⲃⲉ ⲉⲙⲁⲧⲉ ⲉⲡⲟⲟⲛⲟⲩ ⲉⲃⲟⲗ ϩⲛ̅ ⲡⲉⲩⲕⲁϩ.	And their sins were multiplied exceedingly, that they were driven out of the land.							
Wisdom of Jesus son of Sirach	47	47	25	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲁϥϣⲓⲛⲉ ⲛ̅ⲥⲁ ⲡⲟⲛⲏⲣⲓⲁ ⲛⲓⲙ ϣⲁⲛⲧⲉ ⲡϫⲓⲕⲃⲁ ⲉⲓ ⲉϩⲣⲁⲓ̈ ⲉϫⲱⲟⲩ.	For they sought out all wickedness, till the vengeance came upon them.							
Wisdom of Jesus son of Sirach	48	48	1	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲁϥⲧⲱⲟⲩⲛ ⲛ̅ϭⲓ ϩⲏⲗⲓⲁⲥ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲛ̅ⲑⲉ ⲛ̅ⲟⲩⲕⲱϩⲧ̅ ⲉⲣⲉ ⲡⲉϥϣⲁϫⲉ ⲙⲟⲩϩ ⲛ̅ⲑⲉ ⲛ̅ⲛⲓⲗⲁⲙⲡⲁⲥ:	Then stood up Elias the prophet as fire, and his word burned like a lamp.							
Wisdom of Jesus son of Sirach	48	48	2	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲁⲓ̈ ⲉⲛⲧⲁϥⲉⲓⲛⲉ ⲙ̅ⲫⲉⲃⲱⲱⲛ ⲉϩⲣⲁⲓ̈ ⲉϫⲱⲟⲩ ⲁⲩⲱ ⲁϥⲧⲥ̅ⲃⲕⲟⲟⲩ ϩⲛ̅ ⲡⲉϥⲕⲱϩ.	He brought a sore famine upon them, and by his zeal he diminished their number.							
Wisdom of Jesus son of Sirach	48	48	3	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲥⲉϣⲧ̅ ⲧⲡⲉ ϩⲙ̅ ⲡϣⲁϫⲉ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲁϥⲛ̅ ⲡⲕⲱϩⲧ ⲉϫⲱⲟⲩ ⲛ̅ϣⲙ̅ⲧ ⲥⲟⲡ.	By the word of the Lord he shut up the heaven, and also three times brought down fire.							
Wisdom of Jesus son of Sirach	48	48	4	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲕϫⲓⲉⲟⲟⲩ ϩⲏⲗⲓⲁⲥ ϩⲛ̅ ⲛⲉϣⲡⲏⲣⲉ ⲁⲩⲱ ⲛⲓⲙ ⲡⲉϯⲛⲉ ⲙ̅ⲙⲟⲕ ⲉⲧⲣⲉϥϣⲟⲩϣⲟⲩ ⲙ̅ⲙⲟϥ;	O Elias, how wast thou honoured in thy wondrous deeds! and who may glory like unto thee!							
Wisdom of Jesus son of Sirach	48	48	5	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲛⲧⲁϥⲧⲟⲩⲛⲉⲥ ⲟⲩⲕⲱⲱⲥ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲙⲟⲩ ⲁⲩⲱ ϩⲛ̅ ⲁⲙⲛ̅ⲧⲉ ϩⲙ̅ ⲡϣⲁϫⲉ ⲙ̅ⲡⲉⲧϫⲟⲥⲉ:	Who didst raise up a dead man from death, and his soul from the place of the dead, by the word of the most High:							
Wisdom of Jesus son of Sirach	48	48	6	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲧⲛⲁϥⲧⲁⲩⲉ ⲛ̅ⲉⲣⲱⲟⲩ ..... ⲁⲩⲱ ⲛⲉⲧϩⲁ ⲉⲟⲟⲩ ⲉⲃⲟⲗ ϩⲛ̅ ⲡⲉⲩϭⲗⲟϭ:	Who broughtest kings to destruction, and honourably men from their bed:							
Wisdom of Jesus son of Sirach	48	48	7	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲧⲥⲱⲧⲙ̅ ⲉⲡⲉϫⲡⲓⲟ ϩⲛ̅ ⲥⲉⲓⲛⲁ ⲁⲩⲱ ⲛⲉϩⲁⲡ ⲙ̅ⲡⲉⲕⲃⲁ ⲛ̅ⲭⲱⲣⲏⲃ:	Who heardest the rebuke of the Lord in Sinai, and in Horeb the judgment of vengeance:							
Wisdom of Jesus son of Sirach	48	48	8	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲧⲧⲁϩⲥ̅ ⲛ̅ⲛⲉⲓⲉⲣⲟ ⲉⲩⲧⲱⲱⲃⲉ ⲁⲩⲱ ⲛⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲉⲣ̅ ⲡⲉϥⲙⲁ ⲙⲛ̅ⲛ̅ⲥⲱϥ:	Who anointedst kings to take revenge, and prophets to succeed after him:							
Wisdom of Jesus son of Sirach	48	48	9	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲛⲁⲩⲁⲛⲁⲗⲁⲙⲃⲁⲛⲉ ⲙ̅ⲙⲟϥ ϩⲛ̅ ⲟⲩⲉⲙⲛ̅ⲧ ⲛ̅ⲕⲱϩⲧ̅ ϩⲛ̅ ⲟⲩϩⲁⲣⲙⲁ ⲛ̅ϩⲧⲟ ⲛ̅ⲕⲱϩⲧ̅:	Who was taken up in a whirlwind of fire, and in a chariot of fiery horses:							
