book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Solomon	19	19	20	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	06. Wisdom of Solomon		ⲡⲕⲱϩⲧ̅ ⲧ ⲇⲉ ⲁϥϭⲙ̅ϭⲟⲙ ϩⲙ̅ ⲡⲙⲟⲟⲩ ⲧϭⲟⲙ ⲉϣⲁⲥⲟϣⲙⲉϥ ⲁⲩⲱ ⲡⲙⲟⲟⲩ ⲁϥⲣ̅ⲡⲱⲃϣ̅ ⲛ̅ⲧⲉϥⲫⲩⲥⲓⲥ ⲣ̅ⲣⲉϥⲱϣⲙ̅.	The fire had power in the water, forgetting his own virtue: and the water forgat his own quenching nature.	πῦρ ἴσχυεν ἐν ὕδατι τῆς ἰδίας δυνάµεως, καὶ ὕδωρ τῆς σβεστικῆς φύσεως ἐπελανθάνετο·						
Wisdom of Solomon	19	19	21	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	06. Wisdom of Solomon		ⲡϣⲁϩ ⲛ̅ⲧⲥⲁⲧⲉ ⲙ̅ⲡϥ̅.... ⲛ̅ⲛ̅ⲥⲁⲣⲝ ⲛ̅ⲛ̅ⲍⲱⲟⲛ ⲉⲩⲙⲟⲟϣⲉ ⲉⲩⲙⲟⲧⲛ̅ ⲛ̅ⲧⲁⲕⲟⲟⲩ ⲟⲩⲧⲉ ⲧⲉϩⲣⲉ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲉⲧⲉⲓⲛⲉ ⲙ̅ⲡⲉⲕⲣⲩⲥⲧⲁⲗⲗⲟⲥ ⲛ̅ⲃⲟⲗϥ̅ ⲉⲃⲟⲗ.	On the other side, the flames wasted not the flesh of the corruptible living things, though they walked therein; neither melted they the icy kind of heavenly meat that was of nature apt to melt.	φλόγες ἀνάπαλιν εὐφθάρτων ζῴων οὐκ ἐµάραναν σάρκας ἐµπεριπατούντων, οὐδὲ τηκτὸν κρυσταλλοειδὲς εὔτηκτον γένος ἀµβροσίας τροφῆς.						
Wisdom of Solomon	19	19	22	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	06. Wisdom of Solomon		ϩⲛ̅ ϩⲱⲃ ⲅⲁⲣ ⲛⲓⲙ ⲡϫⲟⲉⲓⲥ ⲁⲕϫⲓⲥⲉ ⲁⲩⲱ ⲁⲕϯⲉⲟⲟⲩ ⲙ̅ⲡⲉⲕⲣⲁⲛ: ⲙ̅ⲡⲉⲕⲟⲃϣⲕ̅ ⲉⲣⲟⲟⲩ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ⲉⲕⲙⲟⲟϣⲉ ⲛⲙ̅ⲙⲁⲩ ϩⲙ̅ ⲙⲁ ⲛⲓⲙ.	For in all things, O Lord, thou didst magnify thy people, and glorify them, neither didst thou lightly regard them: but didst assist them in every time and place.	Κατὰ πάντα γάρ, κύριε, ἐµεγάλυνας τὸν λαόν σου καὶ ἐδόξασας καὶ οὐχ ὑπερεῖδες ἐν παντὶ καιρῷ καὶ τόπῳ παριστάµενος.						
Wisdom of Solomon	19	19		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	06. Wisdom of Solomon		ⲧⲥⲟⲫⲓⲁ ⲛ̅ⲥⲟⲗⲟⲙⲱⲛ								
Wisdom of Jesus son of Sirach	1	01		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲧⲥⲟⲫⲓⲁ ⲛ̅ⲓ̈ⲏⲥⲟⲩⲥ ⲡϣⲏⲣⲉ ⲛ̅ⲥⲉⲓⲣⲁⲭ								
Wisdom of Jesus son of Sirach	1	01		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		............................ ⲟⲩⲫⲓⲗⲟⲡⲟⲛⲓⲁ ⲉⲧⲣⲁϩⲉⲣⲙⲏⲛⲉⲩⲉ ⲙ̅ⲡⲉⲓ̈ϫⲱⲱⲙⲉ: ⲁⲓⲣ̅ ϩⲛ̅ⲛⲟϭ ⲅⲁⲣ ⲟⲩϣⲏ ⲛ̅ⲣⲟⲉⲓⲥ ϩⲛ̅ ⲟⲩⲙⲛ̅ⲧⲣⲙⲁⲛ̅ϩⲏⲧ .... ⲟⲩⲛⲟϭ ⲛ̅ⲟⲩⲟⲉⲓϣ ϣⲁⲛϯ .... ⲉⲡϫⲱⲱⲙⲉ ⲉⲃⲟⲗ ⲉⲧⲁⲁϥ ⲛ̅ⲛ̅ⲕⲟⲟⲩ ..... .......................								
Wisdom of Jesus son of Sirach	1	01	1	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ϯⲥⲟⲫⲓⲁ ⲧⲏⲣⲥ ⲟⲩ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲥϣⲟⲡ ⲛⲉⲙⲁϥ ϣⲁ ⲉⲛⲉϩ	ⲧⲥⲟⲫⲓⲁ ⲧⲏⲣⲥ̅ ....	All wisdom cometh from the Lord, and is with him for ever.	Πᾶσα σοφία παρὰ κυρίου καὶ µετ’ αὐτοῦ ἐστιν εἰς τὸν αἰῶνα.						
Wisdom of Jesus son of Sirach	1	01	2	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲛⲓⲙ ⲉⲑⲛⲁϣⲱⲡ ⲙ̀ⲡⲓϣⲱ ⲛ̀ⲧⲉ ⲫⲓⲟⲙ ⲛⲉⲙ ⲛⲓⲧⲉⲗⲧⲓⲗⲓ ⲙ̀ⲙⲟⲩⲛϩⲱⲟⲩ ⲛⲉⲙ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲛⲓⲉⲛⲉϩ	...	Who can number the sand of the sea, and the drops of rain, and the days of eternity?	ἄµµον θαλασσῶν καὶ σταγόνας ὑετοῦ καὶ ἡµέρας αἰῶνος τίς ἐξαριθµήσει;						
Wisdom of Jesus son of Sirach	1	01	3	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲛⲓⲙ ⲉⲑⲛⲁϣϧⲟⲧϧⲉⲧ ⲙ̀ⲡϭⲓⲥⲓ ⲛ̀ⲧⲉ ⲧⲫⲉ ⲛⲉⲙ ⲡⲧⲁϫⲣⲟ ⲙ̀ⲡⲓⲕⲁϩⲓ ⲛⲉⲙ ⲡϣⲓϣⲓ ⲙ̀ⲫⲛⲟⲩⲛ ⲛⲉⲙ ϯⲥⲟⲫⲓⲁ	.....ⲕⲁϩ ⲙⲛ̅ ⲡϣⲓⲕⲉ ⲙ.... ⲙⲛ̅ ⲡⲛⲟⲩⲛ ⲙⲛ̅ ⲧⲥⲟⲫⲓⲁ ....;	Who can find out the height of heaven, and the breadth of the earth, and the deep, and wisdom?	ὕψος οὐρανοῦ καὶ πλάτος γῆς καὶ ἄβυσσον καὶ σοφίαν τίς ἐξιχνιάσει;						
Wisdom of Jesus son of Sirach	1	01	4	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ϧⲁϫⲉⲛ ⲉⲛⲭⲁⲓ ⲛⲓⲃⲉⲛ ⲁⲓⲥⲱⲛⲧ ⲛ̀ϯⲥⲟⲫⲓⲁ ⲟⲩⲟϩ ϯⲙⲉⲧⲥⲁⲃⲉ ⲛⲉⲙ ⲡⲓⲕⲁϯ ⲓⲥϫⲉⲛ ⲡⲉⲛⲉϩ	ϩⲁ ⲑⲏ ⲛ̅ⲛ̅ⲕⲁ ⲛⲓⲙ ⲁⲩⲥⲛ̅ⲧ ⲧⲥⲟⲫⲓⲁ ⲁⲩⲱ ⲧⲙⲛ̅ⲧⲥⲁⲃⲉ ⲙⲛ̅ ⲧⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ ϫⲓⲛ ⲉⲛⲉϩ.	Wisdom hath been created before all things, and the understanding of prudence from everlasting.	προτέρα πάντων ἔκτισται σοφία καὶ σύνεσις φρονήσεως ἐξ αἰῶνος.						
