book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	25	25	7	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲓ̈ⲙⲁⲕⲁⲣⲓⲍⲉ ⲙ̅ⲯⲓⲧ ⲛ̅ϩⲱⲃ ϩⲙ̅ ⲡⲁϩⲏⲧ ⲁⲩⲱ ϯⲛⲁϫⲉ ⲡⲙⲉϩⲙⲏⲧ ϩⲙ̅ ⲡⲁⲗⲁⲥ.	There be nine things which I have judged in mine heart to be happy, and the tenth I will utter with my tongue:							
Wisdom of Jesus son of Sirach	25	25		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲟⲩⲣⲱⲙⲉ ⲉϥⲉⲩⲫⲣⲁⲛⲉ ⲉϫⲛ̅ ⲛⲉϥϣⲏⲣⲉ ⲉϥⲟⲛϩ̅ ⲉϥϭⲱϣⲧ̅ ⲉⲡϩⲉ ⲛ̅ⲛⲉϥϫⲁϫⲉ	A man that hath joy of his children; and he that liveth to see the fall of his enemy:							
Wisdom of Jesus son of Sirach	25	25	8	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲡⲉⲧⲉ ⲙ̅ⲡϥ̅ⲥⲗⲁⲁⲧⲉ ϩⲙ̅ ⲡⲉϥⲗⲁⲥ ⲙⲛ̅ ⲡⲉⲧⲉ ⲙ̅ⲡϥ̅ⲣ̅ϩⲙ̅ϩⲁⲗ ϩⲙ̅ ⲡⲉⲧϣⲏⲥ ⲉⲣⲟϥ.	Well is him that dwelleth with a wife of understanding, and that hath not slipped with his tongue, and that hath not served a man more unworthy than himself:							
Wisdom of Jesus son of Sirach	25	25	9	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛⲁⲓ̈ⲁⲧϥ̅ ⲙ̅ⲡⲉⲛⲧⲁϥϩⲉ ⲉⲧⲙⲛ̅ⲧⲥⲁⲃⲉ ⲡⲉⲧϣⲁϫⲉ ⲉⲩⲙⲁⲁ[ϫⲉ ⲛ̅ⲛⲉⲧⲥⲱ]ⲧⲙ̅.	Well is him that hath found prudence, and he that speaketh in the ears of them that will hear:							
Wisdom of Jesus son of Sirach	25	25	10	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉϣϫⲉ ⲟⲩⲛⲟϭ ⲡⲉ ⲡⲉⲛⲧⲁϥϩⲉ ⲉⲧⲥⲟⲫⲓⲁ ⲁⲗⲗⲁ ⲙⲛ̅ ⲡⲉⲧⲉ ⲛ̅ⲛⲟϭ ⲉⲡⲉⲧⲣ̅ϩⲟⲧⲉ ⲙ̅ⲡϫⲟⲉⲓⲥ.	O how great is he that findeth wisdom! yet is there none above him that feareth the Lord. (11) But the love of the Lord passeth all things for illumination: he that holdeth it, whereto shall he be likened?							
Wisdom of Jesus son of Sirach	25	25	12	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲣⲉ ⲡⲉⲧⲁⲙⲁϩⲧⲉ ⲙ̅ⲙⲟⲥ ⲧⲛ̅ⲧⲱⲛ ⲉⲛⲓⲙ;	The fear of the Lord is the beginning of his love: and faith is the beginning of cleaving unto him.							
Wisdom of Jesus son of Sirach	25	25	13	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛⲁⲛⲟⲩ ⲡⲗⲏⲅⲏ ⲛⲓⲙ ⲉⲡⲗⲏⲅⲏ ⲛ̅ϩⲏⲧ: ⲛⲁⲛⲟⲩ ⲡⲟⲛⲏⲣⲓⲁ ⲛⲓⲙ ⲉⲡⲟⲛⲏⲣⲓⲁ ⲛ̅ⲥϩⲓⲙⲉ.	Give me any plague, but the plague of the heart: and any wickedness, but the wickedness of a woman:							
Wisdom of Jesus son of Sirach	25	25	14	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛⲁⲛⲟⲩ ⲙⲟⲭⲥ ⲛⲓⲙ ⲉϩⲟⲩⲉ ⲙ̅ⲙⲟⲕϩⲥ̅ ⲛ̅ⲛⲉⲧⲙⲟⲥⲧⲉ ⲛⲁⲛⲟⲩ ϫⲓⲕⲃⲁ ⲛⲓⲙ ⲉϩⲟⲩⲟ ⲉϫⲓⲕⲃⲁ ⲛ̅ϫⲁϫⲉ.	And any affliction, but the affliction from them that hate me: and any revenge, but the revenge of enemies.							
Wisdom of Jesus son of Sirach	25	25	15	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙⲛ̅ ⲁⲡⲉ ϩⲟⲟⲩ ⲉⲧⲁⲡⲉ ⲙ̅ⲫⲟϥ ⲁⲩⲱ ⲙⲛ̅ ϭⲱⲛⲧ̅ ⲉⲡⲁ ⲡϫⲁϫⲉ	There is no head above the head of a serpent; and there is no wrath above the wrath of an enemy.							
Wisdom of Jesus son of Sirach	25	25	16	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϯⲛⲁⲟⲩⲉϣ ⲟⲩⲱϩ ⲙⲛ̅ ⲟⲩⲙⲟⲩⲓ̈ ⲙⲛ̅ ⲟⲩⲇⲣⲁⲕⲱⲛ ⲉϩⲟⲩⲟ ⲉⲟⲩⲱϩ ⲙⲛ̅ ⲟⲩⲥϩⲓⲙⲉ ⲉⲥϩⲟⲟⲩ ⲁⲩⲱ ⲣ̅ⲣⲉϥϭⲱⲛⲧ̅.	I had rather dwell with a lion and a dragon, than to keep house with a wicked woman.							
Wisdom of Jesus son of Sirach	25	25	17	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϣⲁⲣⲉ ⲧⲡⲟⲛⲏⲣⲓⲁ ⲛ̅ⲟⲩⲥϩⲓⲙⲉ ⲉⲥϩⲟⲟⲩ ϣⲓⲃⲉ ⲙ̅ⲡⲉⲥϩⲟ ⲁⲩⲱ ϣⲁⲥⲣ̅ ⲡⲉⲥϩⲟ ⲛ̅ⲕⲁⲕⲉ ⲛ̅ⲑⲉ ⲛ̅ⲟⲩϭⲟⲟⲩⲛⲉ.	The wickedness of a woman changeth her face, and darkeneth her countenance like sackcloth.							
Wisdom of Jesus son of Sirach	25	25	18	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲣϣⲁⲛ ⲡⲉⲥϩⲁⲓ̈ ⲛⲟϫϥ̅ ϩⲛ̅ ⲧⲙⲏⲧⲉ ⲙ̅ⲡⲉⲧϩⲓⲧⲟⲩⲱϥ ⲛϥ̅ⲥⲱⲧⲙ̅ ϣⲁϥⲁϣⲁϩⲟⲙ ⲉϥⲥⲁϣⲉ.	Her husband shall sit among his neighbours; and when he heareth it shall sigh bitterly.							
Wisdom of Jesus son of Sirach	25	25	19	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲕⲁⲕⲓⲁ ⲛⲓⲙ ⲥⲟⲃⲕ̅ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲧⲕⲁⲕⲓⲁ ⲛ̅ⲧⲉⲥϩⲓⲙⲉ: ⲉⲣⲉ ⲡⲉⲕⲗⲏⲣⲟⲥ ⲛ̅ⲟⲩⲣⲉϥⲣ̅ⲛⲟⲃⲉ ϩⲉ ⲉⲧⲟⲟⲧⲥ̅.	All wickedness is but little to the wickedness of a woman: let the portion of a sinner fall upon her.							
Wisdom of Jesus son of Sirach	25	25	20	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛ̅ⲑⲉ ⲛ̅ⲟⲩϩⲗ̅ⲗⲟ ⲉϥⲱⲗ ⲉϩⲣⲁⲓ̈ ϩⲛ̅ ... ⲛ̅ϣⲟ ⲧⲁⲓ̈ ⲧⲉ ⲑⲉ ⲛ̅ⲟⲩⲥϩⲓⲙⲉ ⲛ̅ⲣⲉϥ[ⲱϣ ⲉⲃⲟⲗ] ⲛ̅ⲛⲁϩⲣⲛ̅ ⲟⲩϩⲁⲓ̈ ⲛ̅ⲣⲙ̅ⲣⲁϣ.	As the climbing up a sandy way is to the feet of the aged, so is a wife full of words to a quiet man.							
Wisdom of Jesus son of Sirach	25	25	21	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙ̅ⲡⲣ̅ϩⲉ ⲉⲧⲟⲟⲧⲥ̅ ⲛ̅ⲟⲩⲥϩⲓⲙⲉ ⲉⲛⲉⲥⲱⲥ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ⲙⲉⲣⲉ ⲥϩⲓⲙⲉ.	Stumble not at the beauty of a woman, and desire her not for pleasure.							
Wisdom of Jesus son of Sirach	25	25	22	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲟⲩⲟⲣⲅⲏ ⲙⲛ̅ ⲟⲩⲙⲛ̅ⲧⲁⲧⲃⲁⲗ ⲙⲛ̅ ⲟⲩϣⲓⲡⲉ ⲡⲉ ⲟⲩⲥϩⲓⲙⲉ ⲉⲥϯ ⲉⲧⲟⲟⲧⲥ̅ ⲙ̅ⲡⲉⲥϩⲁⲓ̈.	A woman, if she maintain her husband, is full of anger, impudence, and much reproach.							
Wisdom of Jesus son of Sirach	25	25	23	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲟⲩϩⲏⲧ ⲉϥⲑⲃ̅ⲃⲓⲏⲩ ⲙⲛ̅ ⲟⲩϩⲟ ....... [ⲙⲛ̅] ⲟⲩⲡⲗⲏⲅⲏ ⲛ̅ϩⲏⲧ ⲡⲉ ⲟⲩⲥϩⲓⲙⲉ ⲉⲥϩⲟⲟⲩ.	A wicked woman abateth the courage, maketh an heavy countenance and a wounded heart:							
Wisdom of Jesus son of Sirach	25	25		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϩⲛ̅ϭⲓϫ ⲉⲩⲕⲏ ⲙⲛ̅ ϩⲛ̅ⲡⲁⲧ ⲉⲩⲃⲏⲗ ⲉⲃⲟⲗ ⲡⲉ ⲟⲩⲥϩⲓⲙⲉ ⲉⲛⲥ̅ⲙⲁⲕⲁⲣⲓⲍⲉ ⲁⲛ ⲙ̅ⲡⲉⲥϩⲁⲓ̈.	a woman that will not comfort her husband in distress maketh weak hands and feeble knees.							
Wisdom of Jesus son of Sirach	25	25	24	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛ̅ⲧⲁ ⲧⲁⲣⲭⲏ ⲙ̅ⲡⲛⲟⲃⲉ ⲉⲓ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲉⲥϩⲓⲙⲉ ⲁⲩⲱ ⲉⲧⲃⲏⲧⲥ̅ ⲉⲛⲁⲙⲟⲩ ⲧⲏⲣⲛ̅.	Of the woman came the beginning of sin, and through her we all die.							
Wisdom of Jesus son of Sirach	25	25	25	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙ̅ⲡⲣ̅ϯ ⲧⲉϩⲓⲏ ⲛ̅ⲟⲩⲙⲟⲟⲩ ⲉϥⲥⲱⲕ: ⲙ̅ⲡⲣ̅ϯ ⲡⲁⲣϩⲏⲥⲓⲁ ⲛ̅ⲟⲩⲥϩⲓⲙⲉ ⲉⲥϩⲟⲟⲩ.	Give the water no passage; neither a wicked woman liberty to gad abroad.							
