book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	15	15	2	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲥⲛⲁⲧⲱⲙⲛ̅ⲧ ⲉⲣⲟϥ ⲛ̅ⲑⲉ ⲛ̅ⲟⲩⲙⲁⲁⲩ ⲛⲥ̅ϣⲟⲡϥ̅ ⲉⲣⲟⲥ ⲛ̅ⲑⲉ ⲛ̅ⲟⲩⲥϩⲓⲙⲉ ⲉⲥⲟⲩⲁⲁⲃ.	And as a mother shall she meet him, and receive him as a wife married of a virgin.							
Wisdom of Jesus son of Sirach	15	15	3	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲥⲛⲁⲧⲥⲉϥ ⲟⲩⲙⲟⲟⲩ ⲛ̅ⲥⲟⲫⲓⲁ ⲥⲛⲁⲧⲙⲉϥ ⲟⲉⲓⲕ ⲙ̅ⲙⲛ̅ⲧⲥⲁⲃⲉ.	With the bread of understanding shall she feed him, and give him the water of wisdom to drink.							
Wisdom of Jesus son of Sirach	15	15	4	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲥⲛⲁⲧⲁϫⲣⲟϥ ⲉϫⲱⲥ ⲛϥ̅ⲧⲙ̅ⲣⲓⲕⲉ ⲁⲩⲱ ϥⲛⲁⲕⲁ ϩⲧⲏϥ ⲉⲣⲟⲥ ⲛϥ̅ⲧⲙ̅ϫⲓ ϣⲓⲡⲉ.	He shall be stayed upon her, and shall not be moved; and shall rely upon her, and shall not be confounded.							
Wisdom of Jesus son of Sirach	15	15	5	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲥⲛⲁϫⲓⲥⲉ ⲙ̅ⲙⲟϥ ⲡⲁⲣⲁ ⲛⲉⲧϩⲓⲧⲟⲩⲱϥ ⲁⲩⲱ ⲥⲛⲁⲟⲩⲱⲛ ⲛ̅ⲣⲱϥ ϩⲛ̅ ⲧⲙⲏⲧⲉ ⲛ̅ⲟⲩⲙⲏⲏϣⲉ.	She shall exalt him above his neighbours, and in the midst of the congregation shall she open his mouth.							
Wisdom of Jesus son of Sirach	15	15	6	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϥⲛⲁⲕⲗⲏⲣⲟⲛⲟⲙⲓ ⲛ̅ⲟⲩⲟⲩⲛⲟϥ ⲙⲛ̅ ⲟⲩⲕⲗⲟⲙ ⲛ̅ⲧⲉⲗⲏⲗ ⲙⲛ̅ ⲟⲩⲣⲁϣⲉ ⲛ̅ϣⲁ ⲉⲛⲉϩ.	He shall find joy and a crown of gladness, and she shall cause him to inherit an everlasting name.							
Wisdom of Jesus son of Sirach	15	15	7	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙⲛ̅ ⲣⲱⲙⲉ ⲛ̅ⲁⲧⲥⲃⲱ ⲛⲁⲧⲁϩⲟⲥ ⲁⲩⲱ ⲛⲉⲣⲱⲙⲉ ⲛ̅ⲣⲉϥⲣ̅ⲛⲟⲃⲉ ⲛⲁⲩ ⲉⲣⲟⲥ.	But foolish men shall not attain unto her, and sinners shall not see her.							
Wisdom of Jesus son of Sirach	15	15	8	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲥⲟⲩⲏⲩ ⲉⲃⲟⲗ ⲛ̅ⲧⲙⲛ̅ⲧϫⲁⲥⲓ ϩⲏⲧ ⲛ̅ⲛⲉ ⲣⲱⲙⲉ ⲛ̅ⲣⲉϥϫⲓϭⲟⲗ ⲣ̅ ⲡⲉⲥⲙⲉⲉⲩⲉ.	For she is far from pride, and men that are liars cannot remember her.							
Wisdom of Jesus son of Sirach	15	15	9	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛⲉⲥⲉ ⲡⲉⲥⲙⲟⲩ ⲁⲛ ϩⲛ̅ ⲣⲱϥ ⲙ̅ⲡⲣ̅ⲉϥⲣ̅ⲛⲟⲃⲉ ϫⲉ ⲛ̅ⲧⲁⲩⲧⲛ̅ⲛⲟⲟⲩϥ ⲁⲛ ϩⲓⲧⲛ̅ ⲡϫⲟⲉⲓⲥ.	Praise is not seemly in the mouth of a sinner, for it was not sent him of the Lord.							
Wisdom of Jesus son of Sirach	15	15	10	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		.....ⲥⲟⲫⲓⲁ.... .........................	For praise shall be uttered in wisdom, and the Lord will prosper it.							
Wisdom of Jesus son of Sirach	15	15	11	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙ̅ⲡⲣ̅ϫⲟⲟⲥ ϫⲉ ⲛⲧⲁⲓ... ⲉⲧⲃⲉ ⲡϫⲟⲉⲓⲥ ⲛ̅ⲛⲉⲕⲉⲓⲣⲉ ⲙ̅ⲡⲉⲛⲧ....	Say not thou, It is through the Lord that I fell away: for thou oughtest not to do the things that he hateth.							
Wisdom of Jesus son of Sirach	15	15	12	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙ̅ⲡⲣ̅ϫⲟⲟⲥ ϫⲉ ⲛ̅ⲧⲟϥ ⲡⲉ ⲛ̅ⲧⲁϥⲡⲗⲁⲛⲁ ⲙ̅ⲙⲟⲓ̈: ⲛϥ̅ⲣ̅ⲭⲣⲓⲁ ⲅⲁⲣ ⲁⲛ ⲛ̅ⲟⲩⲣⲱⲙⲉ ⲛ̅ⲣⲉϥⲣ̅ⲛⲟⲃⲉ.	Say not thou, He hath caused me to err: for he hath no need of the sinful man.							
Wisdom of Jesus son of Sirach	15	15	13	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁ ⲡϫⲟⲉⲓⲥ ⲙⲉⲥⲧⲉ ⲃⲟⲧⲉ ⲛⲓⲙ ⲁⲩⲱ ⲛⲉⲧⲣ̅ϩⲟⲧⲉ ϩⲏⲧϥ̅ ⲙⲁⲩⲙⲉⲣⲓⲧⲟⲩ.	The Lord hateth all abomination; and they that fear God love it not.							
Wisdom of Jesus son of Sirach	15	15	14	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲛ̅ⲧⲟϥ ϫⲓⲛ ⲛ̅ϣⲟⲣⲡ̅ ⲡⲉⲛⲧⲁϥⲧⲁⲙⲓⲉ ⲡⲣⲱⲙⲉ ⲁⲩⲱ ⲁϥⲕⲁⲁϥ ϩⲛ̅ ⲧϭⲓϫ ⲙ̅ⲡⲉϥϣⲟϫⲛⲉ.	He himself made man from the beginning, and left him in the hand of his counsel;							
Wisdom of Jesus son of Sirach	15	15	15	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲕϣⲁⲛⲟⲩⲱϣ ⲕⲛⲁϩⲁⲣⲉϩ ⲉⲛ̅ⲉⲛⲧⲟⲗⲏ ⲁⲩⲱ ⲕⲛⲁⲣ̅ ⲧⲡⲓⲥⲧⲓⲥ ⲉⲧⲥⲟⲧⲡ̅.	If thou wilt, to keep the commandments, and to perform acceptable faithfulness.							
Wisdom of Jesus son of Sirach	15	15	16	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲕⲱ ϩⲁⲧⲏⲕ ⲙ̅ⲡⲕⲱϩⲧ̅ ⲙⲛ̅ ⲡⲙⲟⲟⲩ: ⲡⲉⲧⲕ̅ⲟⲩⲁϣϥ̅ ⲕⲛⲁⲥⲟⲩⲧⲛ̅ ⲧⲟⲟⲧⲕ̅ ⲉⲣⲟϥ.	He hath set fire and water before thee: stretch forth thy hand unto whether thou wilt.							
Wisdom of Jesus son of Sirach	15	15	17	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲱⲛϩ̅ ⲙⲛ̅ ⲡⲙⲟⲩ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲛ̅ⲛ̅ⲣⲱⲙⲉ ⲁⲩⲱ ⲡⲉⲧⲕ̅ⲟⲩⲁϣϥ̅ ⲥⲉⲛⲁⲧⲁⲁϥ ⲛⲁⲕ:	Before man is life and death; and whether him liketh shall be given him.							
Wisdom of Jesus son of Sirach	15	15	18	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϫⲉ ⲟⲩⲛⲟϭ ⲧⲉ ⲧⲥⲟⲫⲓⲁ ⲙ̅ⲡϫⲟⲉⲓⲥ: ϥⲧⲏⲕ ϩⲛ̅ ⲧⲉϥϭⲟⲙ ⲁⲩⲱ ϥϭⲱϣⲧ̅ ⲉϫⲱⲟⲩ ⲧⲏⲣⲟⲩ.	For the wisdom of the Lord is great, and he is mighty in power, and beholdeth all things:							
