book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	28	28	26	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϯ ϩⲧⲏⲕ ....... ⲥⲗⲁⲁⲧⲉ ϩⲛ̅ .... ⲛⲅ̅ϩⲉ ⲙ̅ⲡⲉⲙⲧⲟ ⲉⲃⲟⲗ ⲛ̅ⲛⲉⲧϭⲱⲣϭ̅ ⲉⲣⲟⲕ.	Beware thou slide not by it, lest thou fall before him that lieth in wait.							
Wisdom of Jesus son of Sirach	29	29	1	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲧⲉⲓⲣⲉ ............ ⲡⲉⲧϩⲓⲧⲟⲩⲱϥ ⲁⲩⲱ ⲡⲉⲧⲥⲟⲟⲩⲧⲛ̅ ⲛ̅ⲧⲟⲟⲧϥ̅ ⲉⲃⲟⲗ ⲉϥⲁⲣⲉϩ ⲉⲛ̅ⲉⲛⲧⲟⲗⲏ.	He that is merciful will lend unto his neighbour; and he that strengtheneth his hand keepeth the commandments.							
Wisdom of Jesus son of Sirach	29	29	2	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϯ ⲙ̅ⲡⲉⲧϩⲓⲧⲟⲩⲱⲕ ⲙ̅ⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲧϥ̅ⲭⲣⲓⲁ ⲁⲩⲱ ⲟⲛ ⲛⲅ̅ϯ ⲙ̅ⲡⲉⲧϩⲓⲧⲟⲩⲱⲕ ⲙ̅ⲡⲉϥⲧⲉ.	Lend to thy neighbour in time of his need, and pay thou thy neighbour again in due season.							
Wisdom of Jesus son of Sirach	29	29	3	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲙⲁⲧⲁϫⲣⲉ ⲡϣⲁϫⲉ ⲛⲅ̅ⲧⲁⲛϩⲟⲩⲧⲕ̅ ⲛⲉⲙⲁϥ ⲁⲩⲱ ⲕⲛⲁϩⲉ ⲉⲧⲉⲭⲣⲓⲁ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ.	Keep thy word, and deal faithfully with him, and thou shalt always find the thing that is necessary for thee.							
Wisdom of Jesus son of Sirach	29	29	4	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲣⲉ ϩⲁϩ ⲙⲉⲉⲩⲉ ϫⲉ ⲟⲩϩⲏⲩ ⲡⲉ ⲡϫⲓⲙⲏⲥⲉ ⲁⲩⲱ ⲁⲩϯϩⲓⲥⲉ ⲛ̅ⲛⲉⲛⲧⲁⲩⲃⲟⲏⲑⲓ ⲛⲁⲩ.	Many, when a thing was lent them, reckoned it to be found, and put them to trouble that helped them.							
Wisdom of Jesus son of Sirach	29	29	5	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϣⲁϥϯⲡⲓ ⲉⲛⲉϥϭⲓϫ ϣⲁⲛⲧϥ̅ϫⲓ: ⲛϥ̅ⲑⲃ̅ⲃⲓⲉ ⲧⲉϥⲥⲙⲏ ϩⲓ ⲛⲉⲭⲣⲏⲙⲁ ⲙ̅ⲡⲉⲧϩⲓⲧⲟⲩⲱϥ.	Till he hath received, he will kiss a man’s hand; and for his neighbour’s money he will speak submissly:							
Wisdom of Jesus son of Sirach	29	29		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϩⲙ̅ ⲡⲉⲟⲩⲟⲉⲓϣ ⲛ̅ⲧⲁⲁⲩ ϣⲁϥⲧⲁⲗⲉ ⲛⲉ ⲉϩⲣⲁⲓ̈: ⲛϥ̅ϫⲱ ⲛ̅ϩⲛ̅ϣⲁϫⲉ ⲛ̅ⲙ̅ⲕⲁϩ ⲛ̅ϩⲏⲧ ⲁⲩⲱ ⲛϥ̅ϭⲛ̅ⲁⲣⲓⲕⲉ ⲉⲡⲉⲟⲩⲟⲉⲓϣ.	but when he should repay, he will prolong the time, and return words of grief, and complain of the time.							
Wisdom of Jesus son of Sirach	29	29	6	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉϥϣⲁⲛϭⲙ̅ϭⲟⲙ ⲙⲟⲅⲓⲥ ϣⲁϥϫⲓ ⲧⲡⲁϣⲉ.	If he prevail, he shall hardly receive the half, and he will count as if he had found it:							
Wisdom of Jesus son of Sirach	29	29		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉϣⲱⲡⲉ ⲙ̅ⲙⲟⲛ ϣⲁϥϩⲟⲩⲣⲱⲱϥ ⲛ̅ⲛⲉϥⲭⲣⲏⲙⲁ ⲛϥ̅ⲕⲁⲁϥ ⲛⲁϥ ⲛ̅ϫⲁϫⲉ ⲛ̅ϫⲓⲛϫⲏ.	if not, he hath deprived him of his money, and he hath gotten him an enemy without cause: he payeth him with cursings and railings;							
Wisdom of Jesus son of Sirach	29	29		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲉⲡⲙⲁ ⲛ̅ⲟⲩⲉⲟⲟⲩ ϣⲁϥϯ ⲛⲁϥ ⲛ̅ⲟⲩⲥⲱϣ.	and for honour he will pay him disgrace.							
