book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	44	44		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲥⲙⲟⲩ ⲛ̅ⲣⲱⲙⲉ ⲛⲓⲙ ⲙⲛ̅ ⲧⲇⲓⲁⲑⲏⲕⲏ ⲁⲩⲟⲩⲱϩ ⲉϫⲛ̅ ⲧⲁⲡⲉ ⲛ̅ⲓ̈ⲁⲕⲱⲃ.	the blessing of all men, and the covenant, (23) And made it rest upon the head of Jacob.							
Wisdom of Jesus son of Sirach	44	44		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲥⲟⲩⲱⲛϥ̅ ϩⲛ̅ ⲛⲉϥⲥⲙⲟⲩ ⲁⲩⲱ ⲁϥϯ ⲛⲁϥ ⲛ̅ⲟⲩⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ.	He acknowledged him in his blessing, and gave him an heritage,							
Wisdom of Jesus son of Sirach	44	44		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁⲩⲱ ⲁϥⲧⲱϣ ⲛ̅ⲛⲉϥⲙⲉⲣⲓⲥ ⲁϥⲡⲟϣⲟⲩ ⲉⲙⲛ̅ⲧⲥⲛⲟⲟⲩⲥ ⲙ̅ⲫⲩⲗⲏ.	and divided his portions; among the twelve tribes did he part them.							
Wisdom of Jesus son of Sirach	45	45	44:24	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲉⲓⲛⲉ ⲉⲃⲟⲗ ⲛ̅ϩⲏⲧⲟⲩ ⲛ̅ⲟⲩⲣⲱⲙⲉ ⲛ̅ⲛⲁ ⲁϥϭⲛ̅ϩⲙⲟⲧ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲃⲁⲗ ⲛⲓⲙ ϩⲓ ⲥⲁⲣⲝ̅ ⲛⲓⲙ.	And he brought out of him a merciful man, which found favour in the sight of all flesh,							
Wisdom of Jesus son of Sirach	45	45		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲉⲁⲩⲙⲉⲣⲓⲧϥ̅ ϩⲓⲧⲛ̅ ⲡⲛⲟⲩⲧⲉ ⲙⲛ̅ ⲛ̅ⲣⲱⲙⲉ ⲙⲱⲩ̈ⲥⲏⲥ ⲡⲁⲓ̈ ⲉⲧⲉ ⲡⲉϥⲣ̅ⲙⲉⲉⲩⲉ ϩⲛ̅ ⲛⲉⲥⲙⲟⲩ.	even Moses, beloved of God and men, whose memorial is blessed.							
Wisdom of Jesus son of Sirach	45	45	2	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲧⲛ̅ⲧⲱⲛϥ̅ ⲉⲡⲉⲟⲟⲩ ..... ⲁⲩⲱ ⲁϥϫⲁⲥⲧϥ̅ ϩⲛ̅ ⲛ̅ϩⲟⲧⲉ .....	He made him like to the glorious saints, and magnified him, so that his enemies stood in fear of him.							
Wisdom of Jesus son of Sirach	45	45	3	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲉⲓⲣⲉ ⲛ̅ϩⲛ̅ⲙⲁⲉⲓⲛ ϩⲛ̅ ⲛⲉϥϣⲁϫⲉ ⲁϥϯⲉⲟⲟⲩ ⲛⲁϥ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲙ̅ⲡⲣ̅ⲣⲟ.	By his words he caused the wonders to cease, and he made him glorious in the sight of kings,							
Wisdom of Jesus son of Sirach	45	45		OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥϩⲱⲛ ⲉⲧⲟⲟⲧϥ̅ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲡⲗⲁⲟⲥ ⲁⲩⲱ ⲁϥⲧⲟⲩⲟϥ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲉϥⲉⲟⲟⲩ.	and gave him a commandment for his people, and shewed him part of his glory.							
Wisdom of Jesus son of Sirach	45	45	4	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲧⲃ̅ⲃⲟϥ ϩⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ ⲙⲛ̅ ⲧⲉϥⲙⲛ̅ⲧⲣⲙ̅ⲣⲁϣ ⲁϥⲥⲟⲧⲡϥ̅ ⲉⲃⲟⲗ ϩⲛ̅ ⲥⲁⲣⲝ̅ ⲛⲓⲙ.	He sanctified him in his faithfulness and meekness, and chose him out of all men.							
Wisdom of Jesus son of Sirach	45	45	5	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲁϥⲧⲣⲉϥⲥⲱⲧⲙ̅ ⲉⲧⲉϥⲥⲙⲏ ⲁⲩⲱ ⲁϥϫⲓⲧϥ̅ ⲉϩⲟⲩⲛ ⲉⲡⲟⲥϭⲙ̅.	He made him to hear his voice, and brought him into the dark cloud,							
