Matthew,1,14,ⲁⲍⲱⲣ ⲇⲉ ⲁϥϫⲫⲉ ⲥⲁⲇⲱⲕ ⲥⲁⲇⲱⲕ ⲇⲉ ⲁϥϫⲫⲉ ⲁⲭⲓⲛ ⲁⲭⲓⲛ ⲇⲉ ⲁϥϫⲫⲉ ⲉⲗⲓⲟⲩⲇ.
Matthew,1,15,ⲉⲗⲓⲟⲩⲇ ⲇⲉ ⲁϥϫⲫⲉ ⲉⲗⲉⲁⲍⲁⲣ ⲉⲗⲉⲁⲍⲁⲣ ⲇⲉ ⲁϥϫⲫⲉ ⲙⲁⲧⲑⲁⲛ ⲙⲁⲧⲑⲁⲛ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲁⲕⲱⲃ.
Matthew,1,16,ⲓⲁⲕⲱⲃ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲱⲥⲏⲫ ⲡϩⲁⲓ ⲙⲙⲁⲣⲓⲁ ⲑⲏ ⲉⲧⲁⲥⲙⲉⲥ ⲓⲏⲥⲟⲩⲥ ⲫⲏ ⲉⲧⲟⲩⲙⲟⲩϯ ⲉⲣⲟϥ ϫⲉ ⲡⲭⲣⲓⲥⲧⲟⲥ.
Matthew,1,17,ϫⲱⲟⲩ ⲛⲓⲃⲉⲛ ⲓⲥϫⲉⲛ ⲁⲃⲣⲁⲁⲙ ϣⲁ ⲇⲁⲩⲓⲇ ⲓⲇ ⲛϫⲱⲟⲩ ⲟⲩⲟϩ ⲓⲥϫⲉⲛ ⲇⲁⲩⲓⲇ ϣⲁ ⲡⲓⲟⲩⲱⲧⲉⲃ ⲉⲃⲟⲗ ⲛⲧⲉⲃⲁⲃⲩⲗⲱⲛ ⲓⲇ ⲛϫⲱⲟⲩ ⲟⲩⲟϩ ⲓⲥϫⲉⲛ ⲡⲓⲟⲩⲱⲧⲉⲃ ⲉⲃⲟⲗ ⲛⲧⲉⲃⲁⲃⲩⲗⲱⲛ ϣⲁ ⲡⲭⲣⲓⲥⲧⲟⲥ ⲓⲇ ⲛϫⲱⲟⲩ.
Matthew,1,18,ⲡϫⲓⲛⲙⲓⲥⲓ ⲛⲓⲏⲥⲟⲩⲥ ⲡⲭⲣⲓⲥⲧⲟⲥ ⲛⲉⲟⲩ ⲡⲁⲓⲣⲏϯ ⲉⲧⲁⲩⲱⲡ ⲛⲥⲁⲧⲉϥⲙⲁⲩ ⲙⲁⲣⲓⲁ ⲛⲓⲱⲥⲏⲫ ⲙⲡⲁⲧⲟⲩⲥⲟⲩⲉⲛ ⲛⲟⲩⲉⲣⲏⲟⲩ ⲁⲩϫⲉⲙⲥ ⲉⲥⲙⲃⲟⲕⲓ ⲉⲃⲟⲗ ϧⲉⲛⲟⲩⲡⲛⲉⲩⲙⲁⲉϥⲟⲩⲁⲃ.
Matthew,1,19,ⲓⲱⲥⲏⲫ ⲇⲉ ⲡⲉⲥϩⲁⲓ ⲛⲉⲟⲩⲑⲙⲏⲓ ⲡⲉ ⲟⲩⲟϩ ⲛϥⲟⲩⲱϣ ⲁⲛ ⲉⲁⲓⲥ ⲛⲥⲣⲁϩ ⲁϥⲥⲟϭⲛⲓ ⲉⲭⲁⲥ ⲉⲃⲟⲗ ⲛⲭⲱⲡ.
Matthew,1,20,ⲛⲁⲓ ⲇⲉ ⲉⲧⲁϥⲙⲟⲕⲙⲉⲕ ⲉⲣⲱⲟⲩ ϩⲏⲡⲡⲉ ⲓⲥ ⲟⲩⲁⲅⲅⲉⲗⲟⲥ ⲛⲧⲉⲡϭⲟⲓⲥ ⲁϥⲟⲩⲟⲛϩϥ ⲉⲓⲱⲥⲏ ⲫϧⲉⲛ ⲟⲩⲣⲁⲥⲟⲩⲓ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲓⲱⲥⲏⲫ ⲡϣⲏⲣⲓ ⲛⲇⲁⲩⲓⲇ ⲙⲡⲉⲣⲉⲣϩⲟϯ ⲉϣⲉⲡ ⲙⲁⲣⲓⲁ ⲧⲉⲕⲥϩⲓⲙⲓ ⲉⲣⲟⲕ ⲫⲏ ⲅⲁⲣ ⲉⲧⲉⲥⲛⲁⲙⲁⲥϥ ⲟⲩⲉⲃⲟⲗ ϧⲉⲛⲟⲩⲡⲛⲉⲩⲙⲁⲉϥⲟⲩⲁⲃ ⲡⲉ.
Matthew,1,21,ⲉⲥⲉⲙⲓⲥⲓ ⲇⲉ ⲛⲟⲩϣⲏⲣⲓ ⲉⲕⲉⲙⲟⲩϯ ⲉⲡⲉϥⲣⲁⲛ ϫⲉ ⲓⲏⲥⲟⲩⲥ ⲛⲑⲟϥ ⲅⲁⲣ ⲉⲑⲛⲁⲛⲟϩⲉⲙ ⲙⲡⲉϥⲗⲁⲟⲥ ⲉⲃⲟⲗ ϧⲉⲛⲛⲟⲩⲛⲟⲃⲓ.
Matthew,1,22,ⲫⲁⲓ ⲇⲉ ⲧⲏⲣϥ ⲁϥϣⲱⲡⲓ ϩⲓⲛⲁ ⲛⲧⲉϥϫⲱⲕ ⲉⲃⲟⲗ ⲛϫⲉⲫⲏ ⲉⲧⲁ ⲡϭⲟⲓⲥ ϫⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲙⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙⲙⲟⲥ.
Matthew,1,23,ϫⲉ ϩⲏⲡⲡⲉ ⲓⲥ ϯⲡⲁⲣⲑⲉⲛⲟⲥ ⲉⲥⲉⲉⲣⲃⲟⲕⲓ ⲟⲩⲟϩ ⲉⲥⲉⲙⲓⲥⲓ ⲛⲟⲩϣⲏⲣⲓ ⲉⲩⲉⲙⲟⲩϯ ⲉⲡⲉϥⲣⲁⲛ ϫⲉ ⲉⲙⲙⲁⲛⲟⲩⲏⲗ ⲫⲏ ⲉⲧⲉϣⲁⲩⲟⲩⲁϩⲙⲉϥ ϫⲉ ⲫⲛⲟⲩϯ ⲛⲉⲙⲁⲛ.
